domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
upholsterycleaningspring.com,Upholstery Cleaning Spring TX - Furniture Steam Cleaners,,,57,,2026-08-16T11:24:47.543205646Z,"['Express', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Nginx', 'UTF-8']"
thrivepizza.com,Thrive POS | Pizza Point of Sale with Delivery,Thrive POS,GBR,77,40740,2026-08-16T11:24:47.542145098Z,"['AWS WAF Challenge', 'AdRoll', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'DoubleClick Bid Manager', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'Google Analytics', 'Google Flights Conversion Tracking', 'Google My Business', 'Google Tag Manager', 'HubSpot Conversations', 'Hubspot', 'Hubspot Knowledge Base', 'Microdata for Google Shopping', 'QUIC', 'Say what', 'Slack', 'UTF-8', 'YouTube']"
gthmllc.com,"GT Pressure Washing, LLC | Exterior Property Cleaning | South Holland, IL","GT Pressure Washing, LLC",USA,82,123753,2026-08-16T11:24:47.542614165Z,"['AWS WAF Challenge', 'About Cookies', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Commoninja', 'DAV', 'Express', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Investor Relations', 'Line2', 'Material-UI', 'NFOrce Internet', 'Network Advertising Initiative', 'No-Q', 'ON24', 'Oddle', 'Perl', 'QUIC', 'SMC', 'Share Link', 'Thank You', 'The Deck', 'Twitter Ads', 'UENI', 'UTF-8', 'Underscores', 'YouTube']"
devilliersfurnishers.co.za,De Villiers Furnishers,De Villiers Furnishers,ZAF,87,106997,2026-08-16T11:24:47.541695752Z,"['Accordion Blocks', 'Accordion FAQ', 'Adobe Creative Cloud WebFonts', 'Aruba', 'Calendly', 'Contento', 'DAV', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Google Workspace', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
roi-selling.com,ValueNavigator by ROI Selling | Defensible Business Cases,ROI Selling,,82,32850,2026-08-16T11:24:47.54064082Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Content Delivery Network', 'ElementsKit Elementor', 'EmbedPress', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Jetpack', 'Microdata for Google Shopping', 'Microsoft Clarity', 'PHP', 'QUIC', 'Tailwind CSS', 'Termly', 'UTF-8', 'Wangsu', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
allofsweden.com,AllOfSweden.com,,,57,120,2026-08-16T11:24:47.532034768Z,"['Adult Content', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon WAF Blocked', 'CloudFront', 'CookieBAR', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google', 'Google Analytics', 'Google Tag Manager', 'Klarna', 'Twitter Ads', 'UTF-8', 'shadcn ui']"
homehow.co.uk,"HomeHow - Turning Houses into Homes, One Article at a Time",,GBR,72,508,2026-08-16T11:24:47.53192348Z,"['Financial Services Guide', 'Fontello', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Nginx', 'UTF-8']"
petersautorepairs.co.uk,Peters Auto Repairs - Car Repair & Service London Park Royal - Car Repair & Service London Park Royal,Peters Auto Repairs,GBR,82,2254,2026-08-16T11:24:47.531806374Z,"['Alternate Protocol', 'Better Lead Generation Services', 'BookMyGarage', 'CheryFramework', 'Contact Form 7', 'Contact Form Plugin', 'Cornerstone', 'DAV', 'EmbedPress', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'QUIC', 'Sitelinks Search Box', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'WPML Multilingual', 'WordPress', 'WordPress Multisite', 'jQuery', 'shadcn ui']"
seebet.com.ua,SEEBET - Modern optic lenses with innovative technologies,SEEBET - Сучасні оптичні лінзи з інноваційним підходом,UKR,75,15888,2026-08-16T11:24:47.531190597Z,"['Alternate Protocol', 'Autoptimize', 'BJ Lazy Load for WordPress', 'EmbedPress', 'Fireblade', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'Perl', 'Polylang', 'QUIC', 'Subversion', 'UTF-8', 'WP Super Cache', 'WordPress', 'WordPress Multisite', 'YouTube', 'a3 Lazy Load', 'jQuery']"
vivecrop.info,Vive Crop Protection - Making proven products cutting edge.,,CAN,82,46468,2026-08-16T11:24:47.53077518Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'ElementUI', 'Fastly', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Hubspot Knowledge Base', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Tailwind CSS', 'UTF-8', 'YouTube', 'jQuery']"
