domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
pwhspanthers.com,Western High School,,ITA,65,157588,2026-02-20T13:05:19.374198408Z,"['AWS WAF Challenge', 'AddThis', 'Alternate Protocol', 'Amazon S3 CDN', 'Amazon WAF Blocked', 'Apache', 'Apture Linking Platform', 'Aruba', 'Cloudflare', 'DAV', 'DoubleClick Bid Manager', 'ETranslate', 'Express', 'FastClick', 'Font Awesome', 'GTranslate', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Google Web Toolkit', 'IcoMoon', 'Instagram Follow Button', 'Kitco', 'Material Design for Bootstrap', 'Media.net', 'NFOrce Internet', 'Negate', 'PHP', 'Perl', 'QUIC', 'Signals', 'Storyblocks', 'Submittable', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'Visual Studio', 'WhatFix', 'YouTube', 'comScore', 'eLand']"
ponenteimmobiliare.it,Ponente Immobiliare: agenzia immobiliare Sanremo Imperia,,ITA,77,5560,2026-02-20T13:05:19.374004887Z,"['Azion', 'Content Delivery Network', 'Facebook Embedded Posts', 'Facebook Login', 'Facebook Reseller', 'GZIP Module', 'Google Analytics', 'Google Analytics with Ad Tracking', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Nginx', 'PHP', 'StackPath', 'UTF-8', 'WhatsApp Sharing', 'jQuery', 'reCAPTCHA']"
ontrackbookkeeping.co.nz,Home - The Ontrack Group,,,67,5476,2026-02-20T13:05:19.372461772Z,"['Alternate Protocol', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Fastly', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'Jetpack', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'QUIC', 'Thank You', 'Theme In WP', 'UTF-8', 'Vello', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'Xero', 'jQuery', 'reCAPTCHA']"
curamservices.com.au,CURAMSERVICES.COM.AU,,,45,3448,2026-02-20T13:05:19.372630266Z,"['GitHub Hosting', 'GoDaddy', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Line2', 'PWA', 'UTF-8', 'Wangsu', 'Website Tonight']"
sendthevalkyrie.com,Valkyrie Marketing & Consulting,,,65,143570,2026-02-20T13:05:19.37201502Z,"['AAPT', 'Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'DC74', 'Financial Services Guide', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Idaq', 'K2F', 'KVH', 'No-Q', 'Nuxt.js', 'SMC', 'Silicon Valley Web Hosting', 'Subversion', 'UTF-8', 'Unix']"
theherbhaven.ca,"The Herb Haven | North Bay Cannabis Store | Premium Weed, Great Prices","The Herb Haven | North Bay Cannabis Store | Premium Weed, Great Prices",,72,17367,2026-02-20T13:05:19.37278503Z,"['Alternate Protocol', 'Cloudflare', 'CoBlocks', 'Contact Form Plugin', 'Content Delivery Network', 'Daily Deals', 'Elementor', 'EmbedPress', 'GoDaddy', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'QUIC', 'Theme In WP', 'UTF-8', 'Wangsu', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
ottawaseniorslopitch.com,Ottawa Competitive Senior Slo-Pitch,,CAN,80,900,2026-02-20T13:05:19.372222422Z,"['Alternate Protocol', 'Beaver Builder Lite', 'Cloudflare', 'Content Delivery Network', 'DAV', 'EmbedPress', 'GoDaddy', 'Google Cloud DNS', 'Google Font API', 'PHP', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
orpheaimmo.com,Orphea Immobilier,,FRA,50,63,2026-02-20T13:05:19.370471966Z,"['Angular', 'Angular Material', 'Envoy', 'Express', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Nginx', 'Parcel', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'shadcn ui']"
soldbyjuannab.com,Lejuanna Baynes,,USA,72,41288,2026-02-20T13:05:19.370898118Z,"['AJAX Libraries API', 'Alternate Protocol', 'Apache', 'Apture Linking Platform', 'Beaver Builder Lite', 'Bulma', 'Debian', 'DuracellTomi Google Tag Manager for WordPress', 'EmbedPress', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Homes.com CMS', 'Instagram Follow Button', 'LeadRouter', 'MoxiWorks', 'Prospective', 'QUIC', 'Sitelinks Search Box', 'Thank You', 'UTF-8', 'Windermere Real Estate', 'WordPress', 'WordPress Multisite', 'Zendesk Embeddables', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
hellfirecleaningstlouis.com,House Cleaning Near Me | Hellfire Cleaning | St. Louis,,USA,77,19864,2026-02-20T13:05:19.369670269Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Hotjar', 'Instagram Follow Button', 'Nuxt.js', 'QUIC', 'Thank You', 'UTF-8', 'Unsplash']"
pfinserv.net,The Retirement Strategy the Banks Don’t Want You to Know About,,USA,77,18740,2026-02-20T13:05:19.369596317Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Maps', 'Google My Business', 'Nuxt.js', 'Thank You', 'UTF-8', 'shadcn ui']"
knotandcompassevents.com,Wedding Planning & Event Planning Services | Knot & Compass Events,,,67,2800,2026-02-20T13:05:19.369440893Z,"['Alternate Protocol', 'Content Delivery Network', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'No-Q', 'OpenResty', 'QUIC', 'Thank You', 'Zyro']"
denaliconstructionrestoration.com,Denali Construction | construction in Bedford county,,USA,82,31940,2026-02-20T13:05:19.368183088Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nuxt.js', 'Prospective', 'Tailwind CSS', 'Thank You', 'UTF-8', 'Vector Internet Services', 'reCAPTCHA']"
theatreroyalhotel.co.nz,"Theatre Royal Hotel - Kumara Accommodation, West Coast NZ",,,77,73773,2026-02-20T13:05:19.368391823Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'O2MC Dimml', 'QUIC', 'SMC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
channelletterchicago.com,Channel Letter Signs Chicago | Top Channel Letters | Custom Signs,,USA,77,47160,2026-02-20T13:05:19.368715119Z,"['Alternate Protocol', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Related Website Sites', 'KVH', 'NFOrce Internet', 'Nuxt.js', 'QUIC', 'Tailwind CSS', 'Thank You', 'UTF-8', 'Vector Internet Services', 'reCAPTCHA']"
modsonic.com,Ultrasonic Testing Machine Manufacturer In India | Modsonic,Modsonic,IND,77,3164,2026-02-20T13:05:19.367531217Z,"['Alternate Protocol', 'Apache', 'Apture Linking Platform', 'Contact Form Plugin', 'EmbedPress', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Gravity Forms', 'Hotjar', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'Photo Gallery for WordPress', 'QUIC', 'Slider Revolution', 'Tawk', 'The7', 'Theme In WP', 'UTF-8', 'Ubuntu', 'Visual Composer Ultimate Addons', 'WPBakery', 'WPForms', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
