domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
cebubai.com,Cebubai.com – Your Complete Real Estate Provider in Cebu,,BRA,77,10363,2026-02-08T22:56:39.396590676Z,"['Add to Any', 'AnyChat', 'Coming Soon Page', 'ElementUI', 'Elementor', 'EmbedPress', 'Express', 'Fancybox for WordPress', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Homes.com CMS', 'IcoMoon', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Real Homes', 'Sitelinks Search Box', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'University or College', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'iHomefinder', 'jQuery', 'reCAPTCHA']"
kgingo.in,KGI,,IND,60,203,2026-02-08T22:56:39.385117844Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Column Shortcodes', 'EmbedPress', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'UTF-8', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
tomaskoudelka.cz,Tomáš Koudelka - osobní webová prezentace,,CZE,52,102,2026-02-08T22:56:39.384977713Z,"['Apache', 'DAV', 'Font Awesome', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Subversion', 'UTF-8']"
ujenzimakini.com,Ujenzi Makini – Pata Maarifa Bora Ya Ujenzi.,,TZA,65,542,2026-02-08T22:56:39.383387777Z,"['Alternate Protocol', 'Apache', 'Column Shortcodes', 'EmbedPress', 'Google Cloud DNS', 'Google Font API', 'Jetpack', 'Jetpack Site Accelerator', 'Kriesi.at', 'MailMunch', 'UTF-8', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
bonitaareman.com,Bonita Areman,,USA,72,37688,2026-02-08T22:56:39.383997676Z,"['AJAX Libraries API', 'Alternate Protocol', 'Apache', 'Apture Linking Platform', 'Beaver Builder Lite', 'Bulma', 'Debian', 'DuracellTomi Google Tag Manager for WordPress', 'EmbedPress', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'LeadRouter', 'MoxiWorks', 'Prospective', 'QUIC', 'Sitelinks Search Box', 'Subversion', 'Tailwind CSS', 'Thank You', 'UTF-8', 'Windermere Real Estate', 'WordPress', 'WordPress Multisite', 'YouTube', 'Zendesk Embeddables', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
exclusec.pro,The Exclusec Group Ltd | Manned Guarding Manchester | Key Holding Bolton | Event Security Cheshire,,GBR,60,7788,2026-02-08T22:56:39.381369617Z,"['AJAX Libraries API', 'Adobe Creative Cloud WebFonts', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Apache', 'AutoComplete', 'CloudFront', 'Content Delivery Network', 'ElementUI', 'Facebook Login', 'Facebook Reseller', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Microdata for Google Shopping', 'UTF-8', 'jQuery', 'reCAPTCHA']"
outsidethebock.nl,Outside The Bock,,NLD,72,10584,2026-02-08T22:56:39.380733989Z,"['AJAX Libraries API', 'Amazon', 'Amazon CloudFront', 'Apture Linking Platform', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Instagram Follow Button', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Vector Internet Services', 'WF Cookie Consent', 'Webflow']"
onlinepresencead.com,Home - Online Presence AD,Online Presence AD,IND,65,4267,2026-02-08T22:56:39.380661319Z,"['Alternate Protocol', 'Apache', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Header, Footer and Blocks for Elementor', 'Hello Elementor', 'Max Mega Menu', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
vpcapitalresearch.com,VP Capital Research,,,50,467,2026-02-08T22:56:39.379456075Z,"['AWS WAF Challenge', 'Apache', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'ElementUI', 'Font Awesome', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'Line2', 'OpenSSL', 'PHP', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Unix', 'YouTube', 'jQuery', 'jsDelivr']"
eq-element.pl,Original car body for all cars - spare parts - Auto-Elements,,POL,77,3970,2026-02-08T22:56:39.379908726Z,"['AJAX Libraries API', 'Alternate Protocol', 'ElementUI', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Nginx', 'No-Q', 'UTF-8', 'jQuery', 'reCAPTCHA']"
