domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
richardr.top,Home Page,,,50,741,2026-04-28T07:53:20.010607087Z,"['AJAX Libraries API', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'CloudFront', 'Content Delivery Network', 'Font Awesome', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Looker Studio', 'Hugo', 'InitiativeS', 'License Buttons', 'Line2', 'StatusPage IO', 'jQuery', 'jsDelivr']"
tyke.com.co,Tyke | La tecnología de las segundas oportunidades,,COL,65,424,2026-04-27T13:47:20.012642994Z,"['Alternate Protocol', 'Apache', 'Divi', 'ECharts', 'Elegant Themes', 'EmbedPress', 'GZIP Module', 'Google Looker Studio', 'PHP', 'QUIC', 'Theme In WP', 'UTF-8', 'WhatsApp Sharing', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery', 'myStickymenu', 'wpDataTables']"
braverangels.org,Braver Angels,Braver Angels,USA,77,71978,2026-04-27T04:29:19.999654115Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Alternate Protocol', 'Amazon', 'Amazon WAF Blocked', 'Astra Theme', 'Cloudflare', 'Content Delivery Network', 'Elementor', 'Elementor Custom Skin', 'EmbedPress', 'Essential Addons for Elementor', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google', 'Google Analytics', 'Google Call Conversion Tracking', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Font API', 'Google Forms', 'Google Looker Studio', 'Google My Business', 'Google Recommendations AI', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'LiveValidation', 'MemberPress', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'QUIC', 'Segment', 'Segment Consent Manager', 'Shoelace Style', 'Table Addons for Elementor', 'Thank You', 'The Events Calendar', 'The Fresh', 'Theme In WP', 'Twitter Ads', 'Twitter Analytics', 'UTF-8', 'WP Engine', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'YouTube', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
swissua.xyz,Swiss🇨🇭 UA🇺🇦 | Інформація для українців у Швейцарії,,CHE,77,82371,2026-04-26T14:17:19.986224339Z,"['AiNET', 'Atlassian Confluence', 'Baidu Cloud', 'Content Delivery Network', 'Fastly', 'Fireblade', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google Forms', 'Google Looker Studio', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'JIRA', 'Jekyll', 'Microdata for Google Shopping', 'Ntent', 'Telegram', 'UTF-8', 'University or College', 'Vignette OpenText', 'YouTube']"
studiogreen.host,Studio Green | Server Monitoring System,,,50,540,2026-04-26T13:20:19.995592871Z,"['Alternate Protocol', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Divi', 'ECharts', 'Elegant Themes', 'EmbedPress', 'Express', 'Google Cloud DNS', 'Google Font API', 'Google Looker Studio', 'Gravity', 'Gravity Forms', 'Keller Williams Realty', 'Nginx', 'PHP', 'Thank You', 'Theme In WP', 'UTF-8', 'Way', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery', 'wpDataTables']"
c4a.me,Redirect - Code for America,,USA,70,201696,2026-04-26T11:44:19.982098938Z,"['3 Products', 'AWS WAF Challenge', 'Airtable', 'Amazon Associates', 'Amazon Widgets', 'Asana', 'Automattic', 'BLR', 'CDN JS', 'Calendly', 'Camp', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'DoubleDutch', 'Drupal', 'Eventbrite', 'Expensify', 'Express', 'Gambling Content', 'GitHub Hosting', 'Google Calendar', 'Google Forms', 'Google Looker Studio', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'GrubHub', 'Heroku', 'Hootsuite Badge', 'InitiativeS', 'K2F', 'Keen IO', 'Medium', 'Microsoft 365', 'Neighborhoods', 'Notion', 'Oracle Cloud', 'PHP', 'Python', 'QUIC', 'Qualtrics Site Intercept', 'RM Education', 'SMC', 'Trello', 'Tumblr', 'Twitter Ads', 'Typeform', 'UPS', 'UStream', 'UTF-8', 'University or College', 'UserVoice', 'WordPress', 'YouTube', 'acens Technologies']"
koladebuilds.com,Kolade Oluwadare (KoladeBuilds) | Software Engineer and Builder,,,67,319,2026-04-26T01:08:19.998808901Z,"['Alternate Protocol', 'Coming Soon Page', 'Content Delivery Network', 'GitHub Hosting', 'Google Analytics', 'Google Cloud DNS', 'Google Looker Studio', 'Google My Business', 'Google Tag Manager', 'InitiativeS', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Next.js', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Vercel', 'YouTube', 'shadcn ui']"
worldstrides.com,Educational Travel & Educational Tours Abroad | WorldStrides | WorldStrides,,,67,308017,2026-04-25T23:53:20.044771977Z,"['AWS WAF Challenge', 'Amazon', 'Bing Cashback', 'Bing Conversion Tracking', 'Content Delivery Network', 'CookieYes', 'DoubleClick Bid Manager', 'Facebook Login', 'Facebook Reseller', 'Formstack', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Looker Studio', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Greenhouse', 'HubSpot Conversations', 'Hubspot', 'Instagram Follow Button', 'Juicer DMP', 'K2F', 'LinkedIn Pixel', 'LivePerson', 'Media.net', 'Microdata for Google Shopping', 'Microsoft 365', 'Next.js', 'OneTrust Domain Verification', 'PWA', 'Pleroma', 'Qualtrics Site Intercept', 'Sitecore CMS', 'Storyblocks', 'Thank You', 'UTF-8', 'University or College', 'Vercel', 'Vimeo', 'YouTube', 'Zoom Video Conferencing']"
vespermovie.com,Vesper | Official Website | September 30 2022,,,47,2235,2026-04-25T01:21:00.778924505Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'Amazon Widgets', 'Apple Auto Link Maker', 'BLR', 'ByteDance', 'CloudFront', 'Coming Soon Page', 'Content Delivery Network', 'DAV', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'GZIP Module', 'Google Analytics', 'Google Looker Studio', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'QUIC', 'Telegram', 'TikTok Conversion Tracking Pixel', 'Tumblr', 'Twitter Ads', 'Twitter Analytics', 'UTF-8', 'WhatsApp Sharing', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
switchclinic.ca,SWITCH,,CAN,60,102,2026-04-24T12:29:19.996623812Z,"['Alternate Protocol', 'Canada Helps', 'Contact Form Plugin', 'EmbedPress', 'Font Awesome', 'Google Cloud DNS', 'Google Font API', 'Google Looker Studio', 'Google My Business', 'InitiativeS', 'Instagram Follow Button', 'LiteSpeed', 'PHP', 'QUIC', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery']"
