domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
grandbaystorageal.com,Home | Grand Bay Storage LLC,,USA,77,25028,2026-03-14T10:12:14.338671288Z,"['Alternate Protocol', 'Amazon CloudFront', 'CloudFront', 'Cloudinary', 'DAV', 'Fastly', 'Fireblade', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Pay', 'Google Related Website Sites', 'Investor Relations', 'Nuxt.js', 'Perl', 'Tailwind CSS', 'UTF-8', 'VisitorTracking']"
blaciokamith.com,BLACIOKAMITH,,,52,60,2026-03-14T09:53:58.13842085Z,"['Amazon', 'Amazon CloudFront', 'Apture Linking Platform', 'CloudFront', 'Cloudflare', 'ElementUI', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'GZIP Module', 'GetResponse', 'Giropay', 'Google My Business', 'Google Pay', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PayPal', 'QUIC', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Vue.js', 'jsDelivr']"
specialityk.com,specialityk,,,52,,2026-03-14T09:20:11.078688732Z,"['Apture Linking Platform', 'Cloudflare', 'ElementUI', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'GZIP Module', 'GetResponse', 'Giropay', 'Google My Business', 'Google Pay', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PayPal', 'QUIC', 'Twitter Ads', 'UTF-8', 'Vue.js', 'jsDelivr']"
leftcoastleatherweekend.com,"Bondage/BDSM, Sex Toys, Puppy Play and Sports Gear - Mr. S Leather",Mr S Leatherr,VEN,92,434705,2026-03-14T06:00:04.649756934Z,"['Adobe Analytics', 'Adobe Marketing Cloud', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Authorize.net', 'Braintree', 'Bunny Fonts', 'Cisco/Arrowpoint Content Service Switch', 'Content Delivery Network', 'DemDex', 'DoubleClick Bid Manager', 'Express', 'Facebook Reseller', 'Fastly', 'Fastly CDN', 'Fireblade', 'Font Awesome', 'FormSubmit', 'Freshdesk Support', 'Freshworks CRM', 'GetResponse', 'Giropay', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Pay', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Klevu', 'Magento Enterprise', 'Microdata for Google Shopping', 'Microsoft Clarity', 'New Relic', 'PHP', 'PayPal Adaptive Payments', 'Perl', 'Pico CSS', 'QUIC', 'ScarabResearch', 'Shoelace Style', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Unix', 'Unsplash', 'UserWay', 'Vercel', 'Vimeo', 'Vimeo CDN', 'Way', 'Wirecard', 'YouTube', 'arsys.es', 'eLand', 'reCAPTCHA', 'shadcn ui']"
genesisrvboatstorage.com,Home | Genesis RV & Boat Storage Inc,,USA,72,25028,2026-03-14T04:55:40.170955347Z,"['Alternate Protocol', 'Amazon CloudFront', 'CloudFront', 'Cloudinary', 'DAV', 'Fastly', 'Fireblade', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Pay', 'Google Related Website Sites', 'Google Tag Manager', 'Investor Relations', 'Nuxt.js', 'Perl', 'UTF-8', 'VisitorTracking']"
strikingk.com,Strikingk,,,42,,2026-03-13T23:27:21.77563352Z,"['Adult Content', 'Apture Linking Platform', 'ByteDance', 'Cloudflare', 'ElementUI', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'GZIP Module', 'GetResponse', 'Giropay', 'Google My Business', 'Google Pay', 'Microdata for Google Shopping', 'PayPal', 'QUIC', 'Tailwind CSS', 'TikTok Conversion Tracking Pixel', 'UTF-8', 'Vue.js', 'jsDelivr']"
africanartandobjects.com,African Arts And Objects – African Art and Objects,African Art and Objects,USA,82,6204,2026-03-13T23:12:33.027931348Z,"['Amazon', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Google My Business', 'Google Pay', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'QUIC', 'Shopify', 'Shopify Collabs', 'Shopify Payments', 'UTF-8', 'eLand', 'hCaptcha', 'reCAPTCHA']"
dbvacay.com,"Welcome to our swimsuit site! Find diverse styles from classic one - pieces to trendy bikinis, made of premium fabric with unique prints. Easy nav, secure checkout, one - click away! - Dbvacay",,,62,5032,2026-03-13T21:42:48.374439312Z,"['Amazon', 'Amazon CloudFront', 'Amazon WAF Blocked', 'Apture Linking Platform', 'CloudFront', 'Cloudflare', 'ElementUI', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'GZIP Module', 'GetResponse', 'Giropay', 'Google Analytics', 'Google My Business', 'Google Pay', 'Google Tag Manager', 'Klarna', 'Microdata for Google Shopping', 'NFOrce Internet', 'PayPal', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Vue.js', 'YouTube', 'jsDelivr']"
diplomaticn.com,diplomaticn,,,52,,2026-03-13T16:30:51.527850251Z,"['Adult Content', 'Apture Linking Platform', 'Cloudflare', 'Content Delivery Network', 'ElementUI', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'GZIP Module', 'GetResponse', 'Giropay', 'Google My Business', 'Google Pay', 'Microdata for Google Shopping', 'PayPal', 'QUIC', 'UTF-8', 'Vue.js', 'jsDelivr']"
ntgirls.shop,Neal & Thadd’s Girls - NTGirls.com — Where the hottest girls meet the coldest minds. Watch the show. Join the movement. Unlock what they won’t post anywhere else.,Neal & Thadd's Girls,,57,3589,2026-03-13T12:13:17.144559093Z,"['AWS WAF Challenge', 'Age Gate', 'Alternate Protocol', 'Apture Linking Platform', 'Baidu Cloud', 'Download Monitor', 'Elementor', 'EmbedPress', 'Express', 'Fancybox for WordPress', 'GDPR Consent Management Platform', 'GitHub Hosting', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Pay', 'Gtranslate for Wordpress', 'Instagram Follow Button', 'Media.net', 'Meks Smart Author Widget', 'Microdata for Google Shopping', 'NFOrce Internet', 'Onyx Internet', 'PHP', 'PWA', 'Paid Memberships Pro', 'PayPal', 'PayPal Adaptive Payments', 'Perl', 'QUIC', 'Schema Plugin', 'Sitelinks Search Box', 'The SEO Framework', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Widget Options', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Stripe Payment Gateway', 'WordPress', 'WordPress Multisite', 'Yandex Hosting', 'YouTube', 'eLand', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
