domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
eventorganizerbandung.co.id,VECHA Event Organizer Indonesia,Vecha Event,IDN,77,360,2026-04-17T13:38:20.024473315Z,"['Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Google Forms', 'Google My Business', 'Google Workspace', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'QUIC', 'WhatsApp Sharing', 'YouTube']"
ggera.org.uk,GGERA | Golders Green Estate Residents Association,,GBR,65,718,2026-04-17T13:37:45.971905663Z,"['Alternate Protocol', 'Cornerstone', 'DAV', 'EmbedPress', 'Google My Business', 'Google Workspace', 'Nginx', 'PHP', 'Theme In WP', 'Twenty Twelve', 'UTF-8', 'Vello', 'WP Fastest Cache', 'WordPress', 'WordPress Multisite', 'jQuery']"
ultimateprotection.co.nz,"Scaffolding, Safety Nets & Temp Fencing Auckland & Waikato - Ultimate Protection NZ",Ultimate Protection,NZL,77,118188,2026-04-17T13:35:20.007093028Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Better Lead Generation Services', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'Fireblade', 'GZIP Module', 'Google My Business', 'Google Related Website Sites', 'Google Workspace', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'UTF-8', 'University or College', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom']"
microcosmpublishing.com,Microcosm Publishing,,USA,72,37231,2026-04-17T13:35:19.990456798Z,"['3 Products', 'AWS WAF Challenge', 'Add to Any', 'Alibaba Cloud CDN', 'BLR', 'Cisco/Arrowpoint Content Service Switch', 'Coming Soon Page', 'DAV', 'Daily Deals', 'Eventbrite', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Google Workspace', 'InitiativeS', 'Instagram Follow Button', 'Linktree', 'Microdata for Google Shopping', 'Nginx', 'Oracle Cloud', 'QUIC', 'Schema Plugin', 'Tumblr', 'UTF-8', 'WordPress', 'Yahoo Finance Widget', 'YouTube', 'eLand', 'itch.io']"
allstoragelayton.com,All Storage Layton: Home,,,55,563,2026-04-17T13:32:20.003014989Z,"['AWS WAF Challenge', 'Amazon', 'Amazon S3 CDN', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Google Workspace', 'Ntent', 'OpenResty', 'Report URI', 'Storyblocks', 'Stripe', 'UTF-8']"
mctighestorage.com,McTighe Storage: Home,,,55,563,2026-04-17T13:29:19.993361003Z,"['AWS WAF Challenge', 'Amazon', 'Amazon S3 CDN', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Google Workspace', 'Ntent', 'OpenResty', 'Report URI', 'Storyblocks', 'Stripe', 'UTF-8']"
apcnopain.com,Advanced Pain Consultants,Advanced Pain Consultants,,65,3840,2026-04-17T13:28:14.3944364Z,"['Advanced iFrame', 'Alternate Protocol', 'Automattic', 'Content Delivery Network', 'EmbedPress', 'Formidable Pro Form', 'GTranslate', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Workspace', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Pico CSS', 'Popup Maker for Wordpress', 'Responsive Data', 'Schema Plugin', 'Slider Revolution', 'Theme In WP', 'Total', 'UTF-8', 'WP Engine', 'WPBakery', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
thesideoflove.com,Erring on the Side of Love,,SGP,65,93591,2026-04-17T13:26:19.982982907Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Automattic', 'Blogger', 'Express', 'GZIP Module', 'Gambling Content', 'GetGist', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Recommendations AI', 'Google Workspace', 'Instagram Follow Button', 'Ntent', 'Onyx Internet', 'QUIC', 'SMC', 'SnapWidget', 'UTF-8', 'Way', 'jQuery Pin It Button for Images']"
brownanalyticsgroup.com,Brown Analytics Group,,USA,72,600,2026-04-17T13:23:19.977181608Z,"['Content Delivery Network', 'Google Forms', 'Google My Business', 'Google Workspace', 'Instagram Follow Button', 'Next.js', 'Python', 'Tailwind CSS', 'UTF-8', 'University or College', 'Vercel', 'shadcn ui']"
eesaaexports.com,"EESAA EXPORTS,Salem, India - Company Profile",,,62,33060,2026-04-17T13:20:19.980537353Z,"['AWS WAF Challenge', 'Amazon CloudFront', 'Apture Linking Platform', 'Bulma', 'ETranslate', 'Fireblade', 'GTranslate', 'GZIP Module', 'Google My Business', 'Google Workspace', 'Nginx', 'PHP', 'Perl', 'Tailwind CSS', 'Thank You', 'UTF-8', 'Ubuntu', 'Unix', 'WhatsApp Sharing', 'eLand', 'jsDelivr']"
