domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
tax-smart.co.uk,Chartered Certified Accountants,,GBR,70,2103,2026-04-22T17:44:20.004716995Z,"['Alternate Protocol', 'Content Delivery Network', 'DAV', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Google Cloud DNS', 'Google Font API', 'Gravity', 'Gravity Forms', 'HappyAddons', 'Hello Elementor', 'Instagram Follow Button', 'LiteSpeed', 'NFOrce Internet', 'PHP', 'QUIC', 'Theme In WP', 'To Top', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
marujodespachante.com.br,Marujo Escola Náutica – Balneário Camboriú,,BRA,65,2341,2026-04-22T17:44:19.984463882Z,"['Alternate Protocol', 'Apture Linking Platform', 'Elementor', 'EmbedPress', 'Google Analytics', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'HappyAddons', 'Hello Elementor', 'Instagram Follow Button', 'Lazy Load for WordPress', 'LiteSpeed', 'NFOrce Internet', 'PHP', 'PixelYourSite', 'QUIC', 'Theme In WP', 'To Top', 'UTF-8', 'WP Rocket', 'WhatsApp Sharing', 'WordPress', 'WordPress Multisite', 'jQuery']"
ldmovers.com,Long Distance USA Movers,Long Distance USA Movers,VEN,77,55263,2026-04-22T17:44:19.984903365Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Better Lead Generation Services', 'Bulma', 'CDN JS', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'FreeCSSTemplates', 'Google Analytics', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'HMDG', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Clarity', 'PHP', 'Perfmatters', 'QUIC', 'TablePress', 'Tailwind CSS', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WordPress', 'WordPress Multisite', 'Yelp Badge', 'YouTube', 'jQuery', 'jsDelivr']"
womenapplyingai.org,Women Applying AI: Empowering Women to Shape the Future of AI,,,67,17364,2026-04-22T17:44:19.979710083Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'CheryFramework', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Cornerstone', 'EmbedPress', 'Essential Grid', 'Fontello', 'Givebutter', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Kinsta', 'Microdata for Google Shopping', 'PHP', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
jcfoc.org,Home - Jewish Community Foundation Orange County,,USA,70,1976,2026-04-22T17:43:43.289533394Z,"['Alternate Protocol', 'Call to Visit', 'EmbedPress', 'Fontello', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'IcoMoon', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Slider Revolution', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WPBakery', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery']"
consultancyonesolutions.com,Home - Consultancy One Solutions,,USA,87,43680,2026-04-22T17:43:43.254303435Z,"['Alternate Protocol', 'Beaver Builder Lite', 'Cloudflare', 'CoBlocks', 'Content Delivery Network', 'Contento', 'EmbedPress', 'GoDaddy', 'Google', 'Google Cloud DNS', 'Google Font API', 'Gravity', 'Gravity Forms', 'Microdata for Google Shopping', 'PHP', 'Pagekit', 'Schema Plugin', 'SiteW', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Wangsu', 'Website Tonight', 'WordPress', 'WordPress Multisite', 'jQuery']"
thecft.ca,Home - The Centre for Transformation,,CAN,77,26265,2026-04-22T17:43:43.250469481Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'ArvanCloud', 'Astra Theme', 'Cloudflare', 'Cloudflare CDN', 'Elementor', 'EmbedPress', 'Google', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'HappyAddons', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'PHP', 'QUIC', 'Site Kit', 'Sitelinks Search Box', 'Theme In WP', 'To Top', 'Tutor LMS', 'UTF-8', 'Vector Internet Services', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Payments', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'YouTube', 'jQuery', 'jsDelivr']"
chrisryangolf.com,Golf Coaching - Golf Lessons | Chris Ryan Golf,Chris Ryan Golf,,67,6032,2026-04-22T17:43:43.244620492Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Apache', 'Astra Theme', 'Autoptimize', 'CartFlows', 'GZIP Module', 'GenerateBlocks', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity Forms', 'Instagram Follow Button', 'MailChimp', 'Microdata for Google Shopping', 'QUIC', 'Twitter Ads', 'UTF-8', 'WPForms', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'YouTube', 'jQuery', 'reCAPTCHA']"
jlc.ca,Law Firm In Vancouver & Surrey BC | Jiwa Law Corporation,Jiwa Law Corporation,CAN,77,21685,2026-04-22T17:41:19.995532537Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Elementor', 'EmbedPress', 'Fireblade', 'Google', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Sitelinks Search Box', 'Sucuri Cloudproxy', 'Table Addons for Elementor', 'Twitter Ads', 'UTF-8', 'WP Rocket', 'WP Statistics', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'reCAPTCHA']"
wmjobs.com,Home - Wollborg Michelson Recruiting,Wollborg Michelson Recruiting,USA,70,21476,2026-04-22T17:38:20.008116922Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'DoubleClick Bid Manager', 'Easy Fancybox', 'EmbedPress', 'Google', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'Jetpack', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'PHP', 'Page scroll to id', 'Popup Maker for Wordpress', 'QUIC', 'SiteOrigin', 'SiteOrigin Panels', 'StudioPress', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'University or College', 'Vantage', 'WP Engine', 'WP Rocket', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'jQuery Pin It Button for Images', 'reCAPTCHA']"
aries-accountants.co.uk,Chartered Accountants in Witney and Abingdon | Modus Accountants,Modus Accountants,GBR,77,3672,2026-04-22T17:38:20.007674516Z,"['Adult Content', 'Apture Linking Platform', 'CDN JS', 'Calendly', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Express', 'GZIP Module', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Conversion Tracking', 'Google Customer Reviews', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Gravity Forms', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'Nginx', 'Ntent', 'PHP', 'Perl', 'QUIC', 'Schema Plugin', 'Slider Revolution', 'Startit', 'Subversion', 'Theme In WP', 'UTF-8', 'Visual Composer Ultimate Addons', 'WP Rocket', 'WPBakery', 'WPForms', 'WordPress', 'WordPress Multisite', 'Xero', 'eLand', 'jQuery', 'reCAPTCHA']"
wintersedgerecruiting.com,Winters Edge Recruiting For Athletes With Da’Vell Winters,Winters Edge Recruiting &#8211; Da&#039;Vell Winters,USA,82,228752,2026-04-22T17:38:20.005992623Z,"['Alternate Protocol', 'Beaver Builder Lite', 'Cloudflare', 'Content Delivery Network', 'Contento', 'DAV', 'EmbedPress', 'Font Awesome', 'FreeBSD', 'GZIP Module', 'GitHub Hosting', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'KeyCDN', 'Microdata for Google Shopping', 'Nginx', 'Ntent', 'Python', 'Recruiting.com', 'Salesforce Hosted', 'Schema Plugin', 'Shopware', 'Sitelinks Search Box', 'The SEO Framework', 'UTF-8', 'University or College', 'Vector Internet Services', 'Waveform Technology', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'Yandex Hosting', 'symfony PHP Framework']"
dampstore.ie,The Damp Store - Ireland's Leading Damp Proofing Contractors,The Damp Store,IRL,82,35743,2026-04-22T17:38:20.003478286Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Contact Form Plugin', 'Content Delivery Network', 'EmbedPress', 'Fireblade', 'Flatsome', 'FormSubmit', 'Google', 'Google Analytics', 'Google Conversion Tracking', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity Forms', 'IcoMoon', 'Jetpack', 'Lazy Load for WordPress', 'MailChimp', 'Microdata for Google Shopping', 'PHP', 'Perl', 'QUIC', 'Sitelinks Search Box', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'WP Rocket', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Stripe Payment Gateway', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery', 'reCAPTCHA']"
guident.in,Guident – Dental Magezine Professionals,,IND,65,2123,2026-04-22T17:38:19.987609939Z,"['Alternate Protocol', 'Elementor', 'Embed Any Document', 'EmbedPress', 'Essential Addons for Elementor', 'GeneratePress Company', 'Google Analytics', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'HappyAddons', 'LiteSpeed', 'NFOrce Internet', 'PHP', 'Q2W3 Fixed Widget', 'QUIC', 'Recent Posts Widget With Thumbnails', 'Theme In WP', 'To Top', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
cyure.shop,Cyure.shop – Health Without Borders,,PAK,65,24520,2026-04-22T17:38:19.986085604Z,"['Agoda', 'Alternate Protocol', 'Content Delivery Network', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Line2', 'LiteSpeed', 'M247', 'Newsletter for Wordpress', 'OceanWP', 'PHP', 'QUIC', 'QUIC.cloud', 'Tailwind CSS', 'To Top', 'UTF-8', 'WP Mobile Menu', 'WPForms', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite']"
ssfmgroup.com,SSFM Group | Top Fabrication and Manufacturing,SSFM,IND,82,3134,2026-04-22T17:35:20.034119309Z,"['AJAX Libraries API', 'Alternate Protocol', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'EmbedPress', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity Forms', 'IcoMoon', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Recent Posts Widget With Thumbnails', 'Thank You', 'Theme In WP', 'UTF-8', 'WPForms', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
plantstreetrecycling.com,Plant Street Recycling - Winter Garden Recycling,Plant Street Recycling,GBR,82,5600,2026-04-22T17:35:20.017163925Z,"['Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Content Delivery Network', 'DAV', 'Elementor', 'EmbedPress', 'Express', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Muffin Group', 'NFOrce Internet', 'Neighborhoods', 'PHP', 'QUIC', 'Site Kit', 'Sitelinks Search Box', 'Theme In WP', 'UTF-8', 'WP Rocket', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Pixel Manager by woopt', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'YouTube', 'jQuery']"
lifequestnhc.com,lifequestnhc,,USA,67,5061,2026-04-22T17:35:00.975888798Z,"['Alternate Protocol', 'Automattic', 'BatCache', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'Gravity', 'Gravity Forms', 'Gutenberg', 'HappyAddons', 'Header, Footer and Blocks for Elementor', 'Jetpack', 'Jetpack Site Accelerator', 'NFOrce Internet', 'Nginx', 'PHP', 'Perl', 'Theme In WP', 'To Top', 'Twitter Ads', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery']"
myo.org.au,Home - Melbourne Youth Orchestras,Melbourne Youth Orchestras,,62,1408,2026-04-22T17:35:00.974901862Z,"['Alternate Protocol', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'EmbedPress', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Subversion', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
croaremprendimientos.com,CROAR Emprendimientos | Inicio,,PRI,82,2618,2026-04-22T17:35:00.963063213Z,"['Alternate Protocol', 'Astra Theme', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Gravity Forms', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'QUIC', 'Sitelinks Search Box', 'Table Addons for Elementor', 'Theme In WP', 'UTF-8', 'WPForms', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'YouTube', 'jQuery']"
firstdallas.org,First Baptist Dallas - Biblical Truth and Community,,USA,82,13532,2026-04-22T17:24:39.387783942Z,"['Alternate Protocol', 'Content Delivery Network', 'EmbedPress', 'Express', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'HubSpot WordPress Plugin', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Sitelinks Search Box', 'The SEO Framework', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'University or College', 'WP Engine', 'WordPress', 'WordPress Multisite', 'YouTube']"
