domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
helenandbradhomes.com,"Helen Miller, Real Estate Agent - Compass",Compass,USA,67,226631,2026-01-30T17:18:29.810104472Z,"['Alibaba Cloud CDN', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Apple Auto Link Maker', 'Apture Linking Platform', 'CDN JS', 'Cisco/Arrowpoint Content Service Switch', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Content Delivery Network', 'Content Square', 'CookieConsent', 'DAV', 'DoubleClick Bid Manager', 'ElementUI', 'Express', 'Facebook Reseller', 'Fireblade', 'FullStory', 'GitHub Hosting', 'Global Privacy Control', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Play', 'Google Recommendations AI', 'Google Tag Manager', 'Gravity', 'Greenhouse', 'Heap', 'Hubspot', 'InitiativeS', 'Instagram Follow Button', 'Intercom', 'Microdata for Google Shopping', 'Neighborhoods', 'Parcel', 'Perl', 'Postimage.org', 'Prospective', 'Qualtrics Site Intercept', 'Segment', 'SiteW', 'Smart App Banner', 'Storyblocks', 'Stripe', 'Trustarc Cookie Consent', 'Twitter Ads', 'UTF-8', 'University or College', 'Userpilot', 'Vimeo', 'Wistia', 'YouTube', 'Zendesk Guide', 'cstate', 'eLand', 'jsDelivr', 'reCAPTCHA']"
toddgalloway.com,Todd Galloway: This cover letter *is* a product.,,,67,51571,2026-01-30T16:24:47.577232631Z,"['Alpine.js', 'Alternate Protocol', 'Apture Linking Platform', 'Breezy HR', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Workers', 'Content Delivery Network', 'DAV', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Greenhouse', 'QUIC', 'Recruitee', 'Snowplow', 'Tailwind CSS', 'Way', 'jsDelivr', 'shadcn ui']"
thomasperkinsphotography.com,About Thomas Perkins | Flickr,,,62,322440,2026-01-30T15:07:38.488915646Z,"['33 Across Direct', 'Accelerated Mobile Pages', 'Adtelligent Reseller', 'Adult Content', 'Advertising.com', 'Alternate Protocol', 'Amazon', 'Amazon Associates Affiliate Shop', 'Amazon CloudFront', 'Amazon Route 53', 'AppNexus Direct', 'ArvanCloud', 'BLR', 'BidSwitch Direct', 'Blockthrough', 'BlueKai', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Connatix Reseller', 'Content Delivery Network', 'ContextWeb', 'Criteo', 'DoubleClick Bid Manager', 'Financial Services Guide', 'Fireblade', 'GDPR Consent Management Platform', 'GZIP Module', 'Getty Images Embed', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Greenhouse', 'Help.com', 'Improve Digital Direct', 'Instagram Follow Button', 'IponWeb BidSwitch', 'License Buttons', 'LiveChat Monitoring', 'Media.net', 'Media.net Reseller', 'MediaMath', 'Microdata for Google Shopping', 'NiftyImages', 'No-Q', 'Ntent', 'OSS CDN', 'OpenX Direct', 'Prebid', 'PubMatic Direct', 'Pubmatic', 'Quantcast Direct', 'RM Education', 'Rich Audience Direct', 'SMC', 'Seedtag Reseller', 'Sentry', 'Sift Science', 'SmartAdServer Direct', 'Sovrn Direct', 'Stripe', 'Telligent', 'Triple Lift Direct', 'Trustarc Cookie Consent', 'Tumblr', 'Turn', 'Twitter Ads', 'US Privacy User Signal Mechanism', 'UTF-8', 'Vignette OpenText', 'Yahoo Web Analytics', 'Yieldmo Direct', 'YouTube', 'iStockPhoto', 'jsDelivr']"
archflow.one,Eco - Most Powerful Stablecoin Platform,,GBR,72,50240,2026-01-30T12:28:48.870667109Z,"['AWS WAF Challenge', 'Apture Linking Platform', 'Better Lead Generation Services', 'Content Delivery Network', 'Fireblade', 'Greenhouse', 'Instagram Follow Button', 'Next.js', 'Pleroma', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Vercel', 'YouTube', 'shadcn ui']"
terbergkinglifter.com,Terberg Kinglifter,,DEU,67,89058,2026-01-30T10:55:48.895102976Z,"['Active Campaign', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Azure Edge', 'Bulma', 'Bunny Fonts', 'CloudFront', 'Cloudflare', 'Cloudinary', 'Crowdsignal', 'DoubleClick Bid Manager', 'ElementUI', 'Episerver Search Navigation', 'Facebook Reseller', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'Google Tag Manager', 'Greenhouse', 'LinkedIn Pixel', 'Matomo', 'Matomo Tag Manager', 'Microsoft Azure', 'Tailwind CSS', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'Visual Studio', 'Vue.js', 'YouTube', 'jQuery', 'jsDelivr']"
maplightrx.com,Redefining the standard of care for brain disorders | MapLight Therapeutics,"MapLight Therapeutics, Inc.",,72,24247,2026-01-30T08:13:48.871265384Z,"['Alternate Protocol', 'Complianz', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'Elementor', 'EmbedPress', 'Genesis Blocks', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Greenhouse', 'Hello Elementor', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'PHP', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WP Engine', 'WordPress', 'WordPress Multisite', 'jQuery']"
georgeknowshomes.com,"George Krizanovic, Real Estate Agent - Compass",Compass,USA,77,239611,2026-01-30T03:37:48.880571103Z,"['AWS WAF Challenge', 'Alibaba Cloud CDN', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Apple Auto Link Maker', 'Apture Linking Platform', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Content Delivery Network', 'Content Square', 'CookieConsent', 'DoubleClick Bid Manager', 'ElementUI', 'Express', 'Facebook Reseller', 'Fireblade', 'FullStory', 'GitHub Hosting', 'Global Privacy Control', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Play', 'Google Recommendations AI', 'Google Tag Manager', 'Gravity', 'Greenhouse', 'Heap', 'Homes.com CMS', 'Hubspot', 'Instagram Follow Button', 'Intercom', 'Microdata for Google Shopping', 'Neighborhoods', 'Parcel', 'Perl', 'Prospective', 'Qualtrics Site Intercept', 'Segment', 'SiteW', 'Smart App Banner', 'Stripe', 'Trustarc Cookie Consent', 'Twitter Ads', 'UTF-8', 'Userpilot', 'Wistia', 'YouTube', 'Zendesk Guide', 'cstate', 'eLand', 'jsDelivr', 'reCAPTCHA']"
cockroachlabsmeeting.com,CockroachDB | Distributed SQL for always-on customer experiences,,GBR,72,26668,2026-01-29T09:16:43.449586962Z,"['Content Delivery Network', 'DAV', 'Gambling Content', 'GitHub Hosting', 'Google Analytics', 'Google Tag Manager', 'Greenhouse', 'Instagram Follow Button', 'Netlify', 'Next.js', 'Pleroma', 'QUIC', 'Segment', 'Segment Consent Manager', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'Vector Internet Services', 'YouTube']"
terberg155.nl,Terberg 155,,,40,35453,2026-01-29T03:28:43.434620213Z,"['Active Campaign', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Azure Edge', 'Bulma', 'Bunny Fonts', 'CloudFront', 'Cloudflare', 'Cloudinary', 'Crowdsignal', 'DoubleClick Bid Manager', 'ElementUI', 'Episerver Search Navigation', 'Facebook Reseller', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'Google Tag Manager', 'Greenhouse', 'LinkedIn Pixel', 'Microsoft Azure', 'Tailwind CSS', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'Visual Studio', 'YouTube', 'jQuery', 'jsDelivr']"
trupointtech.com,Bluewave Advisory and Sourcing Partner,Bluewave Technology Group,,67,52097,2026-01-29T02:58:43.441490505Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'DuracellTomi Google Tag Manager for WordPress', 'EmbedPress', 'Google Analytics', 'Google Tag Manager', 'Greenhouse', 'HubSpot Conversations', 'Hubspot', 'IcoMoon', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'QUIC', 'Theme In WP', 'UTF-8', 'Vector Internet Services', 'Vimeo', 'WP Engine', 'WordPress', 'WordPress Multisite', 'jQuery']"
