domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
jjdiaz.dev,Jose Diaz - Resume / CV - jjdiaz.dev,,ESP,77,68925,2026-04-02T10:38:20.025223265Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Amazon Link Enchancer', 'Amazon Widgets', 'Apache', 'Atlassian Bitbucket', 'CM Commerce', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Figma', 'Flow', 'Font Awesome', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Hasnode', 'Jekyll', 'Medium', 'Nginx', 'Ntent', 'PHP', 'Python', 'RawGit', 'Subversion', 'UTF-8', 'Vector Internet Services', 'Visual Studio', 'Zend Server', 'jQuery', 'reCAPTCHA', 'symfony PHP Framework']"
vouchsystems.com.br,Vouch Systems | Consultoria Empresarial e Financeira e Recuperação de Crédito,,BRA,77,3988,2026-04-02T04:05:19.987099609Z,"['Apache', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Hasnode', 'Microdata for Google Shopping', 'reCAPTCHA']"
anantgabhane.com,Anant Gabhane,,,62,22988,2026-04-02T04:02:19.987529135Z,"['AWS WAF Challenge', 'Content Delivery Network', 'Express', 'GitHub Hosting', 'Hasnode', 'Next.js', 'Oracle Cloud', 'PHP', 'Python', 'QUIC', 'Tailwind CSS', 'UTF-8', 'University or College', 'Vector Internet Services', 'Vercel', 'YouTube', 'shadcn ui']"
jomariabejo.com,Jomari Abejo - Full Stack Developer,,,67,780,2026-04-02T02:14:19.977392659Z,"['Amazon CloudFront', 'Amazon Cognito', 'Calendly', 'CloudFront', 'Content Delivery Network', 'GitHub Hosting', 'Hasnode', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Next.js', 'Ntent', 'Pleroma', 'UTF-8', 'Vercel', 'YouTube', 'shadcn ui']"
agar.cc,Agar.io - Agario Game - Agario unblocked,Agario,CAN,77,49706,2026-04-01T17:32:06.715831819Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'ArvanCloud', 'Chute', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Cookies and You', 'DAV', 'Disqus Comment System for WordPress', 'DoubleClick Bid Manager', 'Flip', 'Gambling Content', 'Giphy', 'Google Forms', 'Google My Business', 'Hasnode', 'IntenseDebate', 'Krypt Technologies', 'Kryptronic', 'Linktree', 'Listly', 'LiteSpeed', 'Microdata for Google Shopping', 'OSS CDN', 'PWA', 'Perl', 'Pico CSS', 'Pixabay', 'Pixieset', 'QUIC', 'Reevoo', 'UTF-8', 'Wakelet', 'jsDelivr']"
delicate-leather.com,Delicate Leather - Custom Unique High-Quality Leather Car Accessories,Delicate Leather,VAT,77,232530,2026-04-01T09:08:19.99911003Z,"['3 Products', 'AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Aruba', 'Atom', 'Autodesk', 'Automattic', 'BLR', 'Band Camp', 'ByteDance', 'Calendly', 'Camp', 'Chute', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'DMCA Badge', 'Ethy', 'Express', 'Facebook Pixel', 'Fireblade', 'Flip', 'Flow', 'GitHub Hosting', 'GoDaddy', 'GoDaddy Website Builder', 'Google Adsense', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Forms', 'Google My Business', 'Google Related Website Sites', 'Hasnode', 'Instagram Follow Button', 'IntenseDebate', 'Klaviyo', 'Linktree', 'Lithium Technologies', 'Mastodon', 'Medium', 'Metooo', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Parcel', 'ParcelPanel Order Tracking', 'Pixieset', 'Product Hunt', 'Proven Expert', 'QUIC', 'RM Education', 'Reevoo', 'Scholastica', 'Shopify', 'Shopify Collabs', 'Sitelinks Search Box', 'Tableau', 'Tailwind CSS', 'Telegram', 'Tumblr', 'Twitter Ads', 'UTF-8', 'YouTube', 'about.me', 'eLand', 'hCaptcha', 'reCAPTCHA', 'shadcn ui']"
cruzix.com,DevSplit,DevSplit,CHL,72,185092,2026-04-01T02:53:58.427542737Z,"['Apture Linking Platform', 'Bulma', 'Cloudflare', 'Cloudflare CDN', 'Clutch', 'Crisp', 'GitHub Hosting', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Hasnode', 'JivoSite', 'Medium', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Pico CSS', 'Product Hunt', 'QUIC', 'Salesforce Hosted', 'Shopify', 'Shopify Collabs', 'Snowplow', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'hCaptcha', 'jsDelivr', 'reCAPTCHA', 'shadcn ui']"
thospfuller.com,Northern Virginia SEO Consultant: Grow Your Rankings Fast 🚀,Coherent Logic Limited,USA,82,44859,2026-03-31T18:10:41.123311643Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon Link Enchancer', 'Amazon Widgets', 'Atlassian Bitbucket', 'Automattic', 'BLR', 'BatCache', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Fastly', 'GitHub Hosting', 'Google', 'Google Adsense', 'Google Analytics', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Hasnode', 'Instagram Follow Button', 'Jetpack', 'Jetpack Site Accelerator', 'Medium', 'Microsoft Clarity', 'MonsterInsights', 'NFOrce Internet', 'Nginx', 'OceanWP', 'Oracle Cloud', 'PHP', 'Perl', 'Rush', 'Semrush', 'Tailwind CSS', 'Theme In WP', 'Tumblr', 'Twitter Ads', 'UTF-8', 'University or College', 'WP Mobile Menu', 'WPForms', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'Yandex Hosting', 'YouTube', 'jQuery', 'reCAPTCHA']"
sharefile.site,"Simple, secure file sharing solution for individuals and teams.",ShareFile,,87,122591,2026-03-31T14:30:28.271092361Z,"['Alternate Protocol', 'Amazon Widgets', 'Automattic', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hasnode', 'Linktree', 'Microdata for Google Shopping', 'PHP', 'Product Hunt', 'Proven Expert', 'QUIC', 'Salesforce Experience Cloud', 'Tableau', 'Tailwind CSS', 'Telegram', 'Twitter Ads', 'UTF-8', 'Vine Embed', 'YouTube', 'about.me', 'jQuery', 'jsDelivr', 'shadcn ui']"
finsafar.com,"Finsafar | NISM Mock Tests, Mutual Fund Advisory & Financial Tools",,IND,77,23311,2026-03-31T06:11:55.653858164Z,"['AWS WAF Challenge', 'Amazon', 'Fastly', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Gravity', 'Hasnode', 'IcoMoon', 'Icons8', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Nginx', 'Perl', 'QUIC', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Ubuntu', 'University or College', 'jQuery', 'jsDelivr']"
