domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
impulsehub.ie,Web Design Wexford | Dublin | Waterford - ImpulseHub,,,67,67641,2026-02-21T19:12:52.169578235Z,"['AWS WAF Challenge', 'Amazon CloudFront', 'Aruba', 'Baidu Cloud', 'CDN JS', 'Calendly', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudinary', 'Coming Soon Page', 'DAV', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hello Bar', 'Microdata for Google Shopping', 'OpenResty', 'POWr', 'Perl', 'Pixabay', 'Poptin', 'QUIC', 'RM Education', 'Shopify', 'StockSnap', 'Twitter Ads', 'UTF-8', 'Unsplash', 'eLand', 'jQuery', 'mlcom']"
joydaniels.info,Central Pennsylvania Real Estate Video Blog | Joy Daniels,,GBR,77,3166,2026-02-21T18:33:10.732765693Z,"['Alternate Protocol', 'Cloudflare', 'Coming Soon Page', 'Content Delivery Network', 'DAV', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Hello Bar', 'Instagram Follow Button', 'Investor Relations', 'Jekyll', 'Nationwide Mortgage Licensing System and Registry', 'PWA', 'QUIC', 'Twitter Ads', 'UTF-8', 'YouTube']"
brewinteractivenow.com,Digital Marketing Agency in Singapore | Brew Interactive,Brew Interactive,SGP,77,192338,2026-02-21T13:54:11.316821002Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Baidu Cloud', 'Better Lead Generation Services', 'Bunny Fonts', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'ContentViews', 'Divi', 'Elegant Themes', 'EmbedPress', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Hello Bar', 'HubSpot Conversations', 'HubSpot WordPress Plugin', 'Hubspot', 'Metronet Profile Picture', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Salesforce Hosted', 'Supreme Modules Lite', 'Thank You', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'VisitorTracking', 'WP Job Openings', 'WhatsApp Sharing', 'WordPress', 'WordPress Multisite', 'WordPress PopUp', 'YouTube', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
instrumentchoice.com.au,Instrument Choice | Scientific Instruments | Laboratory Equipment,,AUS,75,29511,2026-02-21T12:09:37.193170509Z,"['ASP.NET Core', 'AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Aruba', 'Baidu Cloud', 'Bing Cashback', 'Bing Conversion Tracking', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'Doofinder', 'Express', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hello Bar', 'IcoMoon', 'Line2', 'MailChimp', 'Newsletter for Wordpress', 'Parcel', 'QUIC', 'Shopify', 'Shopify Collabs', 'Shopify Payments', 'Tailwind CSS', 'UTF-8', 'University or College', 'Yandex Hosting', 'eLand', 'hCaptcha', 'jQuery', 'reCAPTCHA']"
coachtrex.com,Real Estate Team Growth Consultant | Terry Trexler,,USA,77,3799,2026-02-20T17:45:04.039158856Z,"['Alternate Protocol', 'Calendly', 'Cloudflare', 'Content Delivery Network', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Hello Bar', 'Instagram Follow Button', 'Jekyll', 'PWA', 'Paperform', 'Twitter Ads', 'UTF-8', 'YouTube']"
emergenthumans.co,Holistic Gentle Fairbanks Chiropractor Dr. Alex Swenson,,,82,17339,2026-02-20T13:34:14.311533084Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Complianz', 'Content Delivery Network', 'ConvertBox', 'EmbedPress', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Gutenberg Blocks by Kadence Blocks', 'Hello Bar', 'Instagram Follow Button', 'Jetpack', 'Kadence WP', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Pico CSS', 'Practice Better', 'Restored 316 Designs', 'Sitelinks Search Box', 'Theme In WP', 'UTF-8', 'University or College', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
perccares.org,"Piedmont Emergency Relief Center | Piedmont SC Food Bank | PERC – A Local Food Bank Fighting Hunger in Piedmont, SC",,USA,70,26793,2026-02-20T13:05:19.354226147Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Fontello', 'Genesis Blocks', 'GiveWP', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Hello Bar', 'IcoMoon', 'PHP', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'Vector Internet Services', 'WP Engine', 'WP GDPR Compliance', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery', 'reCAPTCHA']"
harboroughtutors.co.uk,Private Tutors Market Harborough | Tuition near Leicester | Inicio Mentor Ltd,Bennett's Place Courtyard,,72,8873,2026-02-19T21:23:54.39737586Z,"['Adobe Creative Cloud WebFonts', 'Adult Content', 'Alternate Protocol', 'Amazon', 'Amazon S3 CDN', 'Apture Linking Platform', 'Aruba', 'Elfsight', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'GrooveHQ', 'Harbor', 'Hello Bar', 'IcoMoon', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'Squarespace', 'Storyblocks', 'Thank You', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
weeadvertising.com,Home - weeadvertising,,IND,75,4486,2026-02-19T20:50:31.090605559Z,"['Advertising.com', 'Alternate Protocol', 'Astra Theme', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Fastly', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Header, Footer and Blocks for Elementor', 'Hello Bar', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Sticky Header Effects for Elementor', 'Sumo', 'Table Addons for Elementor', 'Theme In WP', 'UTF-8', 'WP Job Openings', 'WPForms', 'WordPress', 'WordPress Multisite', 'jQuery']"
mossy.com,"San Diego Nissan, Toyota, Ford, Volkswagen, Honda, Mitsubishi Dealership Serving San Diego | Dealer | Mossy Automotive Group",,USA,72,4155,2026-02-19T16:50:41.255626762Z,"['CDN JS', 'Cloudflare', 'Cloudflare CDN', 'ComplyAuto', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Code Prettify', 'Google Flights Conversion Tracking', 'Google Tag Manager', 'Hello Bar', 'IcoMoon', 'Microdata for Google Shopping', 'Perl', 'QUIC', 'Schema Plugin', 'ShareThis', 'Tailwind CSS', 'Thumbor', 'UTF-8', 'University or College']"
