domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
apolloneuro.com,"Touch Therapy Tech for Stress, Sleep & Performance | Apollo Neuro",,USA,82,149127,2026-04-09T13:14:20.025099604Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amped', 'Apture Linking Platform', 'Attentive', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'CoreUI', 'DAV', 'Everflow', 'Extend', 'Fastly', 'Font Awesome', 'FormSubmit', 'Google Related Website Sites', 'Heroku', 'Instagram Follow Button', 'Intelligems', 'Klaviyo', 'Microdata for Google Shopping', 'Microsoft Clarity', 'O2MC Dimml', 'Octane AI', 'PageFly', 'Perl', 'QUIC', 'Rebuy', 'SMC', 'Shopify', 'Shopify Collabs', 'Stamped', 'TrackingMore', 'UTF-8', 'University or College', 'UserWay', 'VWO Engage', 'Visual Website Optimizer', 'YouTube', 'Zendesk Guide', 'hCaptcha', 'jsDelivr', 'reCAPTCHA']"
wesleywright.dev,Wesley Wright | Software Engineer (ML + Full-Stack),,USA,70,6408,2026-04-09T13:11:19.997514428Z,"['Cloudflare', 'Content Delivery Network', 'Google', 'Google Cloud DNS', 'Google Font API', 'Heroku', 'IcoMoon', 'Python', 'QUIC', 'Tailwind CSS', 'TutorCruncher', 'UTF-8']"
metallbau-sh.de,MSH Metallbau Samuel Haug | Handwerk,,,57,26445,2026-04-09T13:11:19.988067247Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Heroku', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
dominguezflooringllc.com,Dominguez Flooring Llc | Home,,USA,77,2527,2026-04-09T13:10:44.85005191Z,"['ArvanCloud', 'Astro', 'Content Delivery Network', 'Font Awesome', 'Google Cloud DNS', 'Google Cloud Storage', 'Google My Business', 'Heroku', 'Instagram Follow Button', 'Netlify', 'Tailwind CSS', 'YouTube', 'jsDelivr']"
tacoslaoriginal.com,Tacos la Original | Home,,PHL,77,32527,2026-04-09T13:10:44.84806581Z,"['ArvanCloud', 'Astro', 'Content Delivery Network', 'Font Awesome', 'Google Cloud DNS', 'Google Cloud Storage', 'Google My Business', 'Heroku', 'Netlify', 'Tailwind CSS', 'The Fresh', 'jsDelivr', 'shadcn ui']"
swwsupplies.com,Southwest Workshop Supplies — SWSuppliesUK,,ZAF,77,97563,2026-04-09T13:08:20.026135224Z,"['501c3 Status Nonprofit', 'Alternate Protocol', 'Apture Linking Platform', 'Cart.com', 'Cloudflare', 'Cloudflare CDN', 'Fastly', 'Google Related Website Sites', 'Heroku', 'Hotjar', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'Newsletter for Wordpress', 'Phew', 'QUIC', 'Shopify', 'Shopify Collabs', 'Thank You', 'UTF-8', 'YouTube', 'hCaptcha', 'reCAPTCHA']"
spicycandybar.com,"Spicy Candy Car - Mexican Chamoy Candy, Dulces Enchilados – Spicy Candy Bar",Spicy Candy Bar ,,72,6276,2026-04-09T13:08:20.01495603Z,"['Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Google', 'Google Cloud DNS', 'Google Font API', 'Heroku', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PayPal', 'QUIC', 'Schema Plugin', 'Shopify', 'Shopify Collabs', 'Shopify Payments', 'Tailwind CSS', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
morninggloryalf.net,Morning Glory Meadows | Assisted Living Facility | DeKalb County,,,62,87921,2026-04-09T13:02:20.003182937Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Heroku', 'Instagram Follow Button', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'mlcom']"
loumier.com,RoseSkinCo. - At-Home Beauty Devices & Skincare - Professional Results,RoseSkinCo.,USA,77,30011,2026-04-09T12:56:19.992224129Z,"['Afterpay', 'Alternate Protocol', 'Amazon CloudFront', 'Amazon WAF Blocked', 'Amped', 'Apture Linking Platform', 'Baidu Cloud', 'Bing Cashback', 'Bing Conversion Tracking', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'CoreUI', 'DAV', 'Duoban', 'Ethy', 'GZIP Module', 'GetResponse', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gorgias', 'Heroku', 'Hootsuite Badge', 'IcoMoon', 'Instagram Follow Button', 'Klarna On Site Messaging', 'Klaviyo', 'Microdata for Google Shopping', 'Microsoft Clarity', 'NFOrce Internet', 'Perl', 'Python', 'QUIC', 'Shopify', 'Shopify Collabs', 'Stamped', 'Subversion', 'Thumbor', 'Twitter Ads', 'UTF-8', 'Yandex Hosting', 'eLand', 'hCaptcha', 'reCAPTCHA']"
frangiosafarms.com,Bee Shepherd | Buy Mushroom & Herbal Honey Online – Frangiosa Farms,,GBR,72,11540,2026-04-09T12:53:20.007276385Z,"['AdRoll', 'Amazon CloudFront', 'Apture Linking Platform', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Fastly', 'GoAffPro', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Heroku', 'IcoMoon', 'Instagram Follow Button', 'Klaviyo', 'Microdata for Google Shopping', 'Privy', 'QUIC', 'Schema Plugin', 'Shopify', 'Shopify Collabs', 'Swell Rewards', 'Tailwind CSS', 'UTF-8', 'YouTube', 'hCaptcha', 'reCAPTCHA']"
