domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
signaturekeysmedical.com,The Home of Inclusive Helathcare in Key West | Signature Keys Medical,,,67,24790,2026-03-10T10:36:49.289203414Z,"['AAPT', 'Alternate Protocol', 'B12', 'DAV', 'Financial Services Guide', 'GZIP Module', 'Google My Business', 'Hexo', 'Line2', 'No-Q', 'Perl', 'QUIC', 'Silicon Valley Web Hosting', 'Subversion', 'University or College', 'reCAPTCHA']"
letacars.com,St. Louis New & Used Mitsubishi Car Dealership | Special Financing | Frank Leta Mitsubishi / Automotive Outlet,,USA,82,60851,2026-03-10T10:01:25.051288883Z,"['AWS WAF Challenge', 'Adult Content', 'Alternate Protocol', 'Apture Linking Platform', 'Baidu Cloud', 'CakePHP', 'Cloudflare', 'Cloudflare CDN', 'ComplyAuto', 'DAV', 'Dialpad', 'Digital Ocean Spaces', 'DriveCentric', 'Duoban', 'Fireblade', 'Gambling Content', 'Google Analytics', 'Google Customer Reviews', 'Google Tag Manager', 'Headless UI', 'Hexo', 'Instagram Follow Button', 'Jetpack', 'Microdata for Google Shopping', 'Ntent', 'Nuxt.js', 'Pushbullet', 'Python', 'QUIC', 'Svelte', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'Vercel', 'W3 Total Cache', 'Yandex Hosting', 'YouTube', 'shadcn ui', 'symfony PHP Framework']"
cmagency.co.uk,CMA - The Digital Agency Built For Ambitious Brands,CMA,CAN,77,65790,2026-03-10T09:38:42.796447764Z,"['123-Reg', 'AWS WAF Challenge', 'Alternate Protocol', 'CookieYes', 'Divi', 'Elegant Themes', 'EmbedPress', 'Ethy', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Getwid Gutenberg Blocks', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Hexo', 'HubSpot WordPress Plugin', 'Instagram Follow Button', 'K2F', 'LinkedIn Insights', 'LinkedIn Pixel', 'Microdata for Google Shopping', 'Nationwide Mortgage Licensing System and Registry', 'Nginx', 'No-Q', 'Onyx Internet', 'PHP', 'Theme In WP', 'Tsohost', 'Twitter Ads', 'UTF-8', 'Ubuntu', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'eLand', 'jQuery', 'reCAPTCHA']"
bibitkunwar.com.np,Bibit's Blog,,,55,603,2026-03-10T08:58:16.965331457Z,"['CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'CookieConsent', 'Fastly', 'FreeCSSTemplates', 'GitHub Hosting', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Google Workspace', 'Hexo', 'License Buttons', 'Microdata for Google Shopping', 'PWA', 'UTF-8', 'jQuery', 'jsDelivr']"
bechdigital.com,BECH E-COM – Social Media Marketing For E-Commerce Brands,,,65,157565,2026-03-10T07:20:28.962161207Z,"['AAPT', 'Alternate Protocol', 'Baidu Cloud', 'CCSI', 'Cloudflare', 'Contact Form Plugin', 'Content Delivery Network', 'DAV', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Federal Deposit Insurance Corporation', 'Financial Services Guide', 'GoDaddy', 'HHVM', 'Hexo', 'Idaq', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'No-Q', 'PHP', 'SMC', 'Subversion', 'Taboola Direct', 'Theme In WP', 'UTF-8', 'Unix', 'Wangsu', 'WordPress', 'WordPress Multisite', 'jQuery']"
eisenwood.com,"Custom Woodwork Pittsburgh | Furniture, Cabinetry & Millwork | Eisenwood",Eisenwood,USA,77,205924,2026-03-10T06:42:11.712145174Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Contento', 'Express', 'Fastly', 'Fastly CDN', 'Fireblade', 'FormSubmit', 'GZIP Module', 'Google Related Website Sites', 'Hexo', 'Instagram Follow Button', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'On The Map', 'PWA', 'Pico CSS', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Subversion', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'WordPress Related Posts', 'eLand', 'mlcom']"
youcanfly.aero,Home Page,,USA,52,12443,2026-03-10T05:04:08.725625186Z,"['Amazon', 'Amazon CloudFront', 'BaseKit', 'Call to Visit', 'CloudFront', 'Content Delivery Network', 'Contento', 'Fastly', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Hexo', 'OpenResty', 'Site.pro', 'UTF-8', 'Vector Internet Services', 'eLand']"
mechaversus.online,Home / Mechaversus,,,62,95580,2026-03-10T04:04:00.233848388Z,"['DAV', 'Financial Services Guide', 'Gambling Content', 'Gatsby JS', 'GitHub Hosting', 'Hexo', 'K2F', 'KVH', 'LiteSpeed', 'No-Q', 'QUIC', 'SMC', 'Subversion', 'Tailwind CSS', 'Telegram', 'Twitter Ads', 'UTF-8', 'Vello', 'YouTube']"
0x777.me,0x777,,,35,60,2026-03-10T02:43:35.363983673Z,"['Baidu Cloud', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'GitHub Hosting', 'Hexo', 'Twitter Ads', 'UTF-8', 'jQuery']"
tahirameer.com,Pakistani Designer Dresses Online – USA Collections | Tahira Meer,,CAN,77,19523,2026-03-10T02:36:57.225138632Z,"['Adult Content', 'Amazon', 'Apture Linking Platform', 'Barracuda Web App Firewall', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'ElementUI', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Hexo', 'IcoMoon', 'Instagram Follow Button', 'Kiwi Sizing', 'Microdata for Google Shopping', 'QUIC', 'Shopify', 'Shopify Collabs', 'Subversion', 'To Top', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
brainybuddy.ai,Your Brainy Buddy!,,,42,223800,2026-03-10T01:54:11.570154897Z,"['AAPT', 'AWS WAF Challenge', 'Adult Content', 'Amazon CloudFront', 'Apyl', 'CCSI', 'CDN JS', 'Cisco/Arrowpoint Content Service Switch', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content ad', 'DAV', 'Digital Ocean Spaces', 'Endis', 'Enjoi', 'Ethy', 'Express', 'Fastly', 'Federal Deposit Insurance Corporation', 'Financial Services Guide', 'GZIP Module', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'HHVM', 'HMDG', 'Hexo', 'Idaq', 'K2F', 'KVH', 'NFOrce Internet', 'Nationwide Mortgage Licensing System and Registry', 'No-Q', 'Notion', 'O2MC Dimml', 'Onyx Internet', 'PHP', 'PWA', 'Paessler', 'Phew', 'Pleroma', 'Python', 'QUIC', 'SKWID', 'SMC', 'Salesforce Commerce Cloud', 'SiteW', 'Subversion', 'UTF-8', 'Unix', 'Visx', 'W3 Total Cache', 'YouTube', 'Zeald', 'Zope', 'jQuery']"
oneclick.com.mv,Shop - Oneclick Maldives,"Oneclick Maldives One Click Store | Wholesale &amp; Retail, Online Shopping in Maldives",MDV,85,94028,2026-03-10T01:14:28.100413801Z,"['3 Products', 'Add to Any', 'Alternate Protocol', 'CCSI', 'Cloudflare', 'Content Delivery Network', 'DAV', 'Elementor', 'EmbedPress', 'Financial Services Guide', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hexo', 'Instagram Follow Button', 'K2F', 'KVH', 'Line2', 'LiteSpeed', 'Microdata for Google Shopping', 'MonsterInsights', 'NFOrce Internet', 'No-Q', 'Onyx Internet', 'Pagekit', 'QUIC', 'QUIC.cloud', 'Subversion', 'Tailwind CSS', 'UTF-8', 'Wangsu', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'XStore']"
byfzk.com,Home - FZK Franziska,FZK Franziska,,67,128007,2026-03-10T00:07:21.233656316Z,"['ActiveProspect', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Apture Linking Platform', 'CCSI', 'Calendly', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Divi', 'Elegant Themes', 'Elfsight', 'EmbedPress', 'Financial Services Guide', 'Fireblade', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Hexo', 'IPFS', 'Instagram Follow Button', 'KVH', 'Microdata for Google Shopping', 'Modern Events Calendar Lite', 'No-Q', 'PHP', 'RM Education', 'SMC', 'SiteW', 'Sitelinks Search Box', 'SmartCrawl', 'Termageddon', 'Thank You', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WP Engine', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery', 'jsDelivr']"
