domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
askcaa.com,Chief AI Agent (CAA),AskCAA,,52,25039,2026-02-26T22:09:11.932926573Z,"['AWS WAF Challenge', 'Apture Linking Platform', 'Better Lead Generation Services', 'ComplyDog', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'DAV', 'Express', 'Fireblade', 'Google', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'Hootsuite Badge', 'InitiativeS', 'Interchange', 'Microdata for Google Shopping', 'NFOrce Internet', 'Next.js', 'Perl', 'Pleroma', 'QUIC', 'SMC', 'TruConversion', 'Twitter Ads', 'UTF-8', 'Vercel', 'eLand']"
dailyflowers.nl,Flower Delivery - Daily Flowers,Daily Flowers,NLD,82,41424,2026-02-26T22:09:11.919517101Z,"['AJAX Libraries API', 'Alternate Protocol', 'Amazon', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Baidu Cloud', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'Duoban', 'Ethy', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Hootsuite Badge', 'Instagram Follow Button', 'KVH', 'Klarna On Site Messaging', 'Klaviyo', 'Microdata for Google Shopping', 'Microsoft Clarity', 'NFOrce Internet', 'Parcel', 'Perl', 'Python', 'QUIC', 'Shopify', 'Shopify Collabs', 'Subversion', 'Tailwind CSS', 'Thumbor', 'UTF-8', 'Yandex Hosting', 'hCaptcha', 'reCAPTCHA']"
try-ourea.com,Ourea,Ourea,VAT,65,69312,2026-02-26T22:01:03.601262296Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Amplitude', 'Apture Linking Platform', 'Aruba', 'Baidu Cloud', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'Duoban', 'Ethy', 'Express', 'Fastly', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Hootsuite Badge', 'IcoMoon', 'Intelligems', 'KVH', 'Klarna On Site Messaging', 'Klaviyo', 'Microdata for Google Shopping', 'NFOrce Internet', 'Parcel', 'ParcelPanel Order Tracking', 'Perl', 'Python', 'QUIC', 'Shopify', 'Shopify Collabs', 'Subversion', 'Thumbor', 'UTF-8', 'University or College', 'Vector Internet Services', 'Yandex Hosting', 'eLand', 'hCaptcha', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
digitalyamini.com,Best Digital Marketing Trainer in Delhi NCR | Yamini Katara,Digital Yamini,IND,82,28139,2026-02-26T17:19:33.727833136Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Better Lead Generation Services', 'Click to Chat for WhatsApp', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'Elementor Addon Elements', 'ElementsKit Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'Google My Business', 'Google Play', 'Google Related Website Sites', 'Google Tag Manager', 'Hootsuite Badge', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'Microsoft Authentication Library for JavaScript', 'Ntent', 'OceanWP', 'PHP', 'Popup Maker for Wordpress', 'Premium Addons for Elementor', 'QUIC', 'Royal Elementor Addons', 'Schema Plugin', 'Site Kit', 'Tailwind CSS', 'TrustIndex', 'Twitter Ads', 'UTF-8', 'University or College', 'Vector Internet Services', 'WP Mobile Menu', 'WPForms', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'YouTube', 'myStickymenu']"
mushmouth.co,Mushroom Matcha & Mushroom Coffee with Adaptogens and Collagen – Mush Mouth,Mush Mouth,,72,36786,2026-02-26T17:19:33.722245486Z,"['AWS WAF Challenge', 'Amazon CloudFront', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Baidu Cloud', 'Bing Cashback', 'Bing Conversion Tracking', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cookie Information', 'DAV', 'Duoban', 'Ethy', 'Express', 'Facebook Login', 'Facebook Reseller', 'Fastly', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Hootsuite Badge', 'Instagram Follow Button', 'Klaviyo', 'Microdata for Google Shopping', 'NFOrce Internet', 'PageFly', 'Perl', 'Python', 'QUIC', 'ShareASale', 'Shopify', 'Shopify Collabs', 'Shopify Payments', 'Subversion', 'Thumbor', 'TrackingMore', 'Twitter Ads', 'Twitter Analytics', 'UTF-8', 'Yandex Hosting', 'hCaptcha', 'reCAPTCHA']"
robmathison.com,Vancouver Copywriter - Copywriter & Content Strategist in Vancouver,,CAN,82,155915,2026-02-26T15:21:14.463764924Z,"['Alternate Protocol', 'Content Delivery Network', 'Contently', 'Divi', 'Elegant Themes', 'EmbedPress', 'FooBox', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Hootsuite Badge', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Photo Gallery by FooGallery', 'QUIC', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
pbmssa.org,Red Light Therapy | Mito Red Light,,USA,82,49959,2026-02-26T13:31:42.98410896Z,"['Amazon', 'Amazon CloudFront', 'Amazon WAF Blocked', 'App Store', 'Apture Linking Platform', 'Baidu Cloud', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Stream', 'Coming Soon Page', 'DAV', 'Duoban', 'Ethy', 'Facebook Login', 'Facebook Reseller', 'Fastly', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Google Play', 'Google Related Website Sites', 'Google Tag Manager', 'Heroku', 'Hootsuite Badge', 'Instagram Follow Button', 'Klarna On Site Messaging', 'Klaviyo', 'Landis Holdings', 'Microdata for Google Shopping', 'Microsoft Clarity', 'NFOrce Internet', 'Octane AI', 'Okendo', 'Perl', 'Python', 'QUIC', 'Shopify', 'Shopify Collabs', 'Shopify Payments', 'Subversion', 'Thumbor', 'Tolstoy', 'UTF-8', 'Yandex Hosting', 'YouTube', 'eLand', 'hCaptcha', 'jsDelivr', 'reCAPTCHA']"
kindahamwi.com,Marketing Strategist | Driving Impact and Achieving Goals | Kinda Hamwi,,,62,20458,2026-02-26T12:32:15.495948115Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Content Delivery Network', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Hootsuite Badge', 'Medium', 'Microdata for Google Shopping', 'OpenResty', 'Zyro']"
kilgourmd.com,Future of Scalp Care: Dermatologist Hair Growth Products - KilgourMD,KilgourMD,USA,82,49422,2026-02-26T09:37:38.308776851Z,"['Amazon CloudFront', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Attentive', 'Baidu Cloud', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'ConvertFlow', 'DAV', 'Duoban', 'Ethy', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Gorgias', 'Hootsuite Badge', 'Instagram Follow Button', 'Intercom', 'Klarna On Site Messaging', 'Klaviyo', 'Microdata for Google Shopping', 'Microsoft Clarity', 'NFOrce Internet', 'Perl', 'Python', 'QUIC', 'Shopify', 'Shopify Collabs', 'Subversion', 'Thank You', 'Thumbor', 'UTF-8', 'Yandex Hosting', 'YouTube', 'accessiBe', 'eLand', 'hCaptcha', 'jsDelivr', 'reCAPTCHA']"
pawital.com,Pawital Dog Nutrition – pawital,pawital,,72,209968,2026-02-26T05:18:06.574392788Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Azion', 'Baidu Cloud', 'Cloudflare', 'Cloudflare CDN', 'Content Square', 'DAV', 'Drata', 'Duoban', 'Ektron', 'Ethy', 'Express', 'Fastly', 'Fireblade', 'Formtoro', 'GoAffPro', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hootsuite Badge', 'Hotjar', 'Instagram Follow Button', 'Intelligems', 'Klaviyo', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Octane AI', 'PayPal', 'Perl', 'Python', 'QUIC', 'Rebuy', 'Shopify', 'Shopify Collabs', 'Subversion', 'Tailwind CSS', 'Thank You', 'Thumbor', 'Trusted Shops', 'UTF-8', 'Vector Internet Services', 'Vimeo', 'Yandex Hosting', 'hCaptcha', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
