domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
c5expedite.com,Home – C5 Expedite,,,60,604,2026-02-20T14:38:50.051169771Z,"['Animate It', 'Apture Linking Platform', 'Better Lead Generation Services', 'Cloudflare', 'Cloudflare CDN', 'GoDaddy', 'HubSpot Conversations', 'Hubspot', 'IcoMoon', 'Instagram Follow Button', 'QUIC', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'UTF-8', 'YouTube', 'hCaptcha', 'reCAPTCHA']"
flexapplications.se,Flex HRM - Personnel System from Flex Applications,,,67,37203,2026-02-20T14:38:50.049700249Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'Fastly', 'Google Analytics', 'Google Tag Manager', 'Hubspot Knowledge Base', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'RM Education', 'Tailwind CSS', 'TeamViewer', 'UTF-8', 'YouTube']"
gabiholmrealestate.com,Lofty Solution Suite,,USA,72,26520,2026-02-20T14:38:50.028277374Z,"['Alternate Protocol', 'Apple Auto Link Maker', 'Apture Linking Platform', 'Better Lead Generation Services', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Fastly', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Play', 'Hubspot Knowledge Base', 'ID Services', 'Instagram Follow Button', 'Keller Williams Realty', 'Line2', 'Lofty', 'Microdata for Google Shopping', 'OneTrust Domain Verification', 'OpenResty', 'Perl', 'UTF-8', 'Vector Internet Services', 'YouTube', 'reCAPTCHA']"
officerreports.co.uk,Best Security Guard management software | OfficerReportsUK,OfficerReports,GBR,82,23388,2026-02-20T14:23:31.739404232Z,"['Alternate Protocol', 'Apple Auto Link Maker', 'Apture Linking Platform', 'Contact Form Plugin', 'Elementor', 'EmbedPress', 'Featured Video Plus', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Play', 'Google Related Website Sites', 'Google Tag Manager', 'HubSpot Conversations', 'HubSpot WordPress Plugin', 'Hubspot', 'Instagram Follow Button', 'LinkedIn Insights', 'LinkedIn Pixel', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Perl', 'QUIC', 'Schema Plugin', 'Simple Social Icons', 'Theme In WP', 'Twenty Twenty', 'Twitter Ads', 'UTF-8', 'Vimeo', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
fie-wyuep.com,Elevate Your Delivery Game - A.I.Q,,,60,5166,2026-02-20T14:23:31.721530499Z,"['Alpine IQ', 'Amazon', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google My Business', 'Google Tag Manager', 'Hubspot', 'IcoMoon', 'Intercom', 'Ntent', 'Storyblocks', 'Tailwind CSS', 'UTF-8', 'Vimeo', 'YouTube', 'Zendesk Embeddables', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
josephmerrittco.com,"Commercial Printing & Digital Scanning Solutions for Rocky Hill, CT",Joseph Merritt & Company,CAN,77,205909,2026-02-20T14:23:31.695601214Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'CallRail', 'Cloudflare', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Event Tickets for Wordpress', 'Font Awesome', 'FreeBSD', 'Google Analytics', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'HubSpot WordPress Plugin', 'Hubspot', 'Instagram Follow Button', 'KeyCDN', 'LinkedIn Insights', 'LinkedIn Pixel', 'Microdata for Google Shopping', 'Ntent', 'PHP', 'Python', 'QUIC', 'Salesforce Hosted', 'Shopware', 'SiteW', 'The Events Calendar', 'Theme In WP', 'ThemeFusion', 'TrustIndex', 'UTF-8', 'University or College', 'Vector Internet Services', 'WP Engine', 'WP Rocket', 'WP jQuery Lightbox', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'Yandex Hosting', 'symfony PHP Framework']"
jumblastudios.co,2D/3D Animation - Jumbla Animation Studios,,JPN,62,27101,2026-02-20T14:23:31.693381011Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Amazon CloudFront', 'Amazon S3 CDN', 'Better Lead Generation Services', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'CoreUI', 'Fastly', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google Tag Manager', 'HubSpot Conversations', 'Hubspot', 'Hubspot Knowledge Base', 'Instagram Follow Button', 'Leady', 'LinkedIn Insights', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'YouTube']"
glassweaver.com,Mark Lewanski Glass Studios,Mark Lewanski Studios,USA,77,14513,2026-02-20T14:23:31.683098666Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'HubSpot Conversations', 'Hubspot', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
gulfandohio.com,"Shortline Railroads in the Southeast | Gulf & Ohio Railways, Inc.",,USA,62,13200,2026-02-20T14:23:31.680137077Z,"['Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Fastly', 'Hubspot Knowledge Base', 'UTF-8']"
trycrescentrewardsservices.help,Crescent: High interest business banking with maximum protection,,,62,40015,2026-02-20T14:23:31.68084304Z,"['Amazon', 'Amazon CloudFront', 'Amplitude', 'Apture Linking Platform', 'Calendly', 'CloudFront', 'Cloudflare', 'Coming Soon Page', 'Content Delivery Network', 'Express', 'Federal Deposit Insurance Corporation', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google Conversion Tracking', 'Google Tag Manager', 'HubSpot Conversations', 'Hubspot', 'IcoMoon', 'NFOrce Internet', 'Tailwind CSS', 'UTF-8', 'Vector Internet Services', 'WF Cookie Consent', 'Webflow', 'jsDelivr']"
safetogetherinstitute.com,Safe & Together Institute | Strengthen Your Practice & Improve Family Outcomes,Safe & Together Institute,,77,140683,2026-02-20T14:23:31.671419547Z,"['Aruba', 'Contento', 'DC74', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Gusto', 'HubSpot Conversations', 'Hubspot', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'No-Q', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'University or College', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
venturagrowth.com,Mogl | Built for Modern Media,Mogl,GBR,77,18412,2026-02-20T14:11:27.27273411Z,"['AJAX Libraries API', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Apollo IO', 'ArvanCloud', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'HubSpot Conversations', 'Hubspot', 'IcoMoon', 'Microdata for Google Shopping', 'Tailwind CSS', 'UTF-8', 'WF Cookie Consent', 'Webflow', 'YouTube', 'jsDelivr', 'reCAPTCHA']"
peakpeo.com,The People-First Employer of Record | Peak PEO,,IRL,77,12015,2026-02-20T14:06:13.461936603Z,"['Alternate Protocol', 'DAV', 'EmbedPress', 'GitHub Hosting', 'Google Analytics', 'Google Tag Manager', 'HubSpot WordPress Plugin', 'LiteSpeed', 'Matomo', 'Matomo Tag Manager', 'Max Mega Menu', 'Max Mega Menu Pro', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery', 'jsDelivr']"
uniquetrainingsolutions.co.uk,"Unique Training Solutions – Engaging People, Transforming Performance",,,60,1392,2026-02-20T14:06:13.45443366Z,"['Alternate Protocol', 'Contact Form Plugin', 'EmbedPress', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'HubSpot Conversations', 'Hubspot', 'Max Mega Menu', 'Max Mega Menu Pro', 'Microsoft Azure', 'Microsoft IIS', 'Modern Events Calendar Lite', 'MonsterInsights', 'PHP', 'Popup Maker for Wordpress', 'Theme In WP', 'Twenty Twenty', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'Visual Studio', 'WPBakery', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
