domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
c-tow.ca,C-Tow Marine Assistance Ltd. - Serving Canadian Boaters,,CAN,75,17008,2026-04-27T11:05:36.334840433Z,"['AJAX Libraries API', 'Alternate Protocol', 'App Store', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Impact', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Nginx', 'No-Q', 'PHP', 'QUIC', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Vimeo', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
mycastledecor.com,"My Castle | Nursery decor, wallpaper, murals and decals online store – My Castle Decor",,PHL,77,103956,2026-04-27T10:55:09.232574733Z,"['AJAX Libraries API', 'Amazon S3 CDN', 'Apture Linking Platform', 'BLR', 'Cart.com', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Impact', 'Instagram Follow Button', 'Klaviyo', 'Microdata for Google Shopping', 'Parcel', 'ParcelPanel Order Tracking', 'Perl', 'QUIC', 'Schema Plugin', 'Share Link', 'Shopify', 'Shopify Collabs', 'Storyblocks', 'Tailwind CSS', 'Tumblr', 'Twitter Ads', 'UTF-8', 'Vimeo', 'Virtue Impact', 'WhatsApp Sharing', 'YouTube', 'hCaptcha', 'reCAPTCHA']"
strangerprints.com,Custom Printing Orange County - Stranger Prints,Stranger Prints,,67,2006,2026-04-27T10:44:12.873269854Z,"['Alternate Protocol', 'Apache', 'Elementor', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Hello Elementor', 'Impact', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Shipping Rates Calculator', 'Side Cart Woocommerce', 'Site Kit', 'Table Addons for Elementor', 'Theme In WP', 'UTF-8', 'University or College', 'Variation Swatches for WooCommerce', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Stripe Payment Gateway', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
degyimpact.org,Degy Impact | Education,Degy Impact,FRA,77,177421,2026-04-27T10:35:20.021662993Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Givebutter', 'Impact', 'InitiativeS', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Subversion', 'Thank You', 'The Fresh', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'mlcom']"
chief-impact.com,"Chief Impact, LLC | Fractional CMO",,,72,113141,2026-04-27T10:33:30.563536922Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Better Lead Generation Services', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Impact', 'K2F', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Subversion', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
bloomeroo.com.au,Fresh Flowers & Same-Day Delivery Australia | Bloomeroo,Bloomeroo,AUS,77,56479,2026-04-27T10:27:00.13719839Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Bing Cashback', 'Bing Conversion Tracking', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'CrazyEgg', 'Express', 'FrontApp', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Impact', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'ReviewsOnMyWebsite', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'Thank You', 'The Fresh', 'UTF-8', 'YouTube', 'hCaptcha', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
villageofleroyny.org,"Home | Village of LeRoy, NY","Village of LeRoy, NY",GBR,82,4819,2026-04-27T09:58:13.978432213Z,"['Apache', 'ArvanCloud', 'Express', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google Tag Manager', 'Impact', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'QUIC', 'SiteW', 'Tailwind CSS', 'UTF-8', 'jsDelivr']"
story4impact.com,STORY 4 IMPACT,,,67,78968,2026-04-27T09:41:10.026576934Z,"['Adobe Creative Cloud WebFonts', 'Aruba', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Impact', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Pico CSS', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
sincerelymik.com,"Sincerely, Mik | Explore Lifestyle Inspiration and Authentic Living",,,67,159033,2026-04-27T09:23:20.000362083Z,"['Alternate Protocol', 'Amazon', 'Amazon WAF Blocked', 'Amazon Widgets', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'DC74', 'Etsy', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Adsense', 'Google Analytics', 'Google Funding Choices', 'Google Matched Content', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Impact', 'Instagram Follow Button', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'No-Q', 'On The Map', 'POWr', 'PWA', 'Perl', 'Pinterest Conversion Tracking', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Subversion', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'WordPress Related Posts', 'YouTube', 'mlcom']"
peoplestrategyimpact.com,Lead By Design,,,55,25744,2026-04-27T09:08:19.997830122Z,"['AWS WAF Challenge', 'Aruba', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Impact', 'InitiativeS', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
