domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
carshowsolutions.com,Online Car Show Management Software - Car Show Pro,,GBR,72,7138,2026-04-02T20:59:20.026612987Z,"['Apache', 'Atlassian Confluence', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Digital Ocean Spaces', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'JIRA', 'PHP', 'PWA', 'QUIC', 'StackPath', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'YouTube', 'jsDelivr', 'reCAPTCHA']"
munbyn.com,Ach Direct Debit,,SYC,65,35385,2026-04-02T20:35:19.982935127Z,"['AWS WAF Challenge', 'Adult Content', 'Afterpay', 'Alibaba Cloud CDN', 'Amazon CloudFront', 'Apture Linking Platform', 'Atlassian Confluence', 'Bing Cashback', 'Bing Conversion Tracking', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google Tag Manager', 'Heroku', 'Instagram Follow Button', 'JIRA', 'Microdata for Google Shopping', 'Microsoft Clarity', 'NFOrce Internet', 'Omnisend', 'PageFly', 'QUIC', 'RM Education', 'Schema Plugin', 'ShareASale', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'Thank You', 'TrackingMore', 'UTF-8', 'Webkul', 'YouTube', 'eLand', 'hCaptcha', 'reCAPTCHA']"
mgst.me,Magic Estimations - Async and Planning Poker sizing for Jira | Atlassian Marketplace,,,67,129969,2026-04-02T20:08:19.982990389Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Atlassian Confluence', 'Bug Bounty', 'CloudFront', 'Content Delivery Network', 'Contentful', 'Fastly', 'Gambling Content', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'JIRA', 'LaunchDarkly', 'Microdata for Google Shopping', 'Optimizely Recommendations', 'Perl', 'Pico CSS', 'Plausible Analytics', 'QUIC', 'SMC', 'StatusPage IO', 'UTF-8', 'Vector Internet Services', 'YouTube']"
keystonestore.xyz,Keystone Hardware Wallet,,,62,14316,2026-04-02T19:47:21.219614279Z,"['3 Products', 'Alternate Protocol', 'Amazon CloudFront', 'Apture Linking Platform', 'Beeketing', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'ECSHOP', 'GitHub Hosting', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'JIRA', 'Mixpanel', 'QUIC', 'Refersion', 'Shopify', 'Shopify Collabs', 'Telegram', 'Twitter Ads', 'UTF-8', 'YouTube', 'hCaptcha', 'reCAPTCHA']"
digitnine.com,Digit9,,SGP,65,27411,2026-04-02T17:23:53.56137857Z,"['AWS WAF Challenge', 'Atlassian Confluence', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'ElementUI', 'Fastly', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'JIRA', 'Tailwind CSS', 'Vector Internet Services', 'jQuery', 'jsDelivr']"
fouroaksconsulting.com,Home | Four Oaks Consulting,,USA,62,4900,2026-04-02T15:35:19.983411541Z,"['Content Delivery Network', 'Fastly', 'JIRA', 'Pico CSS', 'UTF-8']"
unboundxr.com,Unbound XR - The Virtual & Augmented Reality Expert,UnboundXR,NLD,75,384990,2026-04-02T15:02:20.018765916Z,"['Adobe Analytics', 'Adobe Marketing Cloud', 'Alternate Protocol', 'Amazon', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Bing Cashback', 'Bing Conversion Tracking', 'Braintree', 'Calendly', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DemDex', 'DoubleClick Bid Manager', 'Express', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'Fireblade', 'Font Awesome', 'GZIP Module', 'GetResponse', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Play', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'JIRA', 'Klarna', 'LinkedIn Pixel', 'Magento Enterprise', 'MailChimp', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'PayPal Adaptive Payments', 'PostNL', 'QUIC', 'Storyblocks', 'Tailwind CSS', 'Trusted Shops', 'Twitter Ads', 'UTF-8', 'Unsplash', 'Vimeo', 'Vimeo CDN', 'Way', 'Webwinkel Keurmerk', 'Wirecard', 'YouTube', 'jsDelivr', 'reCAPTCHA', 'shadcn ui']"
scalr.com,Scalr | Drop-in Terraform Cloud Alternative,Scalr,,72,10825,2026-04-02T14:44:19.981731657Z,"['Alternate Protocol', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Cybot', 'GitHub Hosting', 'GoGrid', 'Google Analytics', 'Google Tag Manager', 'JIRA', 'NFOrce Internet', 'Next.js', 'Pico CSS', 'Pleroma', 'Segment', 'Segment Consent Manager', 'Twitter Ads', 'UTF-8', 'YouTube']"
sovereign-ai.ch,Control your data. Control your future. | PHOENIQS,,,72,35450,2026-04-02T13:06:57.257327402Z,"['AWS WAF Challenge', 'Alternate Protocol', 'ContentBox', 'DoubleClick Bid Manager', 'Fireblade', 'GZIP Module', 'Google', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'JIRA', 'Next.js', 'Pipedrive', 'Radix UI', 'UTF-8', 'YouTube']"
alaska.games,Level up your key management | Scalable digital serial key management for the games industry | Alaska,,GBR,87,5327,2026-04-02T12:33:19.307372055Z,"['ASP.NET Core', 'Apture Linking Platform', 'Bulma', 'CDN JS', 'Calendly', 'Cloudflare', 'Cloudflare CDN', 'Font Awesome', 'FormSubmit', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'JIRA', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'jQuery']"
