domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
soldertruelifefoundation.org,"Solder True Life Foundation | A world radically transformed so all can know, live, and enjoy True Life",,,50,135,2026-06-10T14:11:46.722278866Z,"['Alternate Protocol', 'ArvanCloud', 'BlankSlate', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'ElementUI', 'EmbedPress', 'Google Cloud DNS', 'Google Font API', 'Nginx', 'PHP', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery', 'jsDelivr']"
printdirect.shop,PrintDirect.Shop | Custom Printing Services,,DEU,77,6964,2026-06-10T14:11:46.720464624Z,"['Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Google', 'Google Cloud DNS', 'Google Maps', 'Google Related Website Sites', 'IcoMoon', 'Microdata for Google Shopping', 'QUIC', 'Shopify', 'Shopify Collabs', 'UTF-8', 'hCaptcha', 'jsDelivr', 'reCAPTCHA']"
boobeestshirt.com,Boo Bees Shirt,,,62,86175,2026-06-10T14:11:46.717601572Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Aruba', 'ByteDance', 'Cloudflare', 'Content Delivery Network', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Fireblade', 'Giropay', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Tag Manager', 'IcoMoon', 'NFOrce Internet', 'Nuxt.js', 'Oddle', 'SMC', 'SiteW', 'Subversion', 'Tailwind CSS', 'UTF-8', 'Umbler', 'WoWonder', 'eLand', 'jsDelivr']"
danceresults-competition.net,Dance Results - Past Results,,,25,243,2026-06-10T14:11:46.711347014Z,"['AJAX Libraries API', 'Google Cloud DNS', 'StackPath', 'YouTube', 'jQuery', 'jsDelivr']"
saintconstructionsupport.co.uk,Saint Construction Support | One-Stop Solutions for Business Success,,GBR,72,21688,2026-06-10T14:11:46.70635017Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Amazon', 'Amazon CloudFront', 'Animate It', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Iubenda', 'LinkedIn Pixel', 'Perl', 'QUIC', 'Tailwind CSS', 'Thank You', 'Twitter Ads', 'UTF-8', 'WF Cookie Consent', 'YouTube', 'jsDelivr']"
mishkanasevere.com,Samoyeds kennel Mishka na Severe - Samoyed puppies,,,77,1626,2026-06-10T14:11:46.705093637Z,"['Alternate Protocol', 'Contact Form Plugin', 'EmbedPress', 'Express', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Slider Revolution', 'TheGem', 'Theme In WP', 'UTF-8', 'WP Rocket', 'WPBakery', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
specs4sports.co.uk,Sports Glasses & Goggles | Specs4Sports UK,,AUS,77,20324,2026-06-10T14:11:46.705971169Z,"['CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Interchange', 'Microdata for Google Shopping', 'QUIC', 'ShopWired', 'UTF-8', 'jsDelivr', 'reCAPTCHA']"
sipbb.ch,Switzerland Innovation Park Biel/Bienne – CONNECTING GREAT MINDS,,CHE,65,1867,2026-06-10T14:11:46.702616387Z,"['Alternate Protocol', 'Elementor', 'EmbedPress', 'Google Analytics', 'Google Tag Manager', 'Hello Elementor', 'Instagram Follow Button', 'NFOrce Internet', 'PHP', 'Polylang', 'QUIC', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'jsDelivr']"
imp.com.br,Grupo IMP - Soluções Especiais,,BRA,70,508,2026-06-10T14:11:46.69803605Z,"['Apache', 'Bulma', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Tailwind CSS', 'Twitter Ads', 'jsDelivr']"
mybreslev.com,מערכת ברסלב,,SGP,72,3100,2026-06-10T14:11:46.694500186Z,"['AJAX Libraries API', 'ArvanCloud', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google My Business', 'Google Tag Manager', 'Nginx', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'jsDelivr']"
skincarebymai.com,Skincare By Mai | Natural skincare,,,72,1689,2026-06-10T14:11:46.693302692Z,"['Alternate Protocol', 'Apture Linking Platform', 'Automattic', 'Contact Form Plugin', 'EWWW Image Optimizer', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Customer Chat SDK', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Flatsome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Jetpack', 'MailChimp for WordPress', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Popup Maker for Wordpress', 'QUIC', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WP Rocket', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery', 'jsDelivr']"
tektrois.com,Tektrois INC | IT Staffing & Healthcare Recruitment | Professional Technology Services,,USA,67,3640,2026-06-10T14:11:46.692882409Z,"['HostGator', 'InitiativeS', 'Microsoft Azure', 'Parallels Plesk Panel', 'Visual Studio', 'jsDelivr']"
