domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
blueturtlepsychology.com.au,Blue Turtle Psychology - Gaby Hill - Clinical Psychologist,Blue Turtle Psychology,AUS,87,132760,2026-03-14T15:45:43.790187793Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Aruba', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'KVH', 'Kajabi', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'NFOrce Internet', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand', 'jQuery']"
svenloss.com,Sven Loss - Home,,GBR,65,4867,2026-03-14T12:01:51.478403676Z,"['AJAX Libraries API', 'Apture Linking Platform', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Forms', 'Google My Business', 'Kajabi', 'OSS CDN', 'UTF-8', 'jQuery']"
sankeliv.no,Sankeliv | Nyttevekstkyndig Kristine Enger | Randaberg,Sankeliv Kristine Enger,NOR,67,90216,2026-03-14T09:33:22.328153775Z,"['Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'Kajabi', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom']"
decusbeauty.com,Decus Beauty | A Luxury Clean Skincare Brand for Anti-Aging & Menopause Skincare Solutions 40+,DECUS BEAUTY,USA,72,90546,2026-03-14T08:39:14.842389954Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'Kajabi', 'Microdata for Google Shopping', 'NFOrce Internet', 'No-Q', 'PWA', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Sitelinks Search Box', 'Thank You', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom']"
cshpa.org,Chicago Southland Housing Providers Association | illinois landlords,,USA,72,90787,2026-03-13T23:27:21.786682112Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Commoninja', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Kajabi', 'Microdata for Google Shopping', 'NFOrce Internet', 'POWr', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Sitelinks Search Box', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'mlcom']"
birthfit.com,Empowering Mothers | Prenatal & Postpartum Online Programs,BIRTHFIT,USA,82,45556,2026-03-13T22:12:53.344813554Z,"['Alternate Protocol', 'Calendly', 'Coming Soon Page', 'Content Delivery Network', 'Elfsight', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'K2F', 'Kajabi', 'Microdata for Google Shopping', 'No-Q', 'QUIC', 'Schema Plugin', 'Subversion', 'Tailwind CSS', 'UTF-8', 'Userback', 'YouTube']"
winspectrum.com,Win Spectrum – Become unstoppable,,AUS,80,37984,2026-03-13T14:29:15.284898497Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Better Lead Generation Services', 'Cloudflare', 'Cloudflare CDN', 'CoBlocks', 'Contact Form Plugin', 'Content Delivery Network', 'DAV', 'Elementor', 'EmbedPress', 'Exclusive Addons for Elementor', 'GoDaddy', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'IcoMoon', 'Instagram Follow Button', 'Kajabi', 'NFOrce Internet', 'PHP', 'Popup Maker for Wordpress', 'Slider Revolution', 'Thank You', 'The Events Calendar', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Wangsu', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
lwaco.com,Linwick & Associates | Linwick & Associates,Linwick & Associates,USA,82,5703,2026-03-13T12:43:22.889474466Z,"['Alternate Protocol', 'Astra Theme', 'Beaver Builder Lite', 'Cloudflare', 'Content Delivery Network', 'EmbedPress', 'Express', 'GoDaddy', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Kajabi', 'Microdata for Google Shopping', 'PHP', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'eLand', 'jQuery']"
webermotivation.com,Weber Motivation | Motivational Speaking | United States,Weber Associates,,77,106561,2026-03-13T09:30:24.554407426Z,"['123FormBuilder', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'Fireblade', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'Kajabi', 'Microdata for Google Shopping', 'NFOrce Internet', 'No-Q', 'POWr', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'YouTube', 'eLand', 'mlcom']"
jccapitalconsultants.com,JC Capital Consultans,,,55,1428,2026-03-13T09:09:36.10761562Z,"['Alternate Protocol', 'Content Delivery Network', 'EmbedPress', 'Google Analytics', 'Google Tag Manager', 'Kajabi', 'Nginx', 'PHP', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
jordandann.com,Somatic Healing Therapy in NYC | Jordan Dann,Somatic Couples Therapist,USA,82,78721,2026-03-13T06:40:19.035060993Z,"['Accordion Blocks', 'Adobe Creative Cloud WebFonts', 'Amazon Widgets', 'Aruba', 'Express', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Kajabi', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'Twitter Ads', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
benedeksulyok.com,Benedek Sulyok,,,52,16431,2026-03-13T04:47:22.13357709Z,"['Apache', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Kajabi', 'SMC', 'reCAPTCHA']"
stevestockman.com,Steve Stockman - How to Shoot Video That Doesn’t Suck,,,72,9230,2026-03-13T03:16:47.646223305Z,"['Alternate Protocol', 'Amazon Associates', 'Amazon Widgets', 'Beaver Builder Lite', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Kajabi', 'Line2', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Nectar Slide Plugin', 'PHP', 'Salient', 'Thank You', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Vimeo', 'WPBakery', 'WordPress', 'WordPress Multisite', 'Yandex Hosting', 'YouTube', 'jQuery']"
masterbuildersacademy.org,Home | MBA Entrepreneurship,,,50,27990,2026-03-12T23:40:26.120239115Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Instagram Follow Button', 'Kajabi', 'Microdata for Google Shopping', 'NFOrce Internet', 'POWr', 'PWA', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom']"
bestpracticegroup.com.au,Best Practice Group,,,50,9810,2026-03-12T22:46:54.391372373Z,"['Amazon', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly CDN', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'FormSubmit', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'HubSpot Conversations', 'Hubspot', 'Instagram Follow Button', 'Kajabi', 'OSS CDN', 'PHP', 'QUIC', 'UTF-8', 'YouTube', 'jsDelivr']"
metznallen.nl,METZNALLEN |,,,45,2401,2026-03-12T19:32:50.814083933Z,"['Alternate Protocol', 'ByteDance', 'Content Delivery Network', 'Divi', 'Elegant Themes', 'EmbedPress', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Fastly', 'Financial Services Guide', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Kajabi', 'Nginx', 'PHP', 'Theme In WP', 'TikTok Conversion Tracking Pixel', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Pixel Manager by woopt', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
blessed2teach.com,Homepage - The B2T Ministries,The B2T Show,USA,87,29582,2026-03-12T17:57:08.132573367Z,"['AWS WAF Challenge', 'Add to Any', 'Alternate Protocol', 'Astra Theme', 'Automattic', 'Cloudflare', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Google Analytics', 'Google Tag Manager', 'InviteReferrals', 'Jetpack', 'Kajabi', 'Metricool', 'Microdata for Google Shopping', 'Popup Maker for Wordpress', 'RM Education', 'Rumble Player', 'Telegram', 'Twitter Ads', 'UTF-8', 'Woo Themes', 'WooCommerce Payments', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube']"
rhiannonjanelove.com,Home | Rhiannon Jane Love,Rhiannon Jane Love,CAN,75,104881,2026-03-12T16:48:15.814575445Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'Fireblade', 'GZIP Module', 'Instagram Follow Button', 'Kajabi', 'Linktree', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Thank You', 'UTF-8', 'University or College', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
