domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
cricbuzz.email,"Women's Premier League 2026 | Live Cricket Score, Schedule, Latest News, Stats &amp; Videos | Cricbuzz.com",Cricbuzz.com (Cricbuzz Platforms LIMITED),IND,77,60720,2026-02-03T11:40:48.86352254Z,"['AWS WAF Challenge', 'Amazon Associates Affiliate Shop', 'Apple Auto Link Maker', 'DoubleClick Bid Manager', 'Endis', 'Express', 'GZIP Module', 'Google My Business', 'Google Play', 'Google Related Website Sites', 'Instagram Follow Button', 'Kaltura', 'Microdata for Google Shopping', 'Next.js', 'Nginx', 'Pleroma', 'QUIC', 'Styled Components', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'YouTube', 'eLand', 'shadcn ui']"
mycbatools.com,CBA Tools,,USA,65,86152,2026-02-01T23:55:48.87531463Z,"['Apture Linking Platform', 'Azure Active Directory', 'Better Lead Generation Services', 'Fireblade', 'GoDaddy', 'Google', 'Google Cloud DNS', 'Google Font API', 'Homes.com CMS', 'Instagram Follow Button', 'Investor Relations', 'Kaltura', 'Line2', 'Microsoft 365', 'New Homes', 'PHP', 'PWA', 'Parcel', 'QUIC', 'Share Link', 'SkySlope', 'Testimonial Tree', 'UTF-8', 'University or College', 'Wangsu', 'Website Tonight', 'YouTube', 'flexmls']"
strollercoaster.com,StrollerCoaster: A Parenting Podcast | Munchkin,,,67,366084,2026-02-01T14:32:21.921745088Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon', 'Amazon Associates', 'Amazon Widgets', 'Bing Cashback', 'CDN JS', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'DoubleClick Bid Manager', 'Express', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Investor Relations', 'Kaltura', 'Klaviyo', 'LiveAgent', 'Loop Returns', 'Medium', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Oddle', 'QUIC', 'Rebuy', 'Salesforce', 'Salesforce Experience Cloud', 'Salesforce Hosted', 'Salesforce Live Agent', 'Shopify', 'Shopify Collabs', 'Storyblocks', 'Swell Rewards', 'Tailwind CSS', 'Twitter Ads', 'Umbler', 'University or College', 'Walmart', 'YouTube', 'shadcn ui']"
itvisma-treatmentlocator.com,Home | ITVISMA®,,,52,90043,2026-01-31T14:37:48.861575362Z,"['Akamai Global Host', 'Alternate Protocol', 'AppNexus Direct', 'Bing Cashback', 'Bing Conversion Tracking', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Content Square', 'ContextWeb', 'DoubleClick Bid Manager', 'ElementUI', 'Fireblade', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Kaltura', 'Material-UI', 'New Relic', 'Next.js', 'Ntent', 'OneTrust Domain Verification', 'Pleroma', 'QUIC', 'Tealium', 'UTF-8']"
wtc7report.org,World Trade Center 7 (WTC 7) University of Alaska Fairbanks,,USA,77,30040,2026-01-31T14:15:33.504567856Z,"['Apache', 'Apture Linking Platform', 'Foundation', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Kaltura', 'University or College', 'YouTube', 'jQuery']"
csiro.us,csiro.us,csiro.us,AUS,72,71386,2026-01-31T08:03:24.79142492Z,"['AWS WAF Challenge', 'Akamai Global Host', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Automattic', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'DoubleClick Bid Manager', 'EmbedPress', 'Express', 'Facebook CDN', 'Facebook Reseller', 'Font Awesome', 'GZIP Module', 'Giphy', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Recommendations AI', 'Google Tag Manager', 'Instagram Follow Button', 'Jetpack', 'Kaltura', 'Microdata for Google Shopping', 'Microsoft 365', 'Ntent', 'PHP', 'Pexels', 'Storyblocks', 'Tailwind CSS', 'The Events Calendar', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'WP Super Cache', 'WPO365', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'Zendesk Embeddables', 'jsDelivr']"
rjetf.com,Raymond James Exchange-Traded Funds (ETFs),,USA,72,251486,2026-01-30T19:28:48.861863658Z,"['501c3 Status Nonprofit', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Apture Linking Platform', 'Barchart', 'Bizo', 'Calendly', 'CloudFront', 'DoubleClick Bid Manager', 'Eloqua', 'Facebook Reseller', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Hubspot', 'Kaltura', 'Microdata for Google Shopping', 'Microsoft Azure', 'ScheduleOnce', 'Schema Plugin', 'Sitecore CMS', 'Storyblocks', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Unsplash', 'Vimeo CDN', 'Visual Studio', 'YouTube', 'jQuery']"
sdgacademy.org,SDG Academy - Free Education for Sustainable Development,SDG Academy,SWE,82,54503,2026-01-30T15:41:39.636404073Z,"['AWS WAF Challenge', 'Accordion Blocks', 'Add to Any', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'EmbedPress', 'Format', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'H5P for WordPress', 'Instagram Follow Button', 'Kaltura', 'License Buttons', 'Line2', 'MailChimp for WordPress', 'Microdata for Google Shopping', 'Open edX', 'PHP', 'Tailwind CSS', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'University or College', 'WP Engine', 'WordPress', 'WordPress Multisite', 'jQuery']"
scissortailwealth.com,"Home | Scissortail Wealth Management | Tulsa, OK",Scissortail Wealth Management,USA,67,101486,2026-01-30T14:58:39.517623781Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Barchart', 'Bizo', 'Calendly', 'CloudFront', 'DoubleClick Bid Manager', 'Eloqua', 'Facebook Reseller', 'Financial Industry Regulatory Authority', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Hubspot', 'Instagram Follow Button', 'Kaltura', 'Microdata for Google Shopping', 'Microsoft Azure', 'ScheduleOnce', 'Storyblocks', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Unsplash', 'Vimeo CDN', 'Visual Studio', 'YouTube', 'jQuery']"
uhgiving.net,Home | UHGiving,,USA,60,119203,2026-01-30T06:04:52.606735629Z,"['Adobe Analytics', 'Adobe Creative Cloud WebFonts', 'Adobe Marketing Cloud', 'Alphonso', 'Amazon', 'Bananatag', 'Bing Cashback', 'DemDex', 'DoubleClick Bid Manager', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'HEPData', 'Instagram Follow Button', 'Kaltura', 'Livestream', 'Microsoft Azure', 'QUIC', 'Quantcast Direct', 'Twitter Ads', 'UTF-8', 'University or College', 'Visual Studio', 'YouTube', 'jsDelivr']"
