domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
fgsportstalents.com,Home - FG Sports & Advisory,,ESP,82,3807,2026-02-16T14:06:42.585328043Z,"['Alternate Protocol', 'Apache', 'Elementor', 'EmbedPress', 'Fastly', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Hello Elementor', 'Instagram Follow Button', 'KeyCDN', 'Microdata for Google Shopping', 'PHP', 'Polylang', 'QUIC', 'Sitelinks Search Box', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
demindme.com,Demind,,IND,60,9023,2026-02-16T12:49:28.675196616Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apache', 'BLR', 'Cloudflare', 'Contact Form Plugin', 'DAV', 'EmbedPress', 'Event Tickets for Wordpress', 'FreeBSD', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'KeyCDN', 'PHP', 'Python', 'QUIC', 'Salesforce Hosted', 'Shopware', 'Sign In With Google', 'Site Kit', 'SiteW', 'Slider Revolution', 'The Events Calendar', 'Theme In WP', 'ThemeFusion', 'Tumblr', 'Twitter Ads', 'UTF-8', 'Ubuntu', 'University or College', 'Vector Internet Services', 'WP jQuery Lightbox', 'WhatsApp Sharing', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'Yandex Hosting', 'jQuery', 'symfony PHP Framework']"
cognitiveeconomics.com,Manos Institute Cognitive Economics - Cognitive Economics,Manos Institute,USA,77,191817,2026-02-16T12:16:42.421782461Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'Elementor', 'EmbedPress', 'FreeBSD', 'Google', 'Google My Business', 'KeyCDN', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'Nomics', 'PHP', 'Python', 'Salesforce Hosted', 'Shopware', 'Sitelinks Search Box', 'Table Addons for Elementor', 'Theme In WP', 'UTF-8', 'University or College', 'Vector Internet Services', 'WP Rocket', 'WordPress', 'WordPress Multisite', 'Yandex Hosting', 'jQuery', 'symfony PHP Framework']"
deerstream.org,Deerstream – A Learning Center for Homeschoolers,,,62,263058,2026-02-16T12:16:42.400130208Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'All-in-One Event Calendar for WordPress', 'Alternate Protocol', 'Amazon WAF Blocked', 'BLR', 'Cloudflare', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Event Tickets for Wordpress', 'FACTS Management', 'Font Awesome', 'FreeBSD', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'KeyCDN', 'PHP', 'Python', 'QUIC', 'SMC', 'Salesforce Hosted', 'Shopware', 'SiteW', 'The Events Calendar', 'Theme In WP', 'ThemeFusion', 'Tumblr', 'UTF-8', 'University or College', 'Vector Internet Services', 'WP Engine', 'WP jQuery Lightbox', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'Yandex Hosting', 'bbPress', 'eLand', 'jQuery', 'symfony PHP Framework']"
anglwings.com,Angl Wings Hotels & Resorts,Angl Wings Hotels &amp; Resorts,IND,77,172717,2026-02-16T11:09:34.680024637Z,"['Alternate Protocol', 'Autoptimize', 'Content Delivery Network', 'DAV', 'Elementor', 'EmbedPress', 'Font Awesome', 'FreeBSD', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'KeyCDN', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Python', 'QUIC', 'Salesforce Hosted', 'Shopware', 'UTF-8', 'University or College', 'Vector Internet Services', 'WordPress', 'Yandex Hosting', 'reCAPTCHA', 'symfony PHP Framework']"
serinsa.mx,Serinsa | Ingeniería y Fabricación | Maquinados de Precisión,,,62,171207,2026-02-16T10:59:12.717663414Z,"['Alternate Protocol', 'Apache', 'Contact Form Plugin', 'DAV', 'EmbedPress', 'FreeBSD', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Gravity', 'IcoMoon', 'KeyCDN', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Python', 'Salesforce Hosted', 'Shopware', 'Slider Revolution', 'Theme In WP', 'Twitter CDN', 'UTF-8', 'University or College', 'Vector Internet Services', 'Vimeo', 'WPBakery', 'WhatsApp Sharing', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'Yandex Hosting', 'YouTube', 'jQuery', 'symfony PHP Framework', 'uPress', 'vzaar']"
nicholsteam.com,Design-Build Construction Services - Nichols Construction Team,Nichols Construction Team,USA,82,262920,2026-02-16T10:46:04.477400107Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Anti-spam for WordPress', 'Apture Linking Platform', 'CCSI', 'CleanTalk Spam Protect', 'Cloudflare', 'Contact Form Plugin', 'Content Delivery Network', 'Cornerstone', 'DAV', 'EmbedPress', 'Essential Addons for Elementor', 'Event Tickets for Wordpress', 'Express', 'FreeBSD', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'K2F', 'KVH', 'KeyCDN', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'No-Q', 'Onyx Internet', 'PHP', 'Python', 'QUIC', 'Salesforce Hosted', 'Shopware', 'SiteW', 'Sitelinks Search Box', 'Slider Revolution', 'Subversion', 'The Events Calendar', 'Theme In WP', 'ThemeFusion', 'Twitter Ads', 'UTF-8', 'University or College', 'UserWay', 'Vector Internet Services', 'WP Rocket', 'WP jQuery Lightbox', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'Yandex Hosting', 'YouTube', 'jQuery', 'symfony PHP Framework']"
boholwater.com,BWUI | Bohol Water,,PHL,65,53746,2026-02-16T10:36:56.517903807Z,"['Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Divi', 'Elegant Themes', 'EmbedPress', 'Fastly', 'Google Cloud DNS', 'Google Font API', 'KeyCDN', 'PHP', 'SMC', 'Theme In WP', 'UTF-8', 'WP PageNavi', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
iutecredit.com,Iute Group - Leading European Fintech Company,Ettevõte,,77,232014,2026-02-16T10:36:56.501227094Z,"['Adult Content', 'Alternate Protocol', 'Amazon WAF Blocked', 'BLR', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'CookieYes', 'Corporate Governance and Regulatory Compliance', 'DAV', 'EmbedPress', 'Event Tickets for Wordpress', 'Font Awesome', 'FreeBSD', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'IcoMoon', 'KeyCDN', 'Microdata for Google Shopping', 'Modern Events Calendar Lite', 'PHP', 'Python', 'QUIC', 'SMC', 'Salesforce Hosted', 'Shopware', 'Sitelinks Search Box', 'Slider Revolution', 'The Events Calendar', 'Theme In WP', 'ThemeFusion', 'Tumblr', 'UTF-8', 'University or College', 'Vector Internet Services', 'WP jQuery Lightbox', 'WPML Multilingual', 'WhatsApp Sharing', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'Yandex Hosting', 'YouTube', 'jQuery', 'symfony PHP Framework']"
mitchellgroup.org,The Mitchell Group – Artists and Speakers,,USA,70,178540,2026-02-16T10:22:38.063930061Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'DAV', 'EmbedPress', 'FreeBSD', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Gravity', 'Gravity Forms', 'KeyCDN', 'LayerSlider Responsive', 'Nginx', 'PHP', 'Python', 'QUIC', 'RM Education', 'Salesforce Hosted', 'ShareThis', 'Shopware', 'Slider Revolution', 'The Events Calendar', 'Theme In WP', 'UTF-8', 'University or College', 'Vector Internet Services', 'WP jQuery Lightbox', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'Yandex Hosting', 'jQuery', 'symfony PHP Framework']"
