domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
theproductionfarm.com,The Production Farm,,,55,28004,2026-05-14T18:59:19.970843855Z,"['501c3 Status Nonprofit', 'Accordion Blocks', 'Adobe Creative Cloud WebFonts', 'Aruba', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'InitiativeS', 'Instagram Follow Button', 'Kindful', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
villageengage.org,Village Engage,Village Engage,USA,60,1864,2026-05-14T15:17:19.995637375Z,"['501c3 Status Nonprofit', 'Adobe Creative Cloud WebFonts', 'Adult Content', 'Alternate Protocol', 'Aruba', 'Engage', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Kindful', 'Line2', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'QUIC', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
bridgetoacure.org,Bridge to a Cure Foundation | Our Mission: Save Children's Lives,Bridge to a Cure Foundation,USA,82,6059,2026-05-14T14:08:19.968133069Z,"['Alternate Protocol', 'Amazon S3 CDN', 'Amazon WAF Blocked', 'Apache', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'IcoMoon', 'Kindful', 'Line2', 'Microdata for Google Shopping', 'Nectar Slide Plugin', 'PHP', 'Salient', 'Storyblocks', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'UserWay', 'WP Fastest Cache', 'WPBakery', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
fccan.org,Fort Collins Community Action Network,,USA,65,84528,2026-05-14T14:05:19.978604304Z,"['501c3 Status Nonprofit', 'Adobe Creative Cloud WebFonts', 'Aruba', 'Express', 'FormSubmit', 'GZIP Module', 'Instagram Follow Button', 'Kindful', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Pico CSS', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
heef.org,Hispanic Education Endowment Fund (HEEF) - Empowering Hispanic Students in Orange County,,USA,82,6480,2026-05-14T08:43:16.237510932Z,"['501c3 Status Nonprofit', 'Amazon', 'Amazon CloudFront', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'DAV', 'Elfsight', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Kindful', 'Tailwind CSS', 'UTF-8', 'University or College', 'WF Cookie Consent', 'jsDelivr']"
familyfundfoundation.org,Family Fund Foundation,,USA,92,96413,2026-05-14T04:15:29.193288862Z,"['AWS WAF Challenge', 'Aruba', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Kindful', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
nirmalnagari.org,Nirmal Nagari USA | Canajoharie,,USA,57,1200,2026-05-14T04:02:19.970034471Z,"['501c3 Status Nonprofit', 'Apache', 'GZIP Module', 'Kindful', 'Tailwind CSS', 'shadcn ui']"
sanmateocelebrates.com,San Mateo Celebrates!,,USA,77,141413,2026-05-14T01:29:19.982576845Z,"['Aruba', 'Cisco/Arrowpoint Content Service Switch', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Kindful', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SMC', 'SiteW', 'Squarespace', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
parisbraininstitute-america.org,Paris Brain Institute America,,FRA,77,24996,2026-05-13T20:59:57.687243096Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Alternate Protocol', 'Automattic', 'BatCache', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Cookie Accept', 'Cookie Notice', 'EmbedPress', 'Fastly', 'Fonts Plugin', 'Google', 'Google My Business', 'Gutenberg', 'InitiativeS', 'Jetpack', 'Jetpack Site Accelerator', 'Kindful', 'NFOrce Internet', 'Nginx', 'PHP', 'Perl', 'QUIC', 'Thank You', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Varia', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube']"
lifesatrip.blog,Belonging Co.,,USA,65,4252,2026-05-13T20:32:34.431791276Z,"['Accordion Blocks', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Coming Soon Page', 'Express', 'GZIP Module', 'Instagram Follow Button', 'Kindful', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
