domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
over40alphacoffeeshop.com,Over 40 Alpha Coffee Shop,,USA,70,27052,2026-04-01T10:44:20.011297688Z,"['AWS WAF Challenge', 'Accordion Blocks', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Blocksy', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Express', 'Font Awesome', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gorgias', 'Klarna', 'Klaviyo', 'Klaviyo for WordPress', 'NFOrce Internet', 'Nginx', 'PHP', 'Perl', 'Premium Addons for Elementor', 'QUIC', 'Site Kit', 'Smart Coupons for WooCommerce', 'Stripe', 'Theme In WP', 'UTF-8', 'Variation Swatches for WooCommerce', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery']"
haiberlin.com,HAI Berlin - Little treasures for loved ones,,IRL,72,51949,2026-04-01T10:38:19.999959551Z,"['Adobe Creative Cloud WebFonts', 'Amazon S3 CDN', 'Amazon WAF Blocked', 'Channel Intelligence', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'Cybot', 'DAV', 'DoubleClick Bid Manager', 'Ektron', 'Express', 'Fireblade', 'Giropay', 'Google Analytics', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Iubenda', 'Klarna', 'NFOrce Internet', 'Ntent', 'Shopify', 'Shopify Collabs', 'Storyblocks', 'Tailwind CSS', 'UTF-8', 'Weglot', 'WhatsApp Sharing', 'eLand', 'eRech24 Safe Sharing']"
inpoetryme.com,Inpoetryme,,,57,,2026-04-01T10:32:20.01982301Z,"['Amazon CloudFront', 'Apture Linking Platform', 'CloudFront', 'Content Delivery Network', 'ElementUI', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'GZIP Module', 'GetResponse', 'Giropay', 'Google My Business', 'Google Pay', 'Klarna', 'Microdata for Google Shopping', 'PayPal', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Vue.js', 'jsDelivr']"
labequipmentuk.co.uk,SciQuip | Laboratory Equipment | Scientific & Medical Equipment,,,62,427467,2026-04-01T10:26:20.020111074Z,"['AdRoll', 'Adobe Analytics', 'Adobe Marketing Cloud', 'Advertising.com', 'Algolia', 'Amazon WAF Blocked', 'AppNexus Direct', 'Apture Linking Platform', 'Authorize.net', 'Better Lead Generation Services', 'BidSwitch Direct', 'Bing Cashback', 'Bing Conversion Tracking', 'Braintree', 'Bunny Fonts', 'Cloud IQ', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DemDex', 'Doofinder', 'DoubleClick Bid Manager', 'Express', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'Feefo', 'Font Awesome', 'FormSubmit', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'IponWeb BidSwitch', 'Iubenda', 'Klarna', 'Magento Enterprise', 'MailChimp', 'Microdata for Google Shopping', 'Microsoft Clarity', 'New Relic', 'Oath Reseller', 'OpenX Direct', 'Outbrain Direct', 'PHP', 'PayPal Adaptive Payments', 'Perl', 'Pubmatic', 'Pure Chat', 'Rechat', 'Salesfire', 'Schema Plugin', 'Stripe', 'Swell Rewards', 'Taboola Direct', 'Taboola Reseller', 'Tailwind CSS', 'Triple Lift Direct', 'Trusted Shops', 'Twitter Ads', 'UTF-8', 'Unsplash', 'Vector Internet Services', 'Vimeo', 'Vimeo CDN', 'Way', 'Wirecard', 'Yahoo Web Analytics', 'YouTube', 'eLand', 'jsDelivr', 'reCAPTCHA', 'shadcn ui']"
jeanstore.co.uk,JEANSTORE | Levis Jeans | Wrangler Jeans | Loake Shoes | Nudie | Edwin,,BRA,77,34804,2026-04-01T10:11:19.979474286Z,"['Amazon WAF Blocked', 'Apture Linking Platform', 'Azure Edge', 'Bing Cashback', 'Bing Conversion Tracking', 'BunnyCDN General', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'Express', 'Google Related Website Sites', 'Instagram Follow Button', 'Klarna', 'Klarna On Site Messaging', 'Klaviyo', 'Klevu', 'Microsoft Azure Verified CDN', 'Microsoft Clarity', 'NFOrce Internet', 'Perl', 'Pico CSS', 'ReturnGO', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'UTF-8', 'eLand', 'hCaptcha', 'reCAPTCHA']"
darklab.com,"Darklab Tattoo | Tattoo Machines, Supplies & Accessories – Darklab Tattoo Supplies",Darklab Tattoo Supplies,USA,72,129460,2026-04-01T09:56:20.000697743Z,"['AJAX Libraries API', 'Adobe Creative Cloud WebFonts', 'Apture Linking Platform', 'Attentive', 'Care Cart', 'Cloudflare', 'Cloudflare CDN', 'CrownPeak', 'DAV', 'Evidon', 'Express', 'Fastly', 'Fireblade', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Klarna', 'Klaviyo', 'Klevu', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Shopify', 'Shopify Collabs', 'UTF-8', 'VWO Engage', 'Visual Website Optimizer', 'YouTube', 'hCaptcha', 'jQuery', 'reCAPTCHA']"
eimpet.net,Eim Pets: Shop Pet Food Online UAE,,,62,396279,2026-04-01T09:53:20.017237963Z,"['Adobe Analytics', 'Adobe Marketing Cloud', 'Algolia', 'Amplitude', 'Braintree', 'Bunny Fonts', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DemDex', 'DoubleClick Bid Manager', 'Express', 'Facebook Reseller', 'Font Awesome', 'Freshmarketer', 'Freshworks Bot', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Klarna', 'Magento', 'Magento Enterprise', 'Nginx', 'PayPal Adaptive Payments', 'QUIC', 'Segment', 'Shopify', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'Way', 'WhatsApp Sharing', 'Wirecard', 'YouTube', 'reCAPTCHA']"
catpole.com,Katpole | Modern Cat Tree,,CAN,77,26891,2026-04-01T09:23:19.97864488Z,"['3 Products', 'AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Coming Soon Page', 'Contact Form Plugin', 'DC74', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Express', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Klarna', 'Line2', 'LiteSpeed', 'LoftLoader', 'Microdata for Google Shopping', 'Microsoft Clarity', 'NFOrce Internet', 'Oddle', 'PHP', 'QUIC', 'Sitelinks Search Box', 'Storefront', 'Table Addons for Elementor', 'Theme In WP', 'UTF-8', 'Variation Swatches for WooCommerce', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooLentor', 'WordPress', 'WordPress Multisite', 'jQuery']"
zapped.org.uk,Zapped Skin | Personalized Acne Treatment in London,,,67,31978,2026-04-01T05:10:01.2058018Z,"['AddThis for Wordpress', 'Amazon WAF Blocked', 'Apache', 'ByteDance', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Complianz', 'Content ad', 'DC74', 'Disqus Comment System for WordPress', 'DoubleClick Bid Manager', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'FormSubmit', 'FreeCSSTemplates', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Recommendations AI', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Hello Elementor', 'Instagram Follow Button', 'Klarna', 'Klaviyo', 'Microsoft Ajax Content Delivery Network', 'NFOrce Internet', 'PHP', 'Perfmatters', 'QUIC', 'Site Reviews for Wordpress', 'StackPath', 'Storyblocks', 'Thank You', 'TikTok Conversion Tracking Pixel', 'Twitter Ads', 'UTF-8', 'Vimeo', 'WP Rocket', 'WPForms', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
ebonyworldhbs.com,Ebony World HBS – Hair and Beauty Saloon,,MLT,70,400,2026-04-01T04:54:10.071730644Z,"['Alternate Protocol', 'Beaver Builder Lite', 'Content Delivery Network', 'EmbedPress', 'FreeCSSTemplates', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Klarna', 'LiteSpeed', 'PHP', 'QUIC', 'Tailwind CSS', 'Thank You', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery', 'shadcn ui']"
