domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
1ace.shop,1ACE | Cricket Betting & Live Casino Game in India,,CHN,72,1639,2026-04-22T13:20:19.984288011Z,"['Adult Content', 'Alternate Protocol', 'ByteDance', 'Coming Soon Page', 'Content Delivery Network', 'Content ad', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Gambling Content', 'GetResponse', 'IcoMoon', 'Instagram Follow Button', 'Kwai Conversion Tracking', 'Pleroma', 'QUIC', 'TikTok Conversion Tracking Pixel', 'Twitter Ads', 'UTF-8']"
mapify.so,"Mapify: AI Summarizer and Mind Map Generator for PDFs, Videos, and Webpages",,,67,,2026-04-18T03:35:20.0011664Z,"['Alternate Protocol', 'App Store', 'Apture Linking Platform', 'Bing Cashback', 'Bing Conversion Tracking', 'ByteDance', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google Analytics', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Instagram Follow Button', 'Kwai Conversion Tracking', 'Microdata for Google Shopping', 'Ntent', 'Nuxt.js', 'PWA', 'Pinterest Conversion Tracking', 'Product Hunt', 'QUIC', 'Smart App Banner', 'Tailwind CSS', 'TikTok Conversion Tracking Pixel', 'Twitter Ads', 'Twitter Analytics', 'UTF-8', 'YouTube', 'eLand', 'shadcn ui']"
hikmens.com,Ouryours,,,62,13672,2026-04-14T01:22:26.683939254Z,"['Amazon', 'Apture Linking Platform', 'Baidu Cloud', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'GZIP Module', 'GetResponse', 'Giropay', 'Google', 'Google Cloud CDN', 'Kwai Conversion Tracking', 'Microdata for Google Shopping', 'Microsoft Azure', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Visual Studio', 'Yandex Hosting']"
manclub.com.es,ManClub Espanha,ManClub Espanha,ESP,65,29336,2026-04-12T07:05:20.029351782Z,"['Apture Linking Platform', 'Baidu Cloud', 'Bing Cashback', 'Bing Conversion Tracking', 'Cloudflare', 'Cloudflare CDN', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Conversion Tracking', 'Google Font API', 'Google My Business', 'Google Recommendations AI', 'Google Tag Manager', 'Gravity', 'Instagram Follow Button', 'Klaviyo', 'Kwai Conversion Tracking', 'Microdata for Google Shopping', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'Twitter Ads', 'Twitter Analytics', 'UTF-8', 'Yandex Hosting', 'hCaptcha', 'jsDelivr', 'reCAPTCHA']"
ttdeye.com,Colored Contacts | Circle Lenses Online | TTDeye,TTDeye,,67,25931,2026-04-09T01:11:20.024465417Z,"['Adult Content', 'Affiliatly', 'Amazon', 'Amazon CloudFront', 'Apture Linking Platform', 'Bing Cashback', 'Bing Conversion Tracking', 'ByteDance', 'CloudFront', 'Cloudflare', 'Coming Soon Page', 'Criteo', 'ElementUI', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'GZIP Module', 'GetResponse', 'Giropay', 'Google Analytics', 'Google Customer Reviews', 'Google My Business', 'Google Pay', 'Google Related Website Sites', 'Google Tag Manager', 'Hotjar', 'Instagram Follow Button', 'KVH', 'Klarna', 'Kwai Conversion Tracking', 'Microdata for Google Shopping', 'Microsoft Clarity', 'PayPal', 'QUIC', 'TikTok Conversion Tracking Pixel', 'Twitter Ads', 'UTF-8', 'Vue.js', 'YouTube', 'jsDelivr']"
omyorganic.com,omyorganic,omyorganic,PAK,65,4056,2026-04-01T14:59:20.006363464Z,"['Apture Linking Platform', 'ByteDance', 'Cloudflare', 'Cloudflare CDN', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Kwai Conversion Tracking', 'Microdata for Google Shopping', 'Shopify', 'Shopify Collabs', 'TikTok Conversion Tracking Pixel', 'UTF-8', 'YouTube', 'hCaptcha', 'reCAPTCHA']"
svapigacor88.com,APIGACOR88 INI MERUPAKAN GAME PORTAL PALING BAGUS,,,60,243,2026-03-26T03:00:29.697350898Z,"['CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Kwai Conversion Tracking', 'LiteSpeed', 'QUIC', 'StackPath', 'Tailwind CSS', 'shadcn ui']"
agenciavogue.com.br,Agência Vogue | A Maior Agência de Modelos do Brasil,,BRA,77,2009,2026-03-11T15:13:28.567445417Z,"['Alternate Protocol', 'Amazon CloudFront', 'Apache', 'ByteDance', 'CloudFront', 'Contact Form Plugin', 'EmbedPress', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Kwai Conversion Tracking', 'PHP', 'RD Station', 'Sitelinks Search Box', 'Tailwind CSS', 'Theme In WP', 'TikTok Conversion Tracking Pixel', 'Twitter Ads', 'UTF-8', 'Ubuntu', 'WordPress', 'WordPress Multisite', 'Yahoo Web Analytics', 'YouTube', 'jQuery']"
jajanhemat.site,CERI188 Main Disini Kagak Bikin Dompet Bocor,,,42,,2026-02-12T19:57:57.163197117Z,"['Kwai Conversion Tracking', 'Tailwind CSS']"
traditionalhanfu.com,Hanfu Dress - Chinese Traditional Clothing Online,jinxiouhanxiang,CHN,77,720,2026-02-02T23:19:48.889502194Z,"['ByteDance', 'Cloudflare', 'Express', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Kwai Conversion Tracking', 'Microdata for Google Shopping', 'Pico CSS', 'Pinterest Conversion Tracking', 'Sign In With Google', 'TikTok Conversion Tracking Pixel', 'UTF-8']"
