domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
wildhouse.in,Wild House – Natural ✧ Authentic ✧ Traditional,,IND,70,2283,2026-03-20T11:18:14.773947922Z,"['Alternate Protocol', 'Automattic', 'BuddyBoss', 'Content Delivery Network', 'Creative Mail by Constant Contact', 'EmbedPress', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'IcoMoon', 'Instagram API', 'Instagram Follow Button', 'Jetpack', 'LearnDash', 'Nginx', 'PHP', 'SiteW', 'Theme In WP', 'UTF-8', 'WhatsApp Sharing', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'jQuery']"
naild.org,NAILD – National Association of Innovative Lighting Distributors,NAILD &#x2d; National Association of Innovative Lighting Distributors,USA,77,78107,2026-03-20T10:02:03.498211389Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Apture Linking Platform', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'DC74', 'ElementUI', 'EmbedPress', 'Express', 'Fireblade', 'GeneratePress Company', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'LearnDash', 'Microdata for Google Shopping', 'PHP', 'Pleroma', 'QUIC', 'SVG Support', 'Share Link', 'Sitelinks Search Box', 'Tachyons', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'University or College', 'Vignette OpenText', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery', 'wpForo Forum']"
shoemakersacademy.com,Shoemaking Courses Online | Now Enrolling Shoemakers Academy,Shoemakers Academy,USA,82,39304,2026-03-20T09:48:45.422650769Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Anti-spam for WordPress', 'Apture Linking Platform', 'Calendly', 'CleanTalk Spam Protect', 'Contact Form Plugin', 'Content Delivery Network', 'Edubin Theme', 'Elementor', 'EmbedPress', 'Etsy', 'Event Tickets for Wordpress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Jetpack', 'Klaviyo', 'Klaviyo for WordPress', 'LearnDash', 'LoftLoader', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Sucuri Cloudproxy', 'Table Addons for Elementor', 'The Events Calendar', 'Theme In WP', 'UTF-8', 'University or College', 'Variation Swatches for WooCommerce', 'WPForms', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Payments', 'WooCommerce Pixel Manager by woopt', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'jQuery']"
uplearn.io,Home -,,,67,20278,2026-03-20T07:38:42.634889295Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Astra Theme', 'CartFlows', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Header, Footer and Blocks for Elementor', 'LearnDash', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'PHP', 'Presto Player', 'QUIC', 'Table Addons for Elementor', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery']"
bvacademy.com,BV Sports Academy - The best place to train and play!,Bobby Valentine's Sport Academy,USA,82,18053,2026-03-20T07:23:16.122053866Z,"['Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'Elementor', 'EmbedPress', 'Events Manager for WordPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'FreeCSSTemplates', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hotjar', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'LearnDash', 'MailChimp', 'Microdata for Google Shopping', 'PHP', 'Phew', 'SearchWP', 'Table Addons for Elementor', 'Theme In WP', 'Twenty Seventeen', 'Twitter Ads', 'UTF-8', 'University or College', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
4quality.life,4qLife,,USA,60,5547,2026-03-20T06:49:14.049796413Z,"['34SP.com', 'Alternate Protocol', 'Apache', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'DAV', 'EmbedPress', 'Financial Services Guide', 'KVH', 'LearnDash', 'No-Q', 'PHP', 'Subversion', 'Theme In WP', 'Twenty Twenty-Four', 'UTF-8', 'W3 Total Cache', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
bthedelta.com,Home - Environmental Energy Consultants,,USA,70,37842,2026-03-20T05:32:21.719070341Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'CookieYes', 'EmbedPress', 'Fastly', 'Fireblade', 'Font Awesome', 'FormSubmit', 'GZIP Module', 'GenerateBlocks', 'GeneratePress Company', 'Getwid Gutenberg Blocks', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'LearnDash', 'MailChimp', 'Microdata for Google Shopping', 'Modern Events Calendar Lite', 'Nginx', 'PHP', 'QUIC', 'Theme In WP', 'UTF-8', 'WP Featherlight', 'WPForms', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Stripe Payment Gateway', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
solutionsfortuition.com,HOME - Solutions For Tuition,Solutions for Tuition,USA,75,4696,2026-03-20T04:47:03.571957582Z,"['Alternate Protocol', 'Apache', 'Bulma', 'Calendly', 'Contact Form 7', 'Contact Form Plugin', 'EmbedPress', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Lazy Load for WordPress', 'MonsterInsights', 'PHP', 'Rate my Post', 'Sitelinks Search Box', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Uncanny Toolkit for LearnDash', 'University or College', 'WP Responsive Menu', 'WP Rocket', 'WordPress', 'WordPress Multisite', 'reCAPTCHA']"
elevatednetworkingsociety.com,Homepage - Rogue Valley Women in Business,,,60,4584,2026-03-20T02:10:21.276782239Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Animate It', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Cookie Accept', 'Cookie Notice', 'EmbedPress', 'Endurance Page Cache', 'Fastly', 'Fonts Plugin', 'GenerateBlocks', 'Genesis Blocks', 'GoDaddy', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'LearnDash', 'Line2', 'Microdata for Google Shopping', 'Nectar Slide Plugin', 'PHP', 'QUIC', 'Salient', 'Theme In WP', 'UTF-8', 'WPBakery', 'Wangsu', 'WordPress', 'WordPress Multisite', 'jQuery']"
sciencesafety.com,"Science Safety | Online Science, STEAM, CTE and Lab Safety",Science Safety Inc.,USA,82,6441,2026-03-20T01:57:38.178458082Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'BuddyBoss', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Favorites for WordPress', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Gutenberg Blocks by Kadence Blocks', 'IcoMoon', 'LearnDash', 'Line2', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'Newsletter for Wordpress', 'PDF Embedder for Wordpress', 'PHP', 'Pico CSS', 'QUIC', 'QUIC.cloud', 'Side Cart Woocommerce', 'Site Kit', 'SiteW', 'Table Addons for Elementor', 'To Top', 'Twitter Ads', 'UTF-8', 'Uncanny Toolkit for LearnDash', 'University or College', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'hCaptcha', 'jsDelivr']"
