domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
bulknutrients.co,Bulk Nutrients | Australia's first choice for supplements,,GBR,77,52233,2026-02-22T00:45:45.521900965Z,"['3 Products', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Apture Linking Platform', 'BigCommerce', 'Bing Cashback', 'Bing Conversion Tracking', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudinary', 'Content Delivery Network', 'DAV', 'ElementUI', 'Ethy', 'Express', 'Financial Services Guide', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'IPFS', 'Idaq', 'Instagram Follow Button', 'Klaviyo', 'Loyalty Lion', 'Microdata for Google Shopping', 'Next.js', 'No-Q', 'Northbeam', 'Ntent', 'PWA', 'Perl', 'QUIC', 'Radix UI', 'Sanity', 'Share Link', 'Sitelinks Search Box', 'Tailwind CSS', 'UTF-8', 'Vercel', 'Vimeo', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'Zendesk Embeddables', 'shadcn ui']"
skinshop.co.uk,Skin Shop - Naturally derived and effective skincare,,,82,128829,2026-01-17T09:42:57.437407419Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Bing Cashback', 'Bunny Fonts', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'Disqus Comment System for WordPress', 'DoubleClick Bid Manager', 'Express', 'Facebook Reseller', 'Font Awesome', 'Freshdesk Support', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Inspectlet', 'Instagram Follow Button', 'Klarna', 'Klaviyo', 'Loyalty Lion', 'Magento', 'Magento Enterprise', 'Microdata for Google Shopping', 'PayPal Adaptive Payments', 'QUIC', 'RM Education', 'ReviewsOnMyWebsite', 'Shopify', 'Storyblocks', 'Stripe', 'Twitter Ads', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'YouTube', 'reCAPTCHA']"
soluma.io,Soluma,Soluma,,67,401949,2026-01-14T03:04:43.454756537Z,"['AI Log', 'Asana', 'Atlassian JIRA Issue Collector', 'Authorize.net', 'Automattic', 'Basecamp', 'Beehiiv', 'Birdeye', 'Brevo', 'Camp', 'Campaign Monitor Widget', 'Canva Websites', 'Cisco/Arrowpoint Content Service Switch', 'ClickUp', 'Constant Contact', 'Crowdsignal', 'Discord', 'Eber', 'Extole', 'Figma', 'Fivestars', 'FreshBooks', 'Freshworks CRM', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Gravity', 'Gusto', 'Hootsuite Badge', 'Impact', 'Klarna', 'Loyalty Lion', 'Luma', 'Marketing Pro', 'Microdata for Google Shopping', 'Next.js', 'Notion', 'Omnisend', 'PandaDoc', 'PartnerStack', 'Pipedrive', 'QUIC', 'Qualtrics Site Intercept', 'RM Education', 'Radix UI', 'RingCentral', 'Rush', 'Salesforce', 'Salesforce Experience Cloud', 'Salesforce Hosted', 'Semrush', 'SendGrid Widget', 'Shopify', 'Sitelinks Search Box', 'Slack', 'Smile IO', 'Square', 'Swell Rewards', 'Tailwind CSS', 'Telegram', 'Todoist', 'Trello', 'Twitter Ads', 'UTF-8', 'Vine Embed', 'Wave', 'Webflow', 'Xero', 'Zendesk Embeddables', 'Zoom Video Conferencing', 'monday.com', 'shadcn ui']"
sprayplanet.com,Spray Planet by Montana Colors - MTN - Graffiti & Street Art Supplies,,JPN,87,61330,2026-01-12T21:17:04.314261345Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'AddShoppers', 'Adult Content', 'Amazon CloudFront', 'Apture Linking Platform', 'Aruba', 'Azure Edge', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'DAV', 'Express', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'IcoMoon', 'Instagram Follow Button', 'KVH', 'Loyalty Lion', 'MailChimp', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'PageFly', 'Perl', 'Privy', 'QUIC', 'Shopify', 'Shopify Collabs', 'Subversion', 'TrackingMore', 'UTF-8', 'Vercel', 'YouTube', 'eLand', 'hCaptcha', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
injinji.com,High Quality Performance Toesocks | Injinji®,Injinji,,67,391158,2025-12-29T16:27:52.632932961Z,"['AWS WAF Challenge', 'Adobe Marketing Cloud', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon WAF Blocked', 'Apture Linking Platform', 'AvantMetrics', 'Braintree', 'CloudFront', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'DemDex', 'DoubleClick Bid Manager', 'ElementUI', 'Express', 'Fastly', 'Fireblade', 'Font Awesome', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Klaviyo', 'Loyalty Lion', 'Magento', 'Magento Enterprise', 'Microdata for Google Shopping', 'Microsoft Clarity', 'New Relic', 'PayPal Adaptive Payments', 'QUIC', 'Sitelinks Search Box', 'The Trade Desk Direct', 'Twitter Ads', 'UTF-8', 'Ultimo', 'Vimeo', 'Vimeo CDN', 'Way', 'Wirecard', 'YouTube', 'accessiBe', 'iovation', 'jsDelivr', 'reCAPTCHA']"
dancedirect.com,"Dance Direct | UK Dancewear, Dance Shoes, Dance Costumes & More",,GBR,77,366685,2025-12-29T14:12:29.632757778Z,"['Adobe Marketing Cloud', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Bing Cashback', 'Braintree', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Criteo', 'DemDex', 'DoubleClick Bid Manager', 'Elastic Suite', 'Express', 'Fastly', 'Feefo', 'Fireblade', 'Font Awesome', 'Freshworks Bot', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Klarna', 'Klaviyo', 'Loyalty Lion', 'Magento', 'Magento Enterprise', 'MailChimp', 'Microdata for Google Shopping', 'New Relic', 'Parcel', 'PayPal Adaptive Payments', 'QUIC', 'Rakuten Affiliate', 'ReviewsOnMyWebsite', 'Storyblocks', 'Twitter Ads', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'Way', 'Wirecard', 'YouTube', 'reCAPTCHA']"
stateandliberty.com,"State and Liberty: Athletic Fit, Performance Menswear",State and Liberty Clothing Company,USA,82,142082,2025-12-15T21:34:56.033289022Z,"['AJAX Libraries API', 'Amazon', 'Amazon CloudFront', 'Angular', 'Apture Linking Platform', 'CDN JS', 'ClickOn', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Criteo', 'Digital Ocean Spaces', 'DirectTrack', 'DoubleClick Bid Manager', 'ElementUI', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'FormSubmit', 'Google Analytics', 'Google Cloud DNS', 'Google Flights Conversion Tracking', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gorgias', 'Heap', 'HubSpot Conversations', 'Hubspot', 'Klaviyo', 'Kochava', 'Loyalty Lion', 'Microdata for Google Shopping', 'QUIC', 'Rebuy', 'Shopify', 'Shopify Collabs', 'Shopify Payments', 'StoreRocket', 'Tailwind CSS', 'To Top', 'Twitter Ads', 'Twitter Analytics', 'UTF-8', 'Wizzy', 'Yottaa', 'accessiBe', 'hCaptcha', 'jQuery', 'jsDelivr', 'reCAPTCHA', 'shadcn ui']"
shopcapitalcity.com,Capital City® mambo sauce | The Official Wing Sauce of Washington DC,,,57,5915,2025-12-08T12:56:27.60546192Z,"['ADFOX', 'AJAX Libraries API', 'AWS WAF Challenge', 'Amazon CloudFront', 'AppNexus Direct', 'Apture Linking Platform', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Klaviyo', 'Loyalty Lion', 'Microdata for Google Shopping', 'Schema Plugin', 'Shopify', 'Shopify Collabs', 'Smile IO', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Yandex Hosting', 'Yandex Metrika', 'hCaptcha', 'reCAPTCHA', 'route']"
chichicosmetics.com,Chi Chi Cosmetics - Official Store Australia,,SGP,77,33951,2025-12-05T04:59:58.097016933Z,"['AJAX Libraries API', 'AdRoll', 'Adult Content', 'Amazon CloudFront', 'Apture Linking Platform', 'Aruba', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Foursixty', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Instagram Follow Button', 'Klaviyo', 'Loyalty Lion', 'Microdata for Google Shopping', 'Nosto', 'QUIC', 'Sapper', 'Schema Plugin', 'Shopify', 'Shopify Collabs', 'Swell Rewards', 'Tailwind CSS', 'UTF-8', 'Yotpo', 'hCaptcha', 'jQuery', 'reCAPTCHA']"
bedfordlane.co,Bedford Lane® | Shopify Agency | Shopify Designers & Developers,,,62,28252,2025-11-25T11:18:19.431807452Z,"['AJAX Libraries API', 'Amazon', 'Amazon CloudFront', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'DAV', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Loop Returns', 'Loyalty Lion', 'Okendo', 'Plattar', 'Shopify', 'Swell Rewards', 'Tagalys', 'WF Cookie Consent', 'YouTube', 'reCAPTCHA']"
