domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
uniontech.vc,Home - Union Tech Ventures,Union Tech Ventures,JPN,77,118196,2026-02-02T01:13:48.865220169Z,"['Alternate Protocol', 'DAV', 'Dynamic Yield', 'EmbedPress', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Imperva Bot Detection and Mitigation', 'Lazy Load for WordPress', 'Lusha', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Riskified', 'Taboola Direct', 'Taboola Reseller', 'Theme In WP', 'UTF-8', 'WP Rocket', 'WordPress', 'WordPress Multisite']"
biznatron.com,Biznatron – B2B Lead Generation & Appointment Setting,,USA,77,361772,2026-01-30T22:49:48.877683914Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apollo IO', 'Better Lead Generation Services', 'Bound', 'Calendly', 'Clutch', 'Dialpad', 'Elementor', 'EmbedPress', 'Freshworks CRM', 'Google My Business', 'Highspot', 'Instagram Follow Button', 'Instantly', 'LiteSpeed', 'Lusha', 'NFOrce Internet', 'PHP', 'Phlox', 'SalesLoft', 'Salesforce', 'Salesforce Experience Cloud', 'Salesforce Hosted', 'SendGrid Widget', 'Slack', 'Theme In WP', 'Vector Internet Services', 'WP Ulike', 'WordPress', 'WordPress Multisite', 'Zoom Video Conferencing', 'eLand', 'jQuery']"
station1architects.com,Station One Architects - Station One,,USA,70,22283,2026-01-23T17:34:43.434069589Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'Lusha', 'Microdata for Google Shopping', 'OptiMonk', 'PHP', 'QUIC', 'Revolution Theme', 'Simple Lightbox', 'Store Locator WordPress', 'Theme In WP', 'UTF-8', 'WP Engine', 'WP Google Maps', 'WPBakery', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
machidiac.com,"M. A. Chidiac Studio | Visual Communication Agency | Production House | Design Agency | Animation Studio | Beirut, Lebanon",,LBN,77,11296,2026-01-22T03:28:56.60957547Z,"['Apache', 'BLR', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Lusha', 'Perl', 'Tailwind CSS', 'Tumblr', 'Twitter Ads', 'University or College', 'Vimeo', 'WhatsApp Sharing', 'YouTube']"
lissmac.at,LISSMAC Maschinenbau – Construction Technology & Machine Concepts,LISSMAC Maschinenbau GmbH,USA,77,32004,2026-01-20T15:40:43.430647321Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Apollo IO', 'Econda', 'Express', 'Fireblade', 'GZIP Module', 'Google My Business', 'Instagram Follow Button', 'Lusha', 'Microdata for Google Shopping', 'QUIC', 'Tailwind CSS', 'UTF-8', 'University or College', 'YouTube', 'eLand']"
masonmcintyre.com,Mason McIntyre,,DEU,67,1728,2026-01-12T05:28:28.654954976Z,"['Content Delivery Network', 'Express', 'GitHub Hosting', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Lusha', 'Material-UI', 'Microdata for Google Shopping', 'Next.js', 'Pleroma', 'Schema Plugin', 'Twitter Ads', 'UTF-8', 'University or College', 'Unix', 'Vercel']"
skycop.co.uk,Skycop - Flight Delay Compensation - Claim up to €600,Skycop,CHE,77,35017,2025-12-29T03:55:38.317908481Z,"['Alternate Protocol', 'Apture Linking Platform', 'Aruba', 'Cisco/Arrowpoint Content Service Switch', 'Contact Form Plugin', 'Content Delivery Network', 'CookieYes', 'EmbedPress', 'Express', 'Fireblade', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Lusha', 'Microdata for Google Shopping', 'Mixpanel', 'NFOrce Internet', 'Nginx', 'PHP', 'Polylang', 'QUIC', 'Theme In WP', 'Twitter Ads', 'UPS', 'UTF-8', 'Vector Internet Services', 'WordPress', 'YouTube', 'eLand']"
booking-stream.com,BookingStream - Unique Done-For-You and With-You Client Acquisition,,,67,38823,2025-12-23T21:52:38.329164278Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'HighLevel', 'Instantly', 'Lusha', 'Nuxt.js', 'UTF-8', 'YouTube']"
hqgrowtech.com,GrowTech | Boost your B2B sales with top-rated outbound strategies,,GBR,72,349408,2025-12-19T05:52:32.757731498Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Amazon', 'Amazon CloudFront', 'Animate It', 'Better Lead Generation Services', 'CDN JS', 'Calendly', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Clutch', 'Content Delivery Network', 'Flow', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Lusha', 'QUIC', 'Salesforce', 'Salesforce Experience Cloud', 'Salesforce Hosted', 'Tailwind CSS', 'Vector Internet Services', 'WF Cookie Consent', 'YouTube', 'jsDelivr', 'monday.com']"
beincrementalstrategy.com,Be-incremental | Branded search incrementality tool,,,67,143671,2025-12-13T07:39:11.842527779Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Aruba', 'Better Lead Generation Services', 'Content Delivery Network', 'DC74', 'Fastly', 'Fastly CDN', 'Fireblade', 'FormSubmit', 'GZIP Module', 'GitHub Hosting', 'Google Related Website Sites', 'Lusha', 'M247', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Pico CSS', 'Point', 'QUIC', 'SMC', 'SiteW', 'Subversion', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
