domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
agiliz.com,We create impact on your business using data | Agiliz,Agiliz NV,BEL,82,78920,2026-01-26T14:10:43.434507432Z,"['AWS WAF Challenge', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Fastly', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hubspot Knowledge Base', 'Lytics', 'Microdata for Google Shopping', 'QUIC', 'UTF-8']"
vegasnewsnet.com,Lawsuit alleges City Marshals repeatedly operate outside their jurisdiction,,USA,77,575566,2026-01-22T04:37:43.442578039Z,"['Adobe Creative Cloud WebFonts', 'Akamai', 'Amazon', 'Amazon Associates Affiliate Shop', 'Amazon CloudFront', 'Amazon Route 53', 'Brightspot', 'Chartbeat', 'CloudFront', 'Connatix', 'Consumable Direct', 'Content Delivery Network', 'DAV', 'DoubleClick Bid Manager', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Lytics', 'Media.net', 'Microdata for Google Shopping', 'NFOrce Internet', 'OneTrust Domain Verification', 'Outbrain Direct', 'Parse.ly', 'Perl', 'Plausible Analytics', 'Prebid', 'QUIC', 'Qgiv', 'Qualtrics Site Intercept', 'Schema Plugin', 'Smart App Banner', 'Sourcepoint', 'Storyblocks', 'Twitter Ads', 'US Privacy User Signal Mechanism', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'Workday', 'YouTube', 'jsDelivr']"
collegeandseminary.com,HOME - College and Seminary,,ZAF,70,63279,2026-01-17T15:56:30.562051473Z,"['Add to Any', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DoubleClick Bid Manager', 'DuracellTomi Google Tag Manager for WordPress', 'EmbedPress', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Lytics', 'Microdata for Google Shopping', 'PHP', 'Theme In WP', 'Twitter Ads', 'UK Cookie Consent', 'UTF-8', 'University or College', 'VWO Engage', 'Visual Website Optimizer', 'WP Advanced Ads', 'WP PageNavi', 'WordPress', 'WordPress Multisite', 'jQuery']"
peteandlynn.com,Lowe's Holiday Shop!,,,57,62517,2026-01-15T15:00:36.970224695Z,"['Adobe Creative Cloud WebFonts', 'Adobe Marketing Cloud', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Coming Soon Page', 'Contentstack', 'Ethy', 'Fireblade', 'Font Awesome', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Hotjar', 'Imperva Bot Detection and Mitigation', 'Incapsula CDN', 'Lytics', 'New Relic', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Visx', 'reCAPTCHA']"
bayareaartsmarketing.com,BAAM,,USA,60,16541,2025-12-29T08:07:38.330437792Z,"['Adobe Creative Cloud WebFonts', 'Aruba', 'Cisco/Arrowpoint Content Service Switch', 'Express', 'Financial Services Guide', 'GZIP Module', 'Google Related Website Sites', 'Line2', 'Lytics', 'Microdata for Google Shopping', 'QUIC', 'Squarespace', 'Tailwind CSS', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
jodiefarmer.com,Jodie's Online Scnetsy Shop,,,62,201731,2025-12-29T00:40:38.347245502Z,"['Adobe Creative Cloud WebFonts', 'Adobe Marketing Cloud', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Contentstack', 'Fireblade', 'Font Awesome', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Hotjar', 'Imperva Bot Detection and Mitigation', 'Incapsula CDN', 'Lytics', 'New Relic', 'Tailwind CSS', 'UTF-8', 'reCAPTCHA']"
kshb.com,"KSHB 41 Kansas City: News, Weather, Chiefs, Traffic and Sports",,USA,92,559306,2025-12-28T14:32:05.204144257Z,"['Adobe Creative Cloud WebFonts', 'Akamai', 'Alternate Protocol', 'Amazon', 'Amazon Associates Affiliate Shop', 'Amazon CloudFront', 'Amazon Route 53', 'Brightspot', 'Chartbeat', 'CloudFront', 'Connatix', 'Consumable Direct', 'Content Delivery Network', 'DAV', 'DoubleClick Bid Manager', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Lytics', 'Media.net', 'Microdata for Google Shopping', 'OneTrust Domain Verification', 'Parse.ly', 'Prebid', 'QUIC', 'Qgiv', 'Qualtrics Site Intercept', 'Schema Plugin', 'Smart App Banner', 'Sourcepoint', 'Storyblocks', 'Twitter Ads', 'US Privacy User Signal Mechanism', 'UTF-8', 'University or College', 'WordPress SEO Structured Data Schema Plugin', 'Workday', 'YouTube', 'jsDelivr']"
suretydigit.org,SuretyDIGIT,,,50,40864,2025-12-19T10:34:32.767270537Z,"['AJAX Libraries API', 'Adobe Creative Cloud WebFonts', 'Aruba', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Line2', 'Lytics', 'Magento Enterprise', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Pico CSS', 'QUIC', 'Rev', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand', 'jQuery']"
scentedhall.com,Shopping Spree 🛍,,,57,61987,2025-12-14T17:13:56.034896746Z,"['Adobe Creative Cloud WebFonts', 'Adobe Marketing Cloud', 'Amazon', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Coming Soon Page', 'Contentstack', 'Fireblade', 'Font Awesome', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Hotjar', 'Imperva Bot Detection and Mitigation', 'Incapsula CDN', 'Lytics', 'New Relic', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'reCAPTCHA']"
thewicklesshomestead.com,WICKLESS HOMESTEAD SHOPPERS,,,62,201731,2025-12-13T14:55:56.008626141Z,"['Adobe Creative Cloud WebFonts', 'Adobe Marketing Cloud', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Contentstack', 'Fireblade', 'Font Awesome', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Hotjar', 'Imperva Bot Detection and Mitigation', 'Incapsula CDN', 'Lytics', 'New Relic', 'Tailwind CSS', 'UTF-8', 'reCAPTCHA']"
womeninretailsummit.com,Women In Retail Summit,,USA,77,215448,2025-12-11T23:55:56.046763475Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'EmbedPress', 'Google Analytics', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'Lytics', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Salesforce Hosted', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'Vimeo', 'WordPress', 'WordPress Multisite', 'jQuery']"
myscentedlife.com,🛍️ Online order? Shop HERE! 🛍️,,,62,204638,2025-12-11T18:04:56.018419416Z,"['Adobe Creative Cloud WebFonts', 'Adobe Marketing Cloud', 'Amazon', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Coming Soon Page', 'Contentstack', 'Fireblade', 'Font Awesome', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Hotjar', 'IcoMoon', 'Imperva Bot Detection and Mitigation', 'Incapsula CDN', 'Lytics', 'New Relic', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'reCAPTCHA']"
