domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
sakra.shop,Säkra - privacy fashion,Säkra,VAT,82,4496,2026-03-28T17:11:20.955863249Z,"['Apture Linking Platform', 'Aruba', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Google Related Website Sites', 'MailChimp', 'Microdata for Google Shopping', 'QUIC', 'Shopify', 'Shopify Collabs', 'UTF-8', 'eLand', 'hCaptcha', 'reCAPTCHA']"
landscouncil.org,The Lands Council,The Lands Council,,70,82068,2026-03-28T17:07:18.363023865Z,"['501c3 Status Nonprofit', 'Adobe Creative Cloud WebFonts', 'Aruba', 'Bloomerang', 'DC74', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'FormSubmit', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'MailChimp', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'Vista Cloud', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
doreendm.com,doreen dodgen-magee psy.d.,,USA,75,4112,2026-03-28T17:07:18.351932361Z,"['Adobe Creative Cloud WebFonts', 'Amazon Widgets', 'Aruba', 'Express', 'Font Awesome', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Play', 'Instagram Follow Button', 'Line2', 'MailChimp', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
welcome.jcc.sg,Home - Jurong Christian Church,Jurong Christian Church,CHN,70,6931,2026-03-28T17:01:50.358270976Z,"['Adult Content', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apache', 'BuddyBoss', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Gutenberg', 'Header, Footer and Blocks for Elementor', 'IcoMoon', 'InitiativeS', 'Instagram Follow Button', 'LearnDash', 'MailChimp', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Post Views Counter', 'Premium Addons for Elementor', 'QUIC', 'Shoelace Style', 'SiteW', 'Smart Slider 3', 'Theme In WP', 'UTF-8', 'User Registration for Wordpress', 'WPML Multilingual', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery']"
papayaflowers.ae,Papaya Flowers - Papaya,,,55,1472,2026-03-28T17:01:50.35161525Z,"['Amazon', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Google Customer Reviews', 'Google My Business', 'Google Related Website Sites', 'Instagram Follow Button', 'JotForm', 'MailChimp', 'NFOrce Internet', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'Thank You', 'UTF-8', 'YouTube', 'hCaptcha', 'reCAPTCHA', 'shadcn ui']"
largeprint.com,Large Print - Large Format Digital Printing in Kansas City,Large Print,USA,77,55748,2026-03-28T17:01:50.351094035Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Apache', 'Contact Form Plugin', 'Divi', 'Elegant Themes', 'EmbedPress', 'FreeCSSTemplates', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Jetpack', 'MailChimp for WordPress', 'Microdata for Google Shopping', 'MonsterInsights', 'PHP', 'SMC', 'Snitcher', 'Thank You', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'accessiBe', 'jQuery', 'reCAPTCHA']"
hsjbglobal.com,Home - HSJB GLOBAL,HSJB Business Solutions,IND,87,39337,2026-03-28T16:58:25.826482091Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Advanced Popups', 'Alternate Protocol', 'Animate It', 'Apache', 'Better Lead Generation Services', 'Click to Chat for WhatsApp', 'CoBlocks', 'Elementor', 'EmbedPress', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Gutenberg Blocks by Kadence Blocks', 'IcoMoon', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'KVH', 'MailChimp for WordPress', 'Microdata for Google Shopping', 'No-Q', 'Qi Addons For Elementor', 'Site Kit', 'Sitelinks Search Box', 'Slider Revolution', 'Table Addons for Elementor', 'Twitter Ads', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
grevilleawines.com.au,Grevillea Wines – Buy Wines Online & Get Free Delivery,,AUS,77,6216,2026-03-28T16:53:28.226615513Z,"['3 Products', 'Apture Linking Platform', 'Aruba', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'Express', 'GetSiteControl', 'Google Cloud DNS', 'Google Cloud Storage', 'Google My Business', 'Google Related Website Sites', 'Instagram Follow Button', 'MailChimp', 'Perl', 'QUIC', 'Shipping Rates Calculator', 'Shopify', 'Shopify Collabs', 'To Top', 'UTF-8', 'Vercel', 'eLand', 'hCaptcha', 'reCAPTCHA']"
derekpenwell.net,Derek Penwell,,,67,114208,2026-03-28T16:53:28.221519743Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Amazon Widgets', 'Aruba', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Landis Holdings', 'Line2', 'Magento Enterprise', 'MailChimp', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Pico CSS', 'QUIC', 'SiteW', 'Squarespace', 'Twitter Ads', 'UTF-8', 'University or College', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
jlgoldenisles.org,Junior League of the Golden Isles,Junior League of the Golden Isles,,72,84208,2026-03-28T16:43:34.842711527Z,"['Adobe Creative Cloud WebFonts', 'Amazon Widgets', 'Aruba', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'MailChimp', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Pico CSS', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
