domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
adminandco.com.au,Business Operations and Systems Strategy for Female Founders | Lee Doherty,Admin & Co.,SYC,77,3815,2026-01-31T16:34:48.866767837Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Express', 'Facebook Customer Chat SDK', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'MailerLite', 'Microdata for Google Shopping', 'QUIC', 'Squarespace', 'UTF-8', 'WordPress', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
reneetree.com,Home - Renee Treeyanon,,CAN,70,18396,2026-01-31T15:23:12.154600019Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Divi', 'Elegant Themes', 'EmbedPress', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Harbor', 'Instagram Follow Button', 'MailerLite', 'Microdata for Google Shopping', 'Monarch Social Sharing Plugin For WordPress', 'PHP', 'Theme In WP', 'UTF-8', 'WPForms', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
samanthamargret.com,Samantha Margret,,,55,33152,2026-01-31T14:37:48.873892007Z,"['Aruba', 'ByteDance', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'FormSubmit', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'MailerLite', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Pico CSS', 'QUIC', 'SiteW', 'Squarespace', 'TikTok Conversion Tracking Pixel', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
oureverydayparables.com,Our Everyday Parables - Using the daily to help families connect and grow,,,72,16808,2026-01-31T14:03:03.324512271Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon Widgets', 'Content Delivery Network', 'ElementUI', 'EmbedPress', 'Express', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'LiteSpeed', 'MailerLite', 'Microdata for Google Shopping', 'MonsterInsights', 'Oddle', 'PHP', 'QUIC', 'Simple Social Icons', 'Social Pug', 'Soliloquy for WordPress', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
lezape.fr,"Lezape : ATELIERS PARENTS-enfants, Psychologues à domicile Troubles du comportement de l'enfant",,FRA,72,3298,2026-01-31T13:46:48.877745903Z,"['GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'MailerLite', 'Poptin', 'ResponseiQ', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'WhatsApp Sharing']"
westhaventrails.org,"WestHaven Trails Community Service Association, Inc.",,,55,3690,2026-01-31T11:26:39.523535427Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Beaver Builder Lite', 'Cloudflare', 'Cloudflare CDN', 'EmbedPress', 'GoDaddy', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'MailerLite', 'PHP', 'Primer', 'Theme In WP', 'UTF-8', 'Wangsu', 'Website Tonight', 'WordPress', 'WordPress Multisite', 'jQuery']"
goodbehaviorbrand.com,Good Behavior Brand,Good Behavior Brand,,55,1299,2026-01-31T11:01:48.908575781Z,"['Advanced Woo Search', 'Alternate Protocol', 'Clicky', 'Content Delivery Network', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'MailChimp for WordPress', 'MailerLite', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Sassy Social Share', 'StackPath', 'Storefront', 'Theme In WP', 'UTF-8', 'UserWay', 'Variation Swatches for WooCommerce', 'WP Engine', 'WP Fastest Cache', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
wempower.co,Home - Wempower,,,60,1546,2026-01-31T10:47:12.295203072Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Automattic', 'Cloudflare', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Essential Blocks for Gutenberg', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'GZIP Module', 'Google', 'Google My Business', 'IcoMoon', 'Instagram Follow Button', 'Jetpack', 'Line2', 'MailerLite', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'PDF Embedder for Wordpress', 'PHP', 'Popup Maker for Wordpress', 'Rife Free', 'SearchWP', 'Slider Revolution', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Ultimate Social Media', 'WP Rocket', 'WPForms', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Stripe Payment Gateway', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'jQuery']"
albertdros.com,Albert Dros Photography | Landscape Photographer,Albert Dros Photography,NLD,67,103895,2026-01-31T10:40:48.864154917Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Ecwid Ecommerce Shopping Cart', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'MailChimp', 'MailerLite', 'Microdata for Google Shopping', 'NFOrce Internet', 'POWr', 'PWA', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Thank You', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'YouTube', 'mlcom']"
bundys.com.au,"Bundy's Health- Protein Bars, Hemp Protein Bars & Protein Bites",,,67,18675,2026-01-31T10:01:48.883463059Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon CloudFront', 'Astra Theme', 'CartFlows', 'CloudFront', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Express', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Header, Footer and Blocks for Elementor', 'Instagram Follow Button', 'LiteSpeed', 'MailerLite', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'QUIC', 'Sitelinks Search Box', 'Table Addons for Elementor', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Stripe Payment Gateway', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery', 'reCAPTCHA']"
