domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
archicadthailand.com,Graphisoft Archicad | BIM Software for Architects,,THA,77,1728,2026-05-12T14:44:19.983008562Z,"['Content Delivery Network', 'Express', 'InMotion Hosting', 'Mantine', 'Next.js', 'Sanity', 'Tailwind CSS', 'UTF-8', 'Vercel', 'YouTube', 'shadcn ui']"
awanimehdi.com,أواني مهدي,,,47,235,2026-05-12T14:20:20.002922398Z,"['Alternate Protocol', 'BunnyCDN', 'BunnyCDN General', 'Coming Soon Page', 'Content Delivery Network', 'ElementUI', 'Google Cloud DNS', 'Google Cloud Storage', 'Instagram Follow Button', 'Mantine', 'Next.js', 'UTF-8', 'Vercel']"
aflabs.com,AFlabs,,SVN,52,203,2026-05-12T14:14:00.916056936Z,"['AWS WAF Challenge', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Mantine', 'Next.js', 'OpenResty', 'Pleroma', 'UTF-8']"
livestocx.com,Livestocx,,,37,,2026-05-12T14:05:19.983655565Z,"['App Store', 'Content Delivery Network', 'DAV', 'Google My Business', 'Google Play', 'Mantine', 'Next.js', 'Pleroma', 'UTF-8', 'Vercel']"
realestatereferral.network,Find A Real Estate Agent | Buy or Sell Home Fast,,USA,82,280,2026-05-12T13:26:20.006510793Z,"['Content Delivery Network', 'DAV', 'Google Cloud DNS', 'Google Font API', 'Mantine', 'Microdata for Google Shopping', 'Next.js', 'Pleroma', 'UTF-8', 'Vercel']"
desalarobenu.org,Desa Larobenu - Selamat datang di website resmi Pemerintahan Desa Larobenu,,,67,17440,2026-05-12T11:41:19.991739446Z,"['Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'DAV', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Mantine', 'Ntent', 'Twitter Ads', 'UTF-8', 'YouTube']"
desawata.org,Desa Wata - Selamat datang di website resmi Pemerintahan Desa Wata,,,67,17440,2026-05-12T11:35:20.005958784Z,"['Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'DAV', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Mantine', 'Ntent', 'Twitter Ads', 'UTF-8', 'YouTube']"
desatetebatu.org,Desa Tetebatu - Selamat datang di website resmi Pemerintahan Desa Tetebatu,,,67,17440,2026-05-12T11:26:20.01748152Z,"['Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'DAV', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Mantine', 'Ntent', 'Twitter Ads', 'UTF-8', 'YouTube']"
fdizone.ae,FDIZONE,FDI Zone,IND,72,84,2026-05-12T11:02:19.992957159Z,"['Alternate Protocol', 'Content Delivery Network', 'GZIP Module', 'Google Customer Reviews', 'Google Maps', 'Google My Business', 'Instagram Follow Button', 'Mantine', 'Microdata for Google Shopping', 'Next.js', 'Nginx', 'QUIC', 'Sitelinks Search Box', 'UTF-8', 'Ubuntu', 'Unsplash']"
desaoneete.org,Desa One Ete - Selamat datang di website resmi Pemerintahan Desa One Ete,,,67,17440,2026-05-12T10:50:19.99589341Z,"['Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'DAV', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Mantine', 'Ntent', 'Twitter Ads', 'UTF-8', 'YouTube']"
