domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
motoon.com.sa,Motoon Real Estate Company,,SAU,77,96828,2026-01-31T13:43:48.877320057Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Apture Linking Platform', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Express', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft 365', 'NFOrce Internet', 'PWA', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'YouTube', 'mlcom']"
skyaxis.net,Sky Nexus - IT Consulting & Cybersecurity Solutions,,AUS,72,37020,2026-01-31T13:43:48.876001048Z,"['AWS WAF Challenge', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'Fireblade', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Microsoft 365', 'Next.js', 'Pleroma', 'QUIC', 'Radix UI', 'Tailwind CSS', 'Trustpilot Reviews for WordPress', 'UTF-8', 'shadcn ui']"
takkstudio.co.nz,"takkstudio.co.nz - Dunedin, NZ",,,32,216,2026-01-31T13:34:48.867557854Z,"['IcoMoon', 'Instagram Follow Button', 'LiteSpeed', 'Microsoft 365', 'QUIC', 'UTF-8']"
iawd-ubp.org,Home - UBP,,,47,1299,2026-01-31T13:31:48.877907591Z,"['DevExpress ASP.NET', 'Font Awesome', 'HostGator', 'Microsoft 365', 'Microsoft Azure', 'Microsoft IIS', 'Parallels Plesk Panel', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Visual Studio', 'shadcn ui']"
merger.studio,alex spatzier architects,,USA,72,4639,2026-01-31T13:28:48.878105997Z,"['AJAX Libraries API', 'Coming Soon Page', 'Google Analytics', 'Google Cloud DNS', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'LiteSpeed', 'Microsoft 365', 'Tailwind CSS', 'University or College', 'Vimeo', 'jQuery']"
globalsaasboost.co,Home - Neugo,Neugo,GBR,65,96319,2026-01-31T13:28:48.867611779Z,"['Adult Content', 'Alternate Protocol', 'Amazon Link Enchancer', 'Amazon Widgets', 'Apache', 'Apollo IO', 'Apture Linking Platform', 'CDN JS', 'Cart.com', 'Cloudflare', 'Cloudflare CDN', 'Corporate Governance and Regulatory Compliance', 'EmbedPress', 'Financial Services Guide', 'GZIP Module', 'HubSpot WordPress Plugin', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft 365', 'Monster', 'PHP', 'QUIC', 'Theme In WP', 'ThemeFusion', 'UTF-8', 'Ubuntu', 'WordPress', 'WordPress Multisite', 'Zoom Video Conferencing', 'jQuery']"
pennsburylandtrust.org,"Pennsbury Land Trust - Pennsbury Township, Pennsylvania",,USA,77,7279,2026-01-31T13:22:48.859764849Z,"['Coming Soon Page', 'DAV', 'Express', 'Google Analytics', 'Google Tag Manager', 'HostGator', 'ISO/IEC 8859', 'Microsoft 365', 'Microsoft Azure', 'Microsoft IIS', 'Parallels Plesk Panel', 'Shockwave Flash Embed', 'Visual Studio', 'eLand']"
bella-programme.eu,Home,,FIN,60,769,2026-01-31T12:49:48.868942752Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Atlassian Confluence', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'InitiativeS', 'JIRA', 'Joomla!', 'Matomo', 'Matomo Tag Manager', 'Microsoft 365', 'PHP', 'RokNavMenu', 'UTF-8', 'Ubuntu', 'YouTube', 'jQuery']"
careeradviceoffice.com,Career Advice Office,,SYC,65,17006,2026-01-31T12:42:49.063921103Z,"['CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Fastly', 'Firebase', 'Font Awesome', 'Google', 'Google Cloud CDN', 'Google My Business', 'IcoMoon', 'Instagram Follow Button', 'Microsoft 365', 'Slider Revolution', 'UTF-8', 'Vector Internet Services', 'jsDelivr', 'reCAPTCHA']"
aposce.pt,Início,,,20,216,2026-01-31T12:31:48.864220416Z,"['GZIP Module', 'IcoMoon', 'Microsoft 365', 'Nginx', 'UTF-8']"
