domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
codingassets.co.uk,Coding Assets Ltd,,GBR,75,6059,2026-05-17T06:55:43.169725915Z,"['Apache', 'BootstrapMade', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Microsoft Teams', 'OpenSSL', 'Slack', 'Tailwind CSS', 'Twitter Ads', 'Unix']"
ideationcbm.net,Ideation CBM,,,62,107112,2026-05-17T03:44:19.993648057Z,"['Aruba', 'Contento', 'Express', 'Font Awesome', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'Microsoft Teams', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
edgecomplyhq.com,EdgeComply | Global Product Compliance Partner,,,62,32692,2026-05-17T03:44:19.989163554Z,"['1Password', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Financial Services Guide', 'Framer Sites', 'Free Call', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Tag Manager', 'KVH', 'Microsoft Teams', 'Ntent', 'Yandex Hosting', 'Zeald']"
surfrock66.com,Joe Gullizzo's Websiteizzo,,USA,65,135814,2026-05-17T02:56:19.977662528Z,"['Alternate Protocol', 'Amazon Widgets', 'Aruba', 'Bitwarden Passwordless', 'Bullhorn Staffing', 'ClassLink', 'Coinbase', 'Discord', 'EmbedPress', 'GitHub Hosting', 'Google Analytics', 'Google Calendar', 'Google Maps', 'Google My Business', 'Google Workspace', 'LiteSpeed', 'Microsoft 365', 'Microsoft Teams', 'Monster', 'Netsuite Site Builder', 'PHP', 'Perl', 'Python', 'QUIC', 'Twitter Ads', 'UTF-8', 'University or College', 'Webcall', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
infyways.com,"Web Development, eCommerce & CMS | Apps & AI | Infyways",Infyways Solutions,AUS,77,181079,2026-05-17T02:38:19.994975106Z,"['Apache', 'Cloudflare', 'Content Delivery Network', 'DAV', 'Express', 'GZIP Module', 'Google Analytics', 'Google Conversion Tracking', 'Google Tag Manager', 'INETu', 'Microdata for Google Shopping', 'Microsoft Teams', 'Next.js', 'Oracle Cloud', 'PWA', 'Pleroma', 'PrestaShop', 'Python', 'Radix UI', 'Salesforce Hosted', 'SiteGround Optimizer', 'Sitelinks Search Box', 'Svelte', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'Woo Themes', 'shadcn ui']"
mpaday.org,MPA Day - 1 August: Celebrating local actions for global impact,,,67,36912,2026-05-17T02:38:19.97686926Z,"['Fireblade', 'GitHub Hosting', 'GoDaddy', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Microsoft Teams', 'PWA', 'UTF-8', 'Wangsu', 'Website Tonight', 'YouTube']"
tbmcouncil.org,Home - TBM Council,,FLK,72,43003,2026-05-17T01:53:19.999140923Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Coming Soon Page', 'Content Delivery Network', 'DuracellTomi Google Tag Manager for WordPress', 'Elementor', 'EmbedPress', 'Fastly', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Hello Elementor', 'HubSpot Conversations', 'HubSpot WordPress Plugin', 'Hubspot', 'InitiativeS', 'Jetpack', 'LiteSpeed', 'Microdata for Google Shopping', 'Microsoft Teams', 'NFOrce Internet', 'Nginx', 'Page scroll to id', 'Perfmatters', 'QUIC', 'Sitelinks Search Box', 'The Plus Addons for Elementor', 'UTF-8', 'W3 Total Cache', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
centralasiadigitalengagement.com,TECHNOLOGY AND DIGITAL ENGAGEMENT: PRACTICAL TOOLS AND STRATEGIES,,,30,60,2026-05-17T01:16:36.37831268Z,"['Microsoft 365', 'Microsoft Teams', 'jsDelivr']"
urbana.edu,Online College & Nonprofit Accredited University | Franklin University,,USA,77,403879,2026-05-16T23:57:00.689817342Z,"['AWS WAF Challenge', 'Adobe Analytics', 'Adobe Marketing Cloud', 'Apache', 'Apture Linking Platform', 'AthenaHealth', 'CCSI', 'Cisco/Arrowpoint Content Service Switch', 'Content Delivery Network', 'Cornerstone', 'DAV', 'Drupal', 'Ektron', 'Envoy', 'Expedient', 'Express', 'Fireblade', 'GZIP Module', 'Gambling Content', 'Google Related Website Sites', 'Gravity', 'Harbor', 'Instagram Follow Button', 'Landis Holdings', 'Marketo', 'Microdata for Google Shopping', 'Microsoft Teams', 'NFOrce Internet', 'Neighborhoods', 'On The Map', 'Onyx Internet', 'Parcel', 'Perl', 'QUIC', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'Vector Internet Services', 'YouTube', 'eLand']"
australasiaunderwriting.com.au,Australasia Underwriting – The difficult made easy,Australasia Underwriting Pty Limited,AUS,67,222316,2026-05-16T20:47:19.977532803Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Cloudflare', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Event Tickets for Wordpress', 'FreeBSD', 'Google Analytics', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'KeyCDN', 'LiteSpeed', 'Microdata for Google Shopping', 'Microsoft Teams', 'PHP', 'Python', 'QUIC', 'SMC', 'Salesforce Hosted', 'Shopware', 'SiteW', 'Slider Revolution', 'The Events Calendar', 'Theme In WP', 'ThemeFusion', 'UTF-8', 'University or College', 'Vector Internet Services', 'WP jQuery Lightbox', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'Yandex Hosting', 'jQuery', 'symfony PHP Framework']"
