domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
riffsstudios.com,Riffs Yoga & Wellness | Outdoor Yoga & Holistic Healing in La Jolla,,USA,72,24700,2026-04-29T12:35:20.006056393Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Klaviyo', 'Microsoft Clarity', 'MindBody', 'Share Link', 'Telegram', 'UTF-8', 'Yelp Badge', 'YouTube', 'jQuery']"
detroitbodygarage.com,Detroit Body Garage | East Side Detroit Community Gym,Detroit Body Garage,USA,72,155641,2026-04-29T12:20:19.997418783Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'K2F', 'KVH', 'Microdata for Google Shopping', 'MindBody', 'NFOrce Internet', 'Neighborhoods', 'On The Map', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Subversion', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'mlcom']"
thewellnessstudio.com.au,"The Wellness Studio Bondi | Yoga, Energy Healing, Reiki, Sound Healing & More",290 Bondi Road ,AUS,77,94861,2026-04-29T11:29:20.013218682Z,"['Aruba', 'Birdeye', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Klaviyo', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'MindBody', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
cayogaytt.com,"Fall 200 Hour Yoga Teacher Training – October 4th, 2025 – March 7th, 2026",,,67,5147,2026-04-29T11:14:19.982032777Z,"['Alternate Protocol', 'Automattic', 'Content Delivery Network', 'EmbedPress', 'Jetpack', 'Jetpack Site Accelerator', 'MindBody', 'Nginx', 'Perl', 'UTF-8', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'WordPress Stats']"
tavustudio.com,TAVÚ | Abu Dhabi's First Private Reformer Pilates & Contrast Therapy Studio,,AE,82,7219,2026-04-29T11:08:19.991339926Z,"['Alternate Protocol', 'Coming Soon Page', 'Content Delivery Network', 'Facebook Reseller', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Instagram Follow Button', 'Microdata for Google Shopping', 'MindBody', 'Next.js', 'PWA', 'Tailwind CSS', 'UTF-8', 'Vercel', 'shadcn ui']"
cluboneopos.com,Kinema Fitness | Clubone Kinema Fitness Opos | Boston,,USA,77,92328,2026-04-29T10:53:19.97881162Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'MindBody', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom']"
oconeefit.com,Oconee Fit,,USA,65,98468,2026-04-29T10:44:19.979349295Z,"['Adobe Creative Cloud WebFonts', 'Aruba', 'Express', 'Fireblade', 'FormSubmit', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'MindBody', 'Newsletter for Wordpress', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
faballet.com,Freyer Academy of Ballet,,USA,65,113108,2026-04-29T10:41:19.993993311Z,"['Aruba', 'Contento', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'MindBody', 'Newsletter for Wordpress', 'Pico CSS', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
mickdoyle.com,Home - Mick Doyle's Kickboxing & Fitness Center,,USA,75,21652,2026-04-29T10:20:20.003636213Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Automattic', 'Cloudflare', 'Content Delivery Network', 'Divi', 'Elegant Themes', 'EmbedPress', 'Google Cloud DNS', 'Google Font API', 'Gravity', 'Instagram Follow Button', 'Jetpack', 'Microdata for Google Shopping', 'MindBody', 'PHP', 'Popup Maker for Wordpress', 'QUIC', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WP Engine', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'jQuery']"
en-corepilates.com,EN-CORE Pilates | Pilates Reformer Studio in Downtown Montreal,,,72,99212,2026-04-29T09:50:20.013069026Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Accordion Blocks', 'App Store', 'Aruba', 'Ethy', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Play', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'MindBody', 'QUIC', 'SiteW', 'Smart App Banner', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand', 'jQuery']"
