domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
hannahkrueger.com,Hannah Krueger | UX and Communications Pro,,,55,26804,2026-04-02T20:20:19.990763673Z,"['Adobe Creative Cloud WebFonts', 'Aruba', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'eLand', 'monday.com']"
metamansionsbykeys.com,Meta Mansions NFT | KEYS Token,,,62,33228,2026-04-02T19:44:19.990349549Z,"['Content Delivery Network', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Investor Relations', 'Netlify', 'Parcel', 'QUIC', 'The Fresh', 'Twitter Ads', 'UTF-8', 'YouTube', 'eLand', 'monday.com']"
ananyadang.com,UI/UX Designer Portfolio,,,62,51980,2026-04-02T19:35:19.978586623Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Financial Services Guide', 'Framer Sites', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Tag Manager', 'Instagram Follow Button', 'KVH', 'Ntent', 'Vector Internet Services', 'Yandex Hosting', 'Zeald', 'monday.com']"
prtopford.info,Award-Winning Digital PR Agency | SwayyEm,,SLV,72,35268,2026-04-02T19:20:19.984047881Z,"['AWS WAF Challenge', 'Amazon', 'Amazon CloudFront', 'Apture Linking Platform', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'ElementUI', 'Express', 'GZIP Module', 'GetResponse', 'GoDaddy', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Investing', 'Prospective', 'Tailwind CSS', 'UTF-8', 'Vector Internet Services', 'WF Cookie Consent', 'Webflow', 'jsDelivr', 'monday.com']"
empoweringhumansdigitalmedia.com,Scrolling Text with Tick Icons,Empowering Humans Digital Media,USA,75,22700,2026-04-02T18:59:19.999101698Z,"['Alternate Protocol', 'Apture Linking Platform', 'Authorize.net', 'Better Lead Generation Services', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nuxt.js', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Vercel', 'YouTube', 'monday.com', 'shadcn ui']"
salidamountaintrails.org,Salida Mountain Trails - World-Class Multi-User Trails Salida Colorado,Salida Mountain Trails,,82,25808,2026-04-02T18:56:05.61700426Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Elementor', 'ElementsKit Elementor', 'Elfsight', 'EmbedPress', 'Fastly', 'FreeCSSTemplates', 'GZIP Module', 'Givebutter', 'Google', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Hello Elementor', 'Instagram Follow Button', 'Microdata for Google Shopping', 'MonsterInsights', 'NFOrce Internet', 'PHP', 'Pagekit', 'Perl', 'Smush Image Optimization', 'Table Addons for Elementor', 'TablePress', 'The Events Calendar', 'Theme In WP', 'UTF-8', 'WPForms', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Payments', 'WooCommerce Stripe Payment Gateway', 'WordPress', 'WordPress Multisite', 'jQuery', 'monday.com']"
jgsolutions.co.nz,JG Software Solutions,,NZL,72,155440,2026-04-02T16:20:26.590711033Z,"['Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Nginx', 'Salesforce Hosted', 'Subversion', 'UTF-8', 'jsDelivr', 'monday.com']"
yieldcoffee.com,YIELD Coffee Roasters | What Coffee Should Be,YIELD Coffee Roasters,USA,77,11295,2026-04-02T15:17:20.011021482Z,"['Amazon', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Google Related Website Sites', 'Instagram Follow Button', 'MailChimp', 'Microdata for Google Shopping', 'NFOrce Internet', 'Newsletter for Wordpress', 'Shopify', 'Shopify Collabs', 'Thank You', 'UTF-8', 'hCaptcha', 'monday.com', 'reCAPTCHA']"
jonnyrich.com,"Custom Webflow Websites | Jonny Rich, London UK",,USA,77,22724,2026-04-02T15:17:19.982061398Z,"['Adobe Creative Cloud WebFonts', 'Amazon', 'Amazon CloudFront', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'Fireblade', 'GZIP Module', 'GoDaddy', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'GrubHub', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'QUIC', 'Tailwind CSS', 'UTF-8', 'WF Cookie Consent', 'Webflow', 'jsDelivr', 'monday.com']"
globaltizestaffing.com,Hire Top 1% Remote Employees Worldwide | Globaltize,Globaltize,USA,92,188305,2026-04-02T15:15:48.005114044Z,"['3D FlipBook', 'AWS WAF Challenge', 'Alternate Protocol', 'Better Lead Generation Services', 'CookieYes', 'DAV', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Framer Sites', 'GenerateBlocks', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Tag Manager', 'Hootsuite Badge', 'Instagram Follow Button', 'Microdata for Google Shopping', 'No-Q', 'Ntent', 'Oracle Cloud', 'Python', 'QUIC', 'Salesforce Hosted', 'Vector Internet Services', 'Vercel', 'Woo Themes', 'Yandex Hosting', 'YouTube', 'Zeald', 'monday.com']"
jeanettekirshbaumlpc.com,"Welcome to Open Door Psychotherapy by Jeanette Kirshbaum, MS, LPC",Open Door Psychotherapy,USA,72,105460,2026-04-02T15:08:20.019275823Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Coming Soon Page', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'mlcom', 'monday.com']"
goodmuse.co,Good Moose: Growth Marketing Agency,,USA,72,29496,2026-04-02T15:00:50.368391871Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Amazon', 'Amazon CloudFront', 'Animate It', 'ArvanCloud', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Vector Internet Services', 'WF Cookie Consent', 'Webflow', 'jsDelivr', 'monday.com']"
delegatedservices.co,Janitorial Services | Delegated Services | San Diego,,USA,72,91020,2026-04-02T14:38:20.01538738Z,"['Amazon WAF Blocked', 'Apture Linking Platform', 'Calendly', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom', 'monday.com']"
soldovertheweekend.com,Home | SoldOverTheWeekend.com,,USA,87,24379,2026-04-02T14:14:49.805644035Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Font Awesome', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Instagram Follow Button', 'Nuxt.js', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Vimeo', 'YouTube', 'monday.com', 'shadcn ui', 'uPress', 'vzaar']"
notesy-app.com,Discover the Best AI Note-Taking App for Enhanced Productivity,,USA,72,7739,2026-04-02T14:14:20.013103594Z,"['Alternate Protocol', 'Angular', 'Apture Linking Platform', 'CallRail', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'EmbedPress', 'Engage', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Gusto', 'Instagram Follow Button', 'LiteSpeed', 'Notion', 'Otter Text', 'PHP', 'Parcel', 'Perfmatters', 'Perl', 'QUIC', 'Termly', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'accessiBe', 'monday.com']"
premiercateringutah.com,Pacific Island Knowledge 2 Action Resources,,USA,70,86413,2026-04-02T13:59:20.000976653Z,"['Aruba', 'Express', 'GZIP Module', 'Givebutter', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Forms', 'Google My Business', 'InitiativeS', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'Subversion', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'eLand', 'monday.com']"
alaisoteam.net,Attio CRM Partner - Revenue Systems for B2B Teams | Alaiso,,,62,207350,2026-04-02T13:47:19.980599551Z,"['Framer Sites', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'KVH', 'Microsoft Clarity', 'No-Q', 'Ntent', 'QUIC', 'Salesforce Hosted', 'Vector Internet Services', 'Waveform Technology', 'Yandex Hosting', 'Zeald', 'monday.com']"
