domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
lockwoodace.com,"Kings Ace Hardware in Billings | Hardware Store in Billings, MT 59102",,USA,77,420259,2026-02-08T02:35:57.871242695Z,"['AWS WAF Challenge', 'Bronto', 'Cloudflare', 'Content Square', 'Express', 'Facebook Reseller', 'Fireblade', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure Blob Storage', 'Monetate', 'Neighborhoods', 'OneTrust Domain Verification', 'PWA', 'Salesforce Hosted', 'Thank You', 'Twitter Ads', 'UpSellit', 'YouTube', 'reCAPTCHA']"
navajowesterners.com,"Navajo Westerners Ace Hardware in Window Rock | Hardware Store in Window Rock, AZ 86515",,USA,77,420298,2026-02-06T00:03:11.129762255Z,"['AWS WAF Challenge', 'Bronto', 'Cloudflare', 'Coming Soon Page', 'Content Square', 'Express', 'Facebook Reseller', 'Fireblade', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure Blob Storage', 'Monetate', 'OneTrust Domain Verification', 'PWA', 'Salesforce Hosted', 'Thank You', 'Twitter Ads', 'UpSellit', 'YouTube', 'reCAPTCHA']"
southbellmoreveterinarygroup.com,"Veterinarian in Bellmore, NY | South Bellmore Veterinary Group – Your Trusted Veterinary Clinic for Pet Wellness, Surgery, Emergency Care & More. Book an Appointment Today!",,USA,77,65380,2026-02-05T17:37:48.870572168Z,"['AJAX Libraries API', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Microdata for Google Shopping', 'Microsoft Azure', 'Microsoft IIS', 'Monetate', 'Tailwind CSS', 'Visual Studio', 'jQuery']"
shoresanimalclinic.net,"Veterinarian in West Palm Beach, FL | Shores Animal Clinic – Your Trusted Veterinary Clinic for Pet Wellness, Surgery, Emergency Care & More. Book an Appointment Today!",,,77,65380,2026-02-05T15:18:21.927747091Z,"['AJAX Libraries API', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure', 'Microsoft IIS', 'Monetate', 'Tailwind CSS', 'Twitter Ads', 'Visual Studio', 'jQuery']"
tenderpaws.net,"Veterinarian in Conroe, TX | Tender Paws Animal Hospital – Your Trusted Veterinary Clinic for Pet Wellness, Surgery, Emergency Care & More. Book an Appointment Today!",,,77,67780,2026-02-05T15:18:21.927035348Z,"['AJAX Libraries API', 'Amazon', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Microdata for Google Shopping', 'Microsoft Azure', 'Microsoft IIS', 'Monetate', 'Tailwind CSS', 'University or College', 'Visual Studio', 'jQuery']"
seasidevets.com,"Veterinarian in St. Simons Island, GA | Seaside Veterinary Hospital – Your Trusted Veterinary Clinic for Pet Wellness, Surgery, Emergency Care & More. Book an Appointment Today!",,,77,65380,2026-02-05T15:18:21.927228139Z,"['AJAX Libraries API', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure', 'Microsoft IIS', 'Monetate', 'Tailwind CSS', 'Visual Studio', 'jQuery']"
pet-medcenter.com,"Veterinarian in Harker Heights, TX | Pet Medical Center – Your Trusted Veterinary Clinic for Pet Wellness, Surgery, Emergency Care & More. Book an Appointment Today!",,KEN,77,65380,2026-02-05T15:18:21.927358355Z,"['AJAX Libraries API', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure', 'Microsoft IIS', 'Monetate', 'Tailwind CSS', 'Visual Studio', 'jQuery']"
southsidevets.com,"Veterinarian in Nashville, TN | Southside Animal Hospital – Your Trusted Veterinary Clinic for Pet Wellness, Surgery, Emergency Care & More. Book an Appointment Today!",,,77,65380,2026-02-05T15:18:21.927474661Z,"['AJAX Libraries API', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure', 'Microsoft IIS', 'Monetate', 'Tailwind CSS', 'Visual Studio', 'jQuery']"
seileranimalhospital.com,"Veterinarian in Fort Lauderdale, FL | Seiler Animal Hospital – Your Trusted Veterinary Clinic for Pet Wellness, Surgery, Emergency Care & More. Book an Appointment Today!",,IMN,77,65380,2026-02-05T15:18:21.926654114Z,"['AJAX Libraries API', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure', 'Microsoft IIS', 'Monetate', 'Tailwind CSS', 'Visual Studio', 'YouTube', 'jQuery']"
crossroadsvethospital.com,"Veterinarian in Copperas Cove, TX | Crossroads Veterinary Hospital – Your Trusted Veterinary Clinic for Pet Wellness, Surgery, Emergency Care & More. Book an Appointment Today!",,KEN,77,65380,2026-02-05T15:18:21.926833193Z,"['AJAX Libraries API', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure', 'Microsoft IIS', 'Monetate', 'Tailwind CSS', 'Visual Studio', 'jQuery']"
