domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
centuryoakstitle.us,TDECU | Your Texas Credit Union With Digital Banking,,USA,77,175385,2026-01-31T16:31:48.863143862Z,"['AdRoll', 'Alternate Protocol', 'App Store', 'Better Lead Generation Services', 'Bing Cashback', 'Bing Conversion Tracking', 'BlueKai', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'CookieYes', 'CrazyEgg', 'DoubleClick Bid Manager', 'Facebook Reseller', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google My Business', 'Google Play', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Joomla!', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Monsido', 'Nginx', 'Ntent', 'Onyx Internet', 'QUIC', 'RokNavMenu', 'SimpleNexus', 'Smart App Banner', 'TVSquared', 'The Trade Desk Direct', 'Twitter Ads', 'UTF-8', 'Ubuntu', 'VWO Engage', 'Visual Website Optimizer', 'YouTube', 'jQuery']"
williamscountysheriff.com,"Sheriff | Williams County, OH",,,62,84100,2026-01-31T14:52:48.864869491Z,"['Apture Linking Platform', 'AudioEye', 'AutoComplete', 'CivicPlus', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Material-UI', 'Microsoft Azure', 'Microsoft IIS', 'Monsido', 'QUIC', 'SMC', 'SiteW', 'Tailwind CSS', 'UTF-8', 'University or College', 'Visual Studio']"
hec.org.au,Hurstville Entertainment Centre - Home,,,40,19040,2026-01-31T11:04:38.359233334Z,"['Adobe Creative Cloud WebFonts', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Kentico Xperience', 'M247', 'Microsoft Azure', 'Microsoft IIS', 'Monsido', 'NFOrce Internet', 'Tailwind CSS', 'UTF-8', 'Visual Studio']"
hillsidecountryliving.org,"Hillside Country Living | Williams County, OH",,,62,84100,2026-01-31T05:22:48.862557856Z,"['Apture Linking Platform', 'AudioEye', 'AutoComplete', 'CivicPlus', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Material-UI', 'Microsoft Azure', 'Microsoft IIS', 'Monsido', 'QUIC', 'SMC', 'SiteW', 'Tailwind CSS', 'UTF-8', 'University or College', 'Visual Studio']"
hilltop.institute,Homepage - The Hilltop Institute,,USA,70,8504,2026-01-31T04:43:32.396180243Z,"['501c3 Status Nonprofit', 'Add to Any', 'Alternate Protocol', 'Content Delivery Network', 'CrazyEgg', 'Divi', 'DuracellTomi Google Tag Manager for WordPress', 'Elegant Themes', 'EmbedPress', 'Fastly', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Menu Icons by ThemeIsle', 'Microdata for Google Shopping', 'Monsido', 'Nginx', 'PHP', 'QUIC', 'Search and Filter Pro', 'Theme In WP', 'Toolset', 'UTF-8', 'University or College', 'WP Data Access', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
goroundabout.ca,Roundabouts - Region of Waterloo,,CAN,72,43528,2026-01-31T04:18:57.401191566Z,"['AutoComplete', 'Cludo', 'ETranslate', 'Fireblade', 'Five9', 'GTranslate', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'InitiativeS', 'Monsido', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'Share Link', 'Silverlight', 'Siteimprove', 'Thank You', 'Twitter Ads', 'UTF-8', 'University or College', 'YouTube', 'jQuery']"
localcyber.info,Lancaster and Lebanon County Cyber Education Options,,,62,17520,2026-01-31T01:34:48.886144273Z,"['Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hubspot Knowledge Base', 'Monsido', 'Twitter Ads', 'UTF-8']"
virginiachristmasvillage.com,Virginia Beach Christmas Village 2025 | Regent University,Regent University,USA,77,26529,2026-01-30T20:34:48.871945679Z,"['Alternate Protocol', 'Apache', 'Apture Linking Platform', 'Bing Cashback', 'Bing Conversion Tracking', 'CookieYes', 'Corporate Governance and Regulatory Compliance', 'CrazyEgg', 'DoubleClick Bid Manager', 'EmbedPress', 'Facebook Reseller', 'Fireblade', 'Five9', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'Monsido', 'PHP', 'Perl', 'Share Link', 'StackPath', 'SteelHouse', 'Theme In WP', 'UTF-8', 'Ubuntu', 'University or College', 'WP Rocket', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
jubileestadium.com.au,Jubilee Stadium - Home,,,62,165600,2026-01-30T15:16:48.875470909Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'HHVM', 'Kentico Xperience', 'Microsoft Azure', 'Microsoft IIS', 'Monsido', 'NFOrce Internet', 'Salesforce Experience Cloud', 'UTF-8', 'Visual Studio']"
steadfastacademy.com,Day Care & Early Childhood Education in Pasadena TX,Steadfast Academy,USA,82,63574,2026-01-30T09:50:12.759703877Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apache', 'CDN JS', 'Calendly', 'Cloudflare', 'Cloudflare CDN', 'CookieConsent', 'DAV', 'EWWW Image Optimizer', 'EmbedPress', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'Monsido', 'Oddle', 'Post Grid', 'QUIC', 'SMC', 'Tailwind CSS', 'TrustIndex', 'UTF-8', 'Vector Internet Services', 'WP Rocket', 'WordPress', 'WordPress Multisite', 'jQuery']"
