domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
board-advisory.com,Executive Compensation Consultants | Compensation Experts |,Board Advisory LLC,,67,16269,2026-05-16T22:55:20.191780835Z,"['AWS WAF Challenge', 'Advisory Board', 'Alternate Protocol', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Express', 'Google Related Website Sites', 'Microdata for Google Shopping', 'MyFonts', 'PHP', 'QUIC', 'Sucuri Cloudproxy', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
growyourgo.co.nz,"Unite your wealth | Invest, KiwiSaver, Crypto, Spend, Save, Insure—Sharesies New Zealand",,,62,226388,2026-05-16T20:14:20.003268472Z,"['App Store', 'ByteDance', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Contentful', 'DemDex', 'DoubleClick Bid Manager', 'Facebook Reseller', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Play', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'GrowthBook', 'Imgix', 'Instagram Follow Button', 'Intercom', 'Line2', 'LinkedIn Pixel', 'Mixpanel', 'MyFonts', 'Next.js', 'Ntent', 'Pleroma', 'QUIC', 'Salesforce Audience Studio', 'Smart App Banner', 'Twitter Ads', 'UTF-8', 'Vercel', 'YouTube']"
gemaqportaal.nl,GemaQ,,NLD,57,188,2026-05-16T18:02:19.995865996Z,"['Amazon', 'Aruba', 'Content Delivery Network', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google Tag Manager', 'Mastodon', 'MyFonts', 'Nginx', 'Tailwind CSS', 'UTF-8', 'eLand']"
searcys.co.uk,"Searcys Restaurants, Champagne Bars and Event Spaces",,,67,24088,2026-05-16T17:49:45.2601429Z,"['AJAX Libraries API', 'Add to Any', 'Alternate Protocol', 'AutoComplete', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'ElementUI', 'EmbedPress', 'Endis', 'Facebook CDN', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'MyFonts', 'Nginx', 'Ninja Forms', 'PHP', 'Parallels Plesk Panel', 'Pure.css', 'QUIC', 'SEVENROOMS', 'StackPath', 'Tailwind CSS', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite']"
fontazy.biz,FontaZY – Fonts and pictures by Zakhar Yaschin,,,55,53,2026-05-16T17:01:05.730565241Z,"['Alternate Protocol', 'Automattic', 'Contact Form Plugin', 'Easy Social Icons for WordPress', 'EmbedPress', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Meta Slider for WordPress', 'MyFonts', 'Nginx', 'PHP', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
kinderpadongallery.org,kinder padon gallery - Center for the Arts Crested Butte,,ZAF,77,6532,2026-05-16T14:59:19.989647117Z,"['Alternate Protocol', 'Beaver Builder Lite', 'Bloomerang', 'Content Delivery Network', 'EmbedPress', 'Express', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Gravity', 'Instagram Follow Button', 'Matomo', 'Matomo Tag Manager', 'Menu Icons by ThemeIsle', 'Microdata for Google Shopping', 'MyFonts', 'Nginx', 'PHP', 'Schema Plugin', 'StudioPress', 'The Events Calendar', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'jQuery']"
independent-stairlifts.co.uk,Stairlifts West Midlands and Worcestershire | Stairlift Suppliers | Stairlift Installers,,AUS,77,16329,2026-05-16T13:20:19.978485103Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Contact Form 7', 'Contact Form Plugin', 'EmbedPress', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'MyFonts', 'Nginx', 'PHP', 'Parallels Plesk Panel', 'Sitelinks Search Box', 'Subversion', 'Twitter Ads', 'UTF-8', 'Video Embed and Thumbnail Generator', 'WordPress', 'WordPress Multisite', 'jQuery']"
n1pay.in,N1 Pay || Naam Hi Kafi Hai,,IND,72,20340,2026-05-16T12:20:20.018696035Z,"['Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'ETranslate', 'ElementUI', 'Fireblade', 'GTranslate', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'LiteSpeed', 'MyFonts', 'PHP', 'Perl', 'QUIC', 'Tailwind CSS', 'UTF-8', 'University or College', 'jsDelivr']"
innovagency.com,Your Digital Agency Partner | Innovagency,,PRT,77,178499,2026-05-16T11:10:29.642127703Z,"['AWS WAF Challenge', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Express', 'Fastly', 'Font Awesome', 'Google Analytics', 'Google Tag Manager', 'Hubspot Knowledge Base', 'Instagram Follow Button', 'Medium', 'MyFonts', 'Salesforce Hosted', 'UTF-8']"
pchi.com,Bay Area Residential Construction; Custom Home Builder and Remodeler; PCH; Peninsula Custom Homes,,VEN,62,6849,2026-05-16T09:47:46.0402939Z,"['AJAX Libraries API', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Cisco/Arrowpoint Content Service Switch', 'Content Delivery Network', 'EmbedPress', 'Google Analytics', 'Google Cloud DNS', 'Microdata for Google Shopping', 'MyFonts', 'Nginx', 'PHP', 'Theme In WP', 'Twenty Twelve', 'UTF-8', 'WP Engine', 'WordPress', 'WordPress Multisite', 'jQuery']"
cleanmethods.xyz,Commercial Cleaning Company | Family-Owned | Clean Method,Clean Method,USA,77,20791,2026-05-16T09:44:19.969826873Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Better Lead Generation Services', 'CallRail', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Divi', 'DuracellTomi Google Tag Manager for WordPress', 'Elegant Themes', 'EmbedPress', 'Font Awesome', 'Google Analytics', 'Google Customer Reviews', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Hotjar', 'Instagram Follow Button', 'Microdata for Google Shopping', 'MyFonts', 'PHP', 'Social Warfare', 'Twitter Ads', 'UTF-8', 'WP Engine', 'WP Rocket', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'Zoho CRM', 'eLand']"
laproducedistributors.com,LA Produce Distributors,,USA,65,31044,2026-05-16T09:42:11.295038998Z,"['Alternate Protocol', 'Automattic', 'Cloudflare', 'Contact Form Plugin', 'Content Delivery Network', 'EmbedPress', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Instagram Follow Button', 'Jetpack', 'Jupiter', 'LayerSlider Responsive', 'Master Slider', 'MyFonts', 'PHP', 'Slider Revolution', 'The Fresh', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WPBakery', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery']"
soulwisdomcounseling.org,Soul Wisdom Counseling,Soul Wisdom Counseling,,55,25734,2026-05-16T08:44:20.007134638Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Aruba', 'Coming Soon Page', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'MyFonts', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand', 'jQuery']"
seabirdshop.org,Scottish Seabird Centre Online Shop,Scottish Seabird Centre,,72,3896,2026-05-16T07:29:19.983801385Z,"['Adobe Creative Cloud WebFonts', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Google My Business', 'Microdata for Google Shopping', 'MyFonts', 'Parcel', 'Shopify', 'Shopify Collabs', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
umcor.ch,Umcor,,CHE,55,53,2026-05-16T07:17:19.988694385Z,"['Alternate Protocol', 'Contact Form Plugin', 'EmbedPress', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'MyFonts', 'Nginx', 'PHP', 'Subversion', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
stowellseattle.com,Stowell Green Lake Apartments Seattle WA,,USA,75,10808,2026-05-16T06:24:45.021147742Z,"['Alternate Protocol', 'AppFolio', 'Content Delivery Network', 'EmbedPress', 'Fastly', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Microdata for Google Shopping', 'MyFonts', 'PHP', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
