domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
rapture.ws,Rapture Watch & Signs,,,52,20,2026-04-04T04:59:19.634276024Z,"['Apture Linking Platform', 'GZIP Module', 'Namecheap', 'Nginx', 'Telegram', 'UTF-8']"
admin-dashboards.com,Admin Dashboards,,,62,4060,2026-04-02T03:08:20.016281165Z,"['Alternate Protocol', 'ArvanCloud', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Fastly', 'GZIP Module', 'Ghost', 'GitHub Hosting', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Material-UI', 'Microdata for Google Shopping', 'Namecheap', 'OpenResty', 'Python', 'UTF-8', 'jsDelivr']"
confidentialcomputing.com,ConfidentialComputing.com - Strategic Business-generating Asset & Brand Available for LEASE TO OWN,,,57,8260,2026-03-31T18:47:54.776249474Z,"['Fireblade', 'LiteSpeed', 'NFOrce Internet', 'Namecheap', 'StatCounter', 'Turn']"
domainshostinganddesign.com,"Domains, Hosting And Design",,BEL,77,4169,2026-03-31T04:38:47.463586871Z,"['Apache', 'EqualWeb', 'Font Awesome', 'GoDaddy', 'InMotion Hosting', 'Namecheap', 'Oracle Cloud', 'Twitter Ads', 'UPS', 'UTF-8', 'University or College', 'Website Tonight']"
lasvegasstripshow.com,The Las Vegas Strip Show™,,USA,57,260,2026-03-29T22:05:15.265554008Z,"['Adult Content', 'Apache', 'CafePress', 'GZIP Module', 'Namecheap', 'PayPal Button', 'PayPal Form', 'Show.co', 'StatCounter', 'YouTube']"
droppedhub.com,Find Expired Domains Names | DroppedHub,,,67,844,2026-03-19T13:06:44.590357196Z,"['Beehiiv', 'Content Delivery Network', 'Headless UI', 'Namecheap', 'Next.js', 'Pleroma', 'Product Hunt', 'QUIC', 'Radix UI', 'Tailwind CSS', 'UTF-8', 'Vercel', 'YouTube', 'shadcn ui']"
allinclusivewebsitedesigners.com,"All-Inclusive Web Design Agency – Elevating Start-Ups, Authors, and Small Businesses with Stellar Websites",,,60,7672,2026-02-25T02:52:33.544197719Z,"['Alternate Protocol', 'Content Delivery Network', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Fireblade', 'GoDaddy', 'Google Cloud DNS', 'Google Font API', 'Hello Elementor', 'Instagram Follow Button', 'Jeg Elementor Kit', 'Metform Elemento', 'Namecheap', 'Nginx', 'QUIC', 'Stripe', 'UTF-8', 'Vimeo', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
domain39.com,Buy Domain 39$ - Buy Domain 39$,,BRA,87,1575,2026-02-12T18:59:51.303597775Z,"['Alternate Protocol', 'Apture Linking Platform', 'EmbedPress', 'FreeCSSTemplates', 'GZIP Module', 'Gambling Content', 'Google Adsense', 'Google Forms', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'IcoMoon', 'Lazy Load for WordPress', 'Namecheap', 'Neve', 'PHP', 'QUIC', 'TablePress', 'Telegram', 'Theme In WP', 'UTF-8', 'WP Rocket', 'WordPress', 'WordPress Multisite', 'jQuery']"
incongrue.com,Incongrue,Incongrue,FRA,77,25255,2026-02-10T12:13:12.4706363Z,"['Alternate Protocol', 'Contento', 'EmbedPress', 'LiteSpeed', 'MailChimp for WordPress', 'Microdata for Google Shopping', 'Namecheap', 'PHP', 'Page scroll to id', 'QUIC', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
kamiabit.com,kamiab it,,,45,20,2026-01-21T05:43:50.572645874Z,"['Alternate Protocol', 'Elementor', 'EmbedPress', 'GZIP Module', 'Header, Footer and Blocks for Elementor', 'Hello Elementor', 'LiteSpeed', 'Namecheap', 'PHP', 'QUIC', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
protectiid.com,Protect IID,,,52,7556,2026-01-12T05:55:35.816600195Z,"['1Password', 'Content Delivery Network', 'Fireblade', 'Gatsby JS', 'Google My Business', 'Namecheap', 'Netlify', 'Twitter Ads', 'UTF-8']"
jaisbd.com,J A IT Solution,,BGD,77,627,2025-12-19T10:11:35.627787523Z,"['Alternate Protocol', 'BootstrapMade', 'FreeCSSTemplates', 'Google Cloud DNS', 'Google Code Prettify', 'Google Font API', 'IcoMoon', 'LiteSpeed', 'Namecheap', 'QUIC', 'University or College', 'jQuery']"
fix-web.site,FIX-WEB.site can help with almost anything for your website!,FIX-WEB.SITE,,72,17034,2025-12-10T23:55:56.042802952Z,"['Adult Content', 'Alternate Protocol', 'Amazon WAF Blocked', 'Content Delivery Network', 'Content ad', 'Drupal', 'Elementor', 'EmbedPress', 'Facebook Embedded Posts', 'Fireblade', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'Namecheap', 'QUIC', 'Responsive', 'Sitelinks Search Box', 'Tailwind CSS', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'shadcn ui']"
