domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
bitahonarvar.photos,BITA HONARVAR | Photographer • Visuals Editor,,USA,82,179133,2026-02-14T20:43:20.540346951Z,"['Aruba', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'Narvar', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'Vignette OpenText', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
easton-sports.com,| Easton,,USA,72,818900,2026-02-01T00:43:13.669823958Z,"['Adobe Creative Cloud WebFonts', 'Afterpay', 'Apture Linking Platform', 'Bazaarvoice Curations', 'CQuotient', 'Cloudflare', 'Corporate Governance and Regulatory Compliance', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Klarna', 'Narvar', 'Queue It', 'Quotient', 'Salesforce Commerce Cloud', 'Salesforce Hosted', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'YouTube', 'jsDelivr']"
urbanleafs.shop,Urbanleafs® Official Site | Free Shipping on orders $37.5+,Urbanleafs,USA,82,216802,2026-01-29T18:55:48.869590115Z,"['AB Tasty', 'Adobe Creative Cloud WebFonts', 'Afterpay', 'Amazon', 'Amazon CloudFront', 'Apture Linking Platform', 'Attentive', 'Azure Edge', 'Back in Stock', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Contentstack', 'ElementUI', 'Fast Simon', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Related Website Sites', 'Google Tag Manager', 'Gorgias', 'IcoMoon', 'Instagram Follow Button', 'Investor Relations', 'Microdata for Google Shopping', 'Microsoft Azure Verified CDN', 'Narvar', 'Oddle', 'OneTrust Domain Verification', 'PayPal', 'Perl', 'QUIC', 'Riskified', 'Shopify', 'Shopify Collabs', 'Shopify Payments', 'ShoppingGives', 'SiteW', 'Svelte', 'Swell Rewards', 'Swym Wishlist Plus', 'Tailwind CSS', 'Thank You', 'To Top', 'UTF-8', 'University or College', 'Yotpo', 'YouTube', 'hCaptcha', 'jQuery', 'reCAPTCHA']"
gibsonguitarmod.com,Gibson,Gibson,GBR,65,114389,2026-01-25T16:16:18.468346501Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon CloudFront', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Aruba', 'Azion', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'Envoy', 'Express', 'Fireblade', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Instagram Follow Button', 'Lucky Orange', 'Microdata for Google Shopping', 'Mixpanel', 'Narvar', 'Newsletter for Wordpress', 'OneTrust Domain Verification', 'QUIC', 'RM Education', 'Shopify', 'Shopify Collabs', 'Shopify Payments', 'Swell Rewards', 'Tailwind CSS', 'Thank You', 'UTF-8', 'Vello', 'YouTube', 'eLand', 'hCaptcha', 'monday.com', 'reCAPTCHA']"
eloncat.net,TOKEK88> Demo Slot Pg Soft Mahjong Ways Scatter Hitam Terupdate!,,CHE,82,465419,2026-01-22T19:03:32.812583978Z,"['Akamai Global Host', 'Alternate Protocol', 'Apple Pay JS', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Coming Soon Page', 'DAV', 'Digital Ocean Spaces', 'Express', 'Financial Services Guide', 'Fireblade', 'Fittingbox', 'GitHub Hosting', 'Google My Business', 'ImageKit.io', 'Instagram Follow Button', 'Kitco', 'Line2', 'Microdata for Google Shopping', 'Narvar', 'Nuxt.js', 'On The Map', 'Parcel', 'QUIC', 'SMC', 'Salesforce Hosted', 'Subversion', 'Tealium', 'Thank You', 'ThreatMetrix', 'Twitter Ads', 'YouTube', 'eLand']"
lipault.ie,Lipault | The Official Online Luggage Store,,DEU,77,897736,2026-01-18T20:11:06.142645622Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Bazaarvoice', 'Bazaarvoice Curations', 'CQuotient', 'Cloudflare', 'Coming Soon Page', 'Express', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'InitiativeS', 'Instagram Follow Button', 'Klarna', 'Microdata for Google Shopping', 'Narvar', 'ON24', 'PartnerPage', 'Quotient', 'Salesforce Commerce Cloud', 'Salesforce Hosted', 'Sitelinks Search Box', 'Thank You', 'UTF-8', 'WonderPush', 'WordPress SEO Structured Data Schema Plugin', 'arsys.es', 'eLand']"
clarkscanada.com,"Clarks Shoes & Footwear | Sandals, Shoes, Boots & Accessories",,USA,87,728926,2026-01-13T06:00:57.810548198Z,"['Adobe Marketing Cloud', 'Adyen', 'Agilone', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon WAF Blocked', 'AppNexus Direct', 'Apture Linking Platform', 'Aruba', 'Attentive', 'Azure Edge', 'BidSwitch Direct', 'Bing Cashback', 'ByteDance', 'CM Commerce', 'Checkout.com', 'CloudFront', 'Cloudflare', 'Cloudflare Web Analytics', 'Cloudinary', 'Content Delivery Network', 'Content Square', 'Criteo', 'Daily Deals', 'DemDex', 'DoubleClick Bid Manager', 'Express', 'Flourish', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Improve Digital Direct', 'Instagram Follow Button', 'IponWeb BidSwitch', 'JotForm', 'Klarna', 'Line2', 'Media.net', 'Media.net Reseller', 'Mediavine Publisher', 'Microsoft Azure', 'Microsoft Clarity', 'Monetate', 'Narvar', 'New Relic', 'Next.js', 'Ntent', 'OneTrust Domain Verification', 'Outbrain Direct', 'Parcel', 'PayPal Adaptive Payments', 'PepperJam Network', 'Pleroma', 'Pubmatic', 'QUIC', 'RM Education', 'Salesforce Audience Studio', 'Shipping Rates Calculator', 'SmartAdServer Direct', 'Smooch', 'Styled Components', 'Taboola Direct', 'Taboola Reseller', 'Tailwind CSS', 'Triple Lift Direct', 'Twitter Ads', 'UTF-8', 'UpSellit', 'Vine Embed', 'Yieldlab', 'Yieldlab Direct', 'Yieldmo Direct', 'YouTube', 'Zendesk Embeddables', 'eLand', 'iGoDigital']"
caddislife.com,"Caddis Eyewear | Prescription Glasses, Readers & Sunglasses",Caddis ,GBR,92,209588,2025-12-30T00:18:55.446613966Z,"['Amazon WAF Blocked', 'Apture Linking Platform', 'Baidu Cloud', 'Black Crow AI', 'Cloudflare', 'Cloudflare CDN', 'Create React App', 'DAV', 'Duoban', 'Ethy', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'Fittingbox', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Related Website Sites', 'Google Tag Manager', 'Gorgias', 'Hootsuite Badge', 'IcoMoon', 'Instagram Follow Button', 'Klarna On Site Messaging', 'Klaviyo', 'Microdata for Google Shopping', 'NFOrce Internet', 'Narvar', 'Octane AI', 'Outbrain Direct', 'PHP', 'Perl', 'Python', 'SMC', 'Shopify', 'Shopify Collabs', 'Subversion', 'Swell Rewards', 'Tailwind CSS', 'Thumbor', 'UTF-8', 'Usablenet', 'Yandex Hosting', 'Yotpo', 'YouTube', 'hCaptcha', 'reCAPTCHA', 'shadcn ui']"
unchartedmarketing.co,Uncharted Marketing | SEO & Content Services,,,67,169388,2025-12-29T08:13:38.325950266Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DC74', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Gusto', 'Microdata for Google Shopping', 'NFOrce Internet', 'Narvar', 'PWA', 'QUIC', 'SMC', 'SiteW', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom']"
zimmermann.com,ZIMMERMANN | Official Website,,GBR,82,483115,2025-12-29T01:13:46.222930799Z,"['About Cookies', 'Adobe Marketing Cloud', 'Advertising.com', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Aruba', 'BLR', 'Bing Cashback', 'Bing Conversion Tracking', 'ByteDance', 'CloudFront', 'Coming Soon Page', 'Content Delivery Network', 'CrazyEgg', 'DemDex', 'Didomi', 'DoubleClick Bid Manager', 'Express', 'Facebook Reseller', 'Fastly', 'Fireblade', 'Giropay', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Magento', 'Magento Enterprise', 'Microdata for Google Shopping', 'Microsoft Clarity', 'NFOrce Internet', 'Narvar', 'Network Advertising Initiative', 'New Relic', 'Optimizely Recommendations', 'Pagekit', 'Parcel', 'PayPal Adaptive Payments', 'Perl', 'Rakuten Affiliate', 'ScarabResearch', 'SearchSpring', 'Share Link', 'Storyblocks', 'Tumblr', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'YouTube', 'accessiBe', 'eLand', 'reCAPTCHA']"
