domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
beckyjprice.com,Meet Becky Price,,USA,87,6499,2026-06-04T19:18:34.745287994Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon WAF Blocked', 'Apache', 'Apture Linking Platform', 'AutoComplete', 'CloudFront', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Global Privacy Control', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nationwide Mortgage Licensing System and Registry', 'New Relic', 'PHP', 'QUIC', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'jQuery', 'jsDelivr']"
youreacloser.com,You're a Closer | New American Funding,,USA,77,150175,2026-06-04T17:53:21.751968844Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Accordion Blocks', 'Amazon Associates Affiliate Shop', 'Apture Linking Platform', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'DoubleClick Bid Manager', 'Episerver Search Navigation', 'Express', 'Fireblade', 'Font Awesome', 'FormSubmit', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google My Business', 'Google Tag Manager', 'Homes.com CMS', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nationwide Mortgage Licensing System and Registry', 'New Relic', 'Nginx', 'Optimizely Recommendations', 'Perl', 'QUIC', 'Submittable', 'The Trade Desk Direct', 'UTF-8', 'University or College', 'Vimeo', 'YouTube', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
24thave.com,"5239 R 24th Ave N, Saint Petersburg, FL, 33710 | Rela",,TON,60,7659,2026-06-04T17:44:16.935628425Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon WAF Blocked', 'Apture Linking Platform', 'CloudFront', 'Content Delivery Network', 'Fireblade', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Microdata for Google Shopping', 'New Relic', 'Nginx', 'Plausible Analytics', 'Subversion', 'UTF-8']"
grandiose.group,"Grandiose – Premium, one-of-a-kind food and beverage concept in the UAE",,,55,44437,2026-06-04T17:26:19.969424076Z,"['Amazon WAF Blocked', 'App Store', 'Apture Linking Platform', 'ByteDance', 'Content Delivery Network', 'Criteo', 'Engage', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'Font Awesome', 'GetResponse', 'GitHub Hosting', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Instagram Follow Button', 'Klevu', 'Magento', 'Magento Enterprise', 'MoEngage', 'New Relic', 'PHP', 'QUIC', 'TikTok Conversion Tracking Pixel', 'Twitter Ads', 'UTF-8', 'University or College', 'Unix', 'Webkul', 'YouTube', 'Zendesk Guide', 'reCAPTCHA']"
bookviewnow.org,Home - PBS Books,PBS Books,GBR,82,40449,2026-06-04T17:16:01.001326394Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'EmbedPress', 'Fastly', 'Font Awesome', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Monster', 'New Relic', 'Nginx', 'OptinMonster', 'PHP', 'Pantheon', 'QUIC', 'RM Education', 'The Events Calendar', 'Theme In WP', 'ThemeFusion', 'Twitter Ads', 'UTF-8', 'WP jQuery Lightbox', 'WhatsApp Sharing', 'WordPress', 'WordPress Multisite', 'YouTube', 'YouTube Advanced by Embed Plus', 'jQuery']"
fungamezcontent.com,Fungamez,,,35,10384,2026-06-04T16:59:05.520517568Z,"['Adult Content', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content ad', 'Contento', 'DAV', 'Express', 'FormSubmit', 'GetResponse', 'GitHub Hosting', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Harbor', 'Hotjar', 'IcoMoon', 'Interchange', 'Line2', 'Material-UI', 'New Relic', 'Ntent', 'QUIC', 'Tailwind CSS', 'UTF-8', 'eLand', 'jsDelivr']"
merchant1mfg.com,Paint Booths for Sale,,USA,77,12375,2026-06-04T16:56:19.968553079Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Divi', 'Elegant Themes', 'EmbedPress', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Jetpack', 'Microdata for Google Shopping', 'New Relic', 'Nginx', 'PHP', 'Pagekit', 'Sitelinks Search Box', 'UTF-8', 'Vector Internet Services', 'WP Rocket', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats']"
twincitiespropertysearch.com,Home Page,,GBR,67,43040,2026-06-04T16:52:26.701097451Z,"['Amazon WAF Blocked', 'Apture Linking Platform', 'CINC', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google Tag Manager', 'IcoMoon', 'Mixpanel', 'Neighborhoods', 'New Relic', 'QUIC', 'SocialSignIn', 'Tailwind CSS', 'UTF-8', 'eLand']"
cepatexpress.com,CEPATEXPRESS,,,30,31378,2026-06-04T16:41:58.561230296Z,"['Alternate Protocol', 'Amazon S3 CDN', 'Amazon WAF Blocked', 'Aruba', 'Content Delivery Network', 'DoubleClick Bid Manager', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Recommendations AI', 'Google Tag Manager', 'New Relic', 'Next.js', 'Perl', 'Pleroma', 'QUIC', 'Share Link', 'Storyblocks', 'Subversion', 'ThreatMetrix', 'UTF-8', 'eLand']"
petalsnbloomsflower.com,Clearwater Florist | Flower Delivery by Petals & Blooms Flowers,,NZL,77,39142,2026-06-04T16:35:19.971176201Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon WAF Blocked', 'Apache', 'Apture Linking Platform', 'CloudFront', 'Content Delivery Network', 'Express', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Harbor', 'Microdata for Google Shopping', 'Neighborhoods', 'New Relic', 'OpenSSL', 'QUIC', 'Tailwind CSS', 'Thank You', 'The Fresh', 'UTF-8', 'Ubuntu']"
thebabyspalace.ca,The Baby's Palace | Baby Store | Cribs Strollers Car Seats and More,,,57,3408,2026-06-04T16:32:11.624952103Z,"['AJAX Libraries API', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'Amazon WAF Blocked', 'Apache', 'Apture Linking Platform', 'AutoComplete', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Express', 'Fastly', 'Font Awesome', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'New Relic', 'Onyx Internet', 'Perl', 'QUIC', 'Storyblocks', 'Stripe', 'UTF-8', 'jQuery', 'reCAPTCHA']"
taylorroadhouse.ca,Taylor Roadhouse,,CAN,67,18965,2026-06-04T16:19:32.634854495Z,"['Amazon S3 CDN', 'CoreUI', 'Fastly CDN', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Homes.com CMS', 'New Relic', 'PropertyBase', 'QUIC', 'Storyblocks', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'jQuery Pin It Button for Images', 'reCAPTCHA']"
