domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
imanicounselingcenter.com,Imani Counseling Center Call: 316-207-4850,,USA,77,37304,2026-06-02T19:13:33.813802372Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'HighLevel', 'Ntent', 'Nuxt.js', 'Placehold IT', 'UTF-8', 'YouTube']"
takanoken.com,Ken Takano,,,50,7963,2026-06-02T19:03:18.842230566Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Instagram Follow Button', 'Nuxt.js', 'Thank You', 'UTF-8', 'University or College']"
epoxielite.com,Epoxielite,,USA,65,37440,2026-06-02T19:03:18.831261085Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Instagram Follow Button', 'Nuxt.js', 'Phew', 'Tailwind CSS', 'Thank You', 'UTF-8', 'Vector Internet Services', 'eLand', 'reCAPTCHA']"
aivoicechat.co,Turn Website Visitors Into Leads | AI Voice Chat,,,67,18740,2026-06-02T18:59:46.762957675Z,"['Alternate Protocol', 'Apture Linking Platform', 'Authorize.net', 'Better Lead Generation Services', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Tag Manager', 'Nuxt.js', 'QUIC', 'UTF-8']"
galvesmash.com,Galvesmash: Frontend developer,,,57,19940,2026-06-02T18:59:46.760551643Z,"['Alternate Protocol', 'Apache', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'Dialpad', 'Fastly', 'Fireblade', 'FreeBSD', 'Gambling Content', 'GitHub Hosting', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Nuxt.js', 'Python', 'Salesforce Hosted', 'UTF-8', 'Vector Internet Services', 'Waveform Technology', 'YouTube', 'itch.io', 'symfony PHP Framework']"
kpccreativeconcepts.com,KPC Creative Concepts Marketing Agency,,USA,77,33740,2026-06-02T18:54:32.198436118Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Authorize.net', 'Better Lead Generation Services', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Ntent', 'Nuxt.js', 'QUIC', 'Thank You', 'UTF-8', 'shadcn ui']"
akashjain.com,Our Team,,USA,75,19070,2026-06-02T18:41:53.462003849Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'Investor Relations', 'No-Q', 'Nuxt.js', 'Twitter Ads', 'UTF-8', 'University or College', 'WordPress', 'YouTube']"
thelinksuite.com,The Link Suite - Olivia Banks,,GBR,77,10160,2026-06-02T18:38:25.312742046Z,"['Alternate Protocol', 'Amazon Widgets', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Express', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Instagram Follow Button', 'Nuxt.js', 'Tailwind CSS', 'UTF-8', 'Vector Internet Services', 'WhatsApp Sharing', 'YouTube', 'Zoom Video Conferencing', 'reCAPTCHA', 'shadcn ui']"
harrisonhubsocials.com,HarrisonHub Socials | Social Media Manager & Virtual Assistant,,,77,18932,2026-06-02T18:32:24.228734561Z,"['Alternate Protocol', 'Authorize.net', 'Calendly', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'CookieConsent', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Instagram Follow Button', 'Nuxt.js', 'Share Link', 'Thank You', 'UTF-8', 'jsDelivr']"
aiwars.co,AI System Turns Leads Into Customers,,,67,43380,2026-06-02T18:32:24.223166157Z,"['Alternate Protocol', 'Aruba', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Express', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'Perl', 'QUIC', 'RainMaker AI', 'Tailwind CSS', 'Thank You', 'UTF-8', 'Vector Internet Services', 'Vercel', 'eLand', 'reCAPTCHA']"
viddy.video,Viddy - Videoproduktionstjeneste | Nem og professionel videoproduktion,,DNK,72,16540,2026-06-02T18:32:24.220603174Z,"['Cloudflare', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Fireblade', 'GitHub Hosting', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Maps', 'Heroku', 'Instagram Follow Button', 'Nuxt.js', 'QUIC', 'UTF-8', 'jsDelivr']"
luxemaintenancedservices.com,My Link in Bio,,,35,354,2026-06-02T18:32:24.211293293Z,"['Alternate Protocol', 'BrandCrowd Website Builder', 'CoreUI', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Nuxt.js', 'Perl', 'QUIC', 'Twitter Ads', 'UTF-8', 'Unsplash']"
101southmainstreet.com,"6,031 SF Commercial Space for Lease | 101 S Main St Phoenixville",,,77,24940,2026-06-02T18:32:24.201565805Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Nuxt.js', 'Tailwind CSS', 'UTF-8', 'Vector Internet Services', 'reCAPTCHA']"
mybaitbucket.com,"Own My Ideas | Protect, License & Profit From Your Ideas",,,67,18740,2026-06-02T18:22:19.290418542Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'Pixabay', 'QUIC', 'UTF-8', 'YouTube']"
sebastianswoodworking.com,Sebastian,,,72,20240,2026-06-02T18:22:19.287621588Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'NFOrce Internet', 'Nuxt.js', 'Thank You', 'UTF-8']"
italiancharme.com,Italian Charme Properties,,ITA,67,15240,2026-06-02T18:22:19.28316029Z,"['Apture Linking Platform', 'Aruba', 'Bulma', 'Fireblade', 'GitHub Hosting', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Nuxt.js', 'UTF-8', 'eLand', 'jsDelivr']"
lukebradfordcarpentry.co.uk,Luke Bradford,,,35,402,2026-06-02T18:22:19.274556942Z,"['Alternate Protocol', 'BrandCrowd Website Builder', 'CoreUI', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Nuxt.js', 'Perl', 'QUIC', 'Raygun', 'UTF-8', 'Unsplash']"
preneedpremier.com,Bootstrap Elegant Accordion Widget,,USA,70,19169,2026-06-02T18:14:49.808782267Z,"['Alternate Protocol', 'Authorize.net', 'Cisco/Arrowpoint Content Service Switch', 'Content Delivery Network', 'Font Awesome', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Material Design Icons', 'No-Q', 'Nuxt.js', 'Perl', 'RM Education', 'StackPath', 'Twitter Ads', 'UTF-8', 'YouTube', 'jsDelivr']"
bjsrestoreandremodelingllc.com,B&J's Restore and Remodeling LLC,,,50,354,2026-06-02T18:14:49.806231656Z,"['Alternate Protocol', 'Better Lead Generation Services', 'BrandCrowd Website Builder', 'CoreUI', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Nuxt.js', 'Perl', 'QUIC', 'UTF-8', 'Unsplash']"
scaleautomagic.com,Words Sounds Visuals,,,72,18779,2026-06-02T18:14:49.80217105Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Coming Soon Page', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'UTF-8']"
friggmarketing.com,Frigg Marketing | PR & Digital Strategy with Heart,FRIGG PR & Marketing,USA,75,38540,2026-06-02T18:10:07.699480872Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Authorize.net', 'Baidu Cloud', 'Bunny Fonts', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fastly', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nuxt.js', 'Sitelinks Search Box', 'Thank You', 'Twitter Ads', 'UTF-8', 'YouTube', 'shadcn ui']"
