domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
salamatire.sa,Official Retailer of Dunlop Tires in Saudi Arabia - Salama Tire Center,,PHL,72,3535,2026-04-28T21:01:45.979744068Z,"['AJAX Libraries API', 'Apache', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'OneSignal', 'QUIC', 'Slider Revolution', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'YouTube', 'jQuery', 'reCAPTCHA']"
jivansaar.com,"Jivansaar – Self Improvement, Digital Skills & Career Blogs",,,67,17875,2026-04-28T20:59:20.010231151Z,"['Alternate Protocol', 'Baidu Cloud', 'Cloudflare', 'DAV', 'EmbedPress', 'GDPR Consent Management Platform', 'Gambling Content', 'GeneratePress Company', 'GitHub Hosting', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'LiteSpeed', 'Media.net', 'Microdata for Google Shopping', 'OneSignal', 'Onyx Internet', 'PHP', 'Perl', 'QUIC', 'Site Kit', 'Sitelinks Search Box', 'Smart Slider 3', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WPForms', 'WordPress', 'WordPress Multisite', 'Yandex Hosting', 'eLand', 'jQuery']"
tessera4x4.us,"4x4 Auto Accessories| Tessera4x4 accessories | tessera4x4.com - Premium 4x4 accessories (by Tessera4x4 accessories) for pickup trucks, jeep, suv: Aluminum roller lid shutter, roll top covers, retractable, tonneau covers, roll bars, handrails, side steps & bars. | tessera4x4.com",,USA,65,47017,2026-04-28T20:53:19.992849447Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon CloudFront', 'Amazon WAF Blocked', 'AutoComplete', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'Content ad', 'DuracellTomi Google Tag Manager for WordPress', 'ElasticPress', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Font Awesome', 'Formidable Pro Form', 'Genesis Blocks', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Kitco', 'Microdata for Google Shopping', 'OneSignal', 'Otter Blocks', 'PHP', 'PixelYourSite', 'Schema Plugin', 'Site Kit', 'Slider Revolution', 'Tailwind CSS', 'Tawk', 'Theme In WP', 'Twenty Twenty-One', 'Twitter Ads', 'UTF-8', 'Vimeo', 'WP Engine', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
coachchic.com,HOME |,,GBR,72,34577,2026-04-28T20:35:20.009103873Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Beaver Builder Lite', 'CM Commerce', 'Compact WP Audio Player', 'Contento', 'Cookie Accept', 'Cookie Notice', 'ETranslate', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'GTranslate', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Ntent', 'OneSignal', 'OptiMonk', 'PHP', 'QUIC', 'Sign In With Google', 'Simple Membership', 'Site Kit', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
newsvani.in,News Vani,News Vani,,55,7632,2026-04-28T20:34:10.475739795Z,"['Alternate Protocol', 'Contact Form Plugin', 'Content Delivery Network', 'EmbedPress', 'Fireblade', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'Newsmag', 'Newspaper', 'OneSignal', 'PHP', 'QUIC', 'Site Kit', 'Twitter Ads', 'UTF-8', 'University or College', 'WPBakery', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'tagDiv Cloud Library']"
congenitalhi.org,Congenital Hyperinsulinism International: HI advocacy and support,Congenital Hyperinsulinism International,USA,82,17899,2026-04-28T20:08:19.978398221Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Add to Any', 'Alternate Protocol', 'Charity Navigator', 'Cloudflare', 'Contact Form Plugin', 'Content Delivery Network', 'CookieYes', 'DAV', 'EmbedPress', 'GeneratePress Company', 'GoDaddy', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Lightweight Grid Columns', 'Meta Slider for WordPress', 'Microdata for Google Shopping', 'MonsterInsights', 'OneSignal', 'PHP', 'Slide Anything', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
brpaper.com,Download PYQ – Previous Year Question Papers for PTU BFUHS PSBTE PU Diploma CBSE PSEB GTU HPTSB MDU Distance Education | BRpaper.com,BRpaper,IND,87,36888,2026-04-28T19:58:32.394400424Z,"['AWS WAF Challenge', 'Accelerated Mobile Pages', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'EverWeb', 'Facebook Reseller', 'Google Adsense', 'Google Analytics', 'Google Funding Choices', 'Google Matched Content', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'OneSignal', 'PHP', 'Snowplow', 'Tailwind CSS', 'UTF-8', 'University or College', 'Web Stories', 'YouTube', 'jsDelivr']"
questhotelcebu.com,Quest Hotel Cebu,,PHL,67,6456,2026-04-28T19:38:19.980163575Z,"['Apache', 'AutoComplete', 'Azion', 'Book Direct', 'Corporate Governance and Regulatory Compliance', 'DAV', 'Drupal', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google My Business', 'IcoMoon', 'Instagram Follow Button', 'OneSignal', 'PHP', 'QUIC', 'Quicktext', 'Sojern', 'Subversion', 'Tailwind CSS', 'UTF-8', 'jsDelivr']"
geniusvas.com,Geniusvas For Sloutions,,,67,40348,2026-04-28T19:09:24.528086555Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'ElementUI', 'GetResponse', 'Google Cloud DNS', 'Google My Business', 'Google Related Website Sites', 'IcoMoon', 'LiteSpeed', 'M247', 'OneSignal', 'PHP', 'QUIC', 'Tawk', 'UTF-8', 'YouTube', 'jQuery', 'reCAPTCHA']"
pureplaycapital.com,PurePlay Capital – We build pure Indices. We build better financial mouse traps.,,USA,70,4737,2026-04-28T18:14:20.002819335Z,"['Alternate Protocol', 'Apture Linking Platform', 'Contact Form Plugin', 'Content Delivery Network', 'EmbedPress', 'Font Awesome', 'Google Cloud DNS', 'Google Font API', 'NFOrce Internet', 'Nginx', 'OneSignal', 'PHP', 'Placehold IT', 'Slider Revolution', 'Theme In WP', 'ThemeFusion', 'UTF-8', 'University or College', 'WP Engine', 'WP jQuery Lightbox', 'WordPress', 'WordPress Multisite', 'jQuery']"
techbydevansh.com,"Tech Tutorials, Tech News And AI Tools | TechByDevansh",,,72,20719,2026-04-28T18:14:19.994696642Z,"['AWS WAF Challenge', 'Accelerated Mobile Pages', 'Alternate Protocol', 'Ametys', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'EmbedPress', 'GeneratePress Company', 'Google', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Investor Relations', 'Line2', 'LiteSpeed', 'Microdata for Google Shopping', 'OneSignal', 'PHP', 'Python', 'QUIC', 'QUIC.cloud', 'Sitelinks Search Box', 'Twitter Ads', 'UTF-8', 'Web Stories', 'Web Stories for WordPress', 'WordPress', 'WordPress Multisite']"
blueprintxglobal.com,Home,,,50,7500,2026-04-28T17:59:20.003751493Z,"['Amazon WAF Blocked', 'Fireblade', 'Instagram Follow Button', 'Microdata for Google Shopping', 'OneSignal', 'PHP', 'PWA', 'Schema Plugin', 'Tailwind CSS', 'Telegram', 'UTF-8', 'YouTube', 'jsDelivr']"
climatechangedispatch.com,Home - Climate Change Dispatch,Climate Change Dispatch,USA,82,51117,2026-04-28T17:59:19.98169052Z,"['AWS WAF Challenge', 'Adult Content', 'Alternate Protocol', 'Amazon WAF Blocked', 'Anti-spam for WordPress', 'Apture Linking Platform', 'Automattic', 'BLR', 'Baidu Cloud', 'CleanTalk Spam Protect', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'EmbedPress', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'JNews', 'Jegtheme', 'Jetpack', 'Jetpack Site Accelerator', 'Microdata for Google Shopping', 'OneSignal', 'PHP', 'PayPal Button', 'PayPal Form', 'Recent Posts Widget With Thumbnails', 'Sitelinks Search Box', 'Theme In WP', 'Tumblr', 'Twitter Ads', 'UTF-8', 'WPBakery', 'WPForms', 'Widget Options', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'Yandex Hosting', 'jQuery']"
simpleprogrammer.com,Home - Simple Programmer,,,65,5713,2026-04-28T17:32:20.000978913Z,"['Alternate Protocol', 'Content Delivery Network', 'Drip', 'EmbedPress', 'Free Call', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Gutenberg Blocks by Kadence Blocks', 'Kadence WP', 'Microdata for Google Shopping', 'Nginx', 'OneSignal', 'PHP', 'Python', 'Theme In WP', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite']"
