domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
thecarversreserve.com,"The Carver's Reserve | Hazleton, PA",The Carvers Reserve,,72,40485,2026-09-12T12:19:47.716958489Z,"['Alternate Protocol', 'Amazon', 'Amazon S3 CDN', 'Cloudflare', 'CoBlocks', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Fireblade', 'GoDaddy', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'OpenTable', 'PHP', 'Storyblocks', 'Theme In WP', 'UTF-8', 'Upserve', 'Wangsu', 'WordPress', 'WordPress Multisite', 'jQuery']"
baithak.us,Baithak – Indian Restaurant in Dublin CA | Kebabs & Curries,Baithak,IRL,77,7225,2026-09-12T10:43:09.493470971Z,"['Alternate Protocol', 'Call to Visit', 'Contact Form Plugin', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Hello Elementor', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'OpenTable', 'PHP', 'Site Kit', 'Sitelinks Search Box', 'Table Addons for Elementor', 'Theme In WP', 'UTF-8', 'WonderPush', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
anydayinmiami.com,"Anyday | Tapas & Cocktails in Boca Raton, FL",,,65,84643,2026-09-12T08:40:06.840451722Z,"['Adult Content', 'Aruba', 'Express', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'OpenTable', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
treviglenside.com,"Italian restaurant and Winery in Glenside, PA",,USA,77,25977,2026-09-12T06:14:56.667451263Z,"['ElementUI', 'Fastly', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'M247', 'Microsoft Authentication Library for JavaScript', 'OpenTable', 'Tailwind CSS', 'UTF-8', 'WP Job Manager', 'jQuery']"
akinomnom.com,"Aki Nom Nom Sushi & Ramen | Philadelphia, PA",,USA,70,2990,2026-09-12T05:52:52.14152608Z,"['Caviar', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'GrubHub', 'Instagram Follow Button', 'Nginx', 'OpenTable', 'UTF-8']"
vespaitaliankitchen.com,Vespa Italian Kitchen & Bar – Italian Cuisine,,PER,65,4717,2026-09-12T05:31:07.437154632Z,"['Alternate Protocol', 'Apache', 'Call to Visit', 'Contact Form Plugin', 'ContentBox', 'EmbedPress', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'MailChimp', 'OpenTable', 'PHP', 'Slider Revolution', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WPBakery', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'Yelp Badge', 'YouTube', 'ezCater', 'jQuery']"
thealobar.com,Alobar,,CAN,50,651,2026-09-12T05:19:01.165320867Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Apache', 'EmbedPress', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'OpenTable', 'PHP', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery', 'jsDelivr', 'shadcn ui']"
steinlager.com,Homepage - Steinlager,Steinlager,JPN,82,137972,2026-09-12T04:56:51.517957363Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Baidu Cloud', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Design My Night', 'DoubleClick Bid Manager', 'Elementor', 'EmbedPress', 'Facebook Reseller', 'FareHarbor', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Harbor', 'Hello Elementor', 'Instagram Follow Button', 'Microdata for Google Shopping', 'MyGuestlist', 'NFOrce Internet', 'OpenTable', 'PHP', 'Pusher', 'SEVENROOMS', 'Shopify', 'Sirv', 'Tealium', 'The Fork', 'The Trade Desk Direct', 'Theme In WP', 'Tripleseat', 'UTF-8', 'Vercel', 'WP Engine', 'WP Google Maps', 'WordPress', 'WordPress Multisite', 'Yahoo Image CDN', 'Yahoo Web Analytics', 'Yandex Hosting', 'YouTube', 'jQuery']"
fuchiwestford.com,Fuchi - Asian Restaurant | Online Order | Westford | MA,,,62,196255,2026-09-12T03:20:07.479131603Z,"['Alternate Protocol', 'Amazon', 'AudioEye', 'Cloudflare', 'Cloudflare CDN', 'Divi', 'DoubleClick Bid Manager', 'Elegant Themes', 'EmbedPress', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'OpenTable', 'PHP', 'Resy', 'Salesforce Hosted', 'Storyblocks', 'Tailwind CSS', 'The Fresh', 'Theme In WP', 'Twitter Ads', 'W3 Total Cache', 'Way', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'Yelp Badge', 'YouTube', 'jQuery', 'jsDelivr']"
theebenezerplymouth.com,The Ebenezer | Discover Fine Spirits – Book Now,,GBR,77,87651,2026-09-12T02:00:57.952773603Z,"['Adobe Creative Cloud WebFonts', 'Aruba', 'Express', 'GZIP Module', 'Google My Business', 'IcoMoon', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Metricool', 'Microdata for Google Shopping', 'OpenTable', 'QUIC', 'SiteW', 'Squarespace', 'Toast POS', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
