domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
augmentronconsultancy.com,"Augmentron Consultancy | Your Journey, Our Expertise",,IND,77,24977,2026-02-04T19:50:25.547108334Z,"['BLR', 'BunnyCDN General', 'Coming Soon Page', 'Commoninja', 'Content Delivery Network', 'CookieConsent', 'Corporate Governance and Regulatory Compliance', 'Discord', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Customer Reviews', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Linktree', 'Medium', 'Microdata for Google Shopping', 'Ntent', 'OptiMonk', 'POWr', 'PWA', 'PayPal Adaptive Payments', 'Prospective', 'Python', 'Sitelinks Search Box', 'Tailwind CSS', 'Telegram', 'Trustpilot Reviews for WordPress', 'Tumblr', 'UTF-8', 'University or College', 'YouTube', 'eLand']"
infant-formula-nutrition.com,Home - Novel Ingredients for Infant Formula & Nutrition Summit,,GBR,82,77037,2026-02-04T06:52:48.888155606Z,"['Alibaba Cloud CDN', 'Alternate Protocol', 'Apture Linking Platform', 'Beaver Builder Lite', 'Bizible', 'Content Delivery Network', 'Contento', 'Cookie Accept', 'Cookie Notice', 'EmbedPress', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'LiteSpeed', 'Max Mega Menu Pro', 'Microdata for Google Shopping', 'OptiMonk', 'PHP', 'QUIC', 'Schema Plugin', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WP PageNavi', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
bikebooom.com,Bike Boom! - new & used bike Shop + Repairs,,GBR,77,23929,2026-02-04T06:44:01.659818273Z,"['ASP.NET Core', 'Adobe Creative Cloud WebFonts', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Azure Edge', 'Bing Cashback', 'CDN JS', 'Calendly', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'DoubleClick Bid Manager', 'Ecwid Ecommerce Shopping Cart', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Klarna', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'Microsoft Azure Verified CDN', 'Microsoft Clarity', 'OptiMonk', 'PWA', 'ReviewsOnMyWebsite', 'Shifter', 'Sitelinks Search Box', 'Trustmary', 'Trustpilot Reviews for WordPress', 'Twitter Ads', 'UTF-8', 'Vagaro', 'YouTube', 'jQuery', 'jsDelivr', 'taggbox']"
tracyprinting.com,Tracy Printing Inc.,,USA,60,664,2026-02-04T03:49:48.868207021Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Better Lead Generation Services', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Line2', 'Microdata for Google Shopping', 'OptiMonk', 'QUIC', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
kansaiplascon.co.ke,"Plascon Paint - Decorative, Industrial & Automotive Paint",Plascon,,72,28830,2026-02-04T00:35:20.281445966Z,"['Adult Content', 'Alibaba Cloud CDN', 'Alternate Protocol', 'Apache', 'Content Delivery Network', 'DAV', 'DuracellTomi Google Tag Manager for WordPress', 'Elementor', 'EmbedPress', 'Ethy', 'Express', 'Facebook Reseller', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'HappyAddons', 'Instagram Follow Button', 'JetElements', 'Lazy Load for WordPress', 'Make Column Clickable Elementor', 'Microdata for Google Shopping', 'Onyx Internet', 'OptiMonk', 'PHP', 'QUIC', 'Search and Filter Pro', 'Shoptimizer', 'Silverlight', 'Sitelinks Search Box', 'Smart Slider 3', 'Theme In WP', 'To Top', 'Twitter Ads', 'UTF-8', 'Vello', 'Vue.js', 'WPForms', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery', 'jsDelivr']"
puurleguum.be,Bioboerderij in Heusden-zolder | Jouw lokale hoevewinkel,,,77,186918,2026-02-03T20:38:52.887952862Z,"['AAPT', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'BlankSlate', 'Contento', 'CookieYes', 'DAV', 'EmbedPress', 'Financial Services Guide', 'GZIP Module', 'Google', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Idaq', 'Instagram Follow Button', 'K2F', 'KVH', 'Lazy Load for WordPress', 'Nginx', 'No-Q', 'ON24', 'OptiMonk', 'PHP', 'Perl', 'SMC', 'Stackable Page Builder Gutenberg Blocks', 'Subversion', 'UTF-8', 'WP Rocket', 'WordPress', 'WordPress Multisite', 'jsDelivr']"
eduxpress.co.uk,Home - Edu Xpress,Edu Xpress,GBR,72,42054,2026-02-03T16:19:48.874206134Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Contact Form Plugin', 'Countdown Timer Ultimate', 'DAV', 'Elementor', 'EmbedPress', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gravity', 'HubSpot Conversations', 'HubSpot WordPress Plugin', 'Hubspot', 'IcoMoon', 'LearnPress', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'OptiMonk', 'PHP', 'QUIC', 'Schema Plugin', 'Sitelinks Search Box', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
gosbaexpress.com,Small Business Loans for Your Growing Company In Seattle WA,Radix Financial Group,,67,24340,2026-02-03T15:24:59.902624919Z,"['Alternate Protocol', 'Apache', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'ElementUI', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Express', 'FreeCSSTemplates', 'Google Analytics', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'HubSpot Conversations', 'HubSpot WordPress Plugin', 'Hubspot', 'Microdata for Google Shopping', 'NFOrce Internet', 'OptiMonk', 'PHP', 'PixelYourSite', 'Premium Addons for Elementor', 'QUIC', 'Royal Elementor Addons', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
firptasolutions.com,FIRPTA Solutions - Foreign Investment Real Estate Tax Act,,USA,72,24833,2026-02-03T14:49:48.866750001Z,"['CallRail', 'Cognito Forms', 'ETranslate', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Font Awesome', 'GTranslate', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'HostGator', 'Instagram Follow Button', 'Microsoft Azure', 'Microsoft IIS', 'OptiMonk', 'Parallels Plesk Panel', 'Tailwind CSS', 'UTF-8', 'Visual Studio', 'YouTube']"
fundavvale.com,Startup Business Consultants - Business Plans – AVVALE,,GBR,87,86244,2026-02-03T14:33:30.201359591Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Apture Linking Platform', 'CDN JS', 'Calendly', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Fireblade', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'InitiativeS', 'Instagram Follow Button', 'MailMunch', 'Microdata for Google Shopping', 'MooseDesk', 'OptiMonk', 'Provide Support', 'QUIC', 'SMC', 'Schema Plugin', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'Thank You', 'UTF-8', 'YouTube', 'eLand', 'hCaptcha', 'jsDelivr', 'reCAPTCHA']"
