domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
asvla.ge,"ASVLA - ტოპ ონლაინ კაზინო | ველქამ ბონუსი, VIP უპირატესობები",,USA,72,80360,2026-05-21T02:11:19.982222104Z,"['Adobe Creative Cloud WebFonts', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'DAV', 'Express', 'Google Analytics', 'Google Tag Manager', 'Next.js', 'Optimove', 'PWA', 'Pleroma', 'QUIC', 'Subversion', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
strike46.com,Strike: Free play and fun,,,77,105558,2026-05-14T10:24:36.012156604Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'Apture Linking Platform', 'CloudFront', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'GZIP Module', 'Gambling Content', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hotjar', 'Instagram Follow Button', 'Intercom', 'Ntent', 'Optimove', 'QUIC', 'Sapper', 'Sign In With Google', 'Svelte', 'Tailwind CSS', 'shadcn ui']"
ssstake.bet,Mines Game - Play Stake Originals Minesweeper Casino Game,,COL,77,144800,2026-05-06T02:08:19.986171454Z,"['AWS WAF Challenge', 'Alternate Protocol', 'CoinPayments', 'Community', 'Content Delivery Network', 'Contento', 'D3 JS', 'DAV', 'Gambling Content', 'GitHub Hosting', 'Google My Business', 'Google Related Website Sites', 'Imgix', 'Instagram Follow Button', 'Medium', 'Microdata for Google Shopping', 'Optimove', 'PHP', 'Pleroma', 'QUIC', 'Rickshaw', 'Snowplow', 'Subversion', 'Svelte', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Vercel', 'W3.CSS', 'YouTube', 'shadcn ui', 'xCharts']"
goldenpalacedice.be,Top Online Casino in Belgium - Golden Palace | Golden Palace,,USA,72,177249,2026-05-06T01:14:19.990097765Z,"['AAPT', 'AWS WAF Challenge', 'Adult Content', 'Alternate Protocol', 'Azion', 'Cloudflare', 'Cloudflare Web Analytics', 'Coming Soon Page', 'Content Delivery Network', 'DAV', 'Fastly', 'Favorites for WordPress', 'Financial Services Guide', 'Fireblade', 'Freshworks Bot', 'GZIP Module', 'Gambling Content', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Instagram Follow Button', 'Jekyll', 'KVH', 'Next.js', 'No-Q', 'Onyx Internet', 'Optimove', 'QUIC', 'RM Education', 'Shifter', 'Thank You', 'Typeform', 'UTF-8', 'reCAPTCHA']"
stake-us.top,Stake.us - The Leading Social Casino. Fun & Free to Play,,,62,102748,2026-05-06T00:42:32.207122762Z,"['AWS WAF Challenge', 'Alternate Protocol', 'ByteDance', 'Gambling Content', 'Google Related Website Sites', 'Imgix', 'Instagram Follow Button', 'Krypt Technologies', 'LiteSpeed', 'Optimove', 'QUIC', 'Sanity', 'Sapper', 'Svelte', 'Tailwind CSS', 'TikTok Conversion Tracking Pixel', 'UTF-8', 'shadcn ui']"
fortunacasino.be,Fortuna Casino Belgium | Trusted Online Casino & Slots | Fortuna,,,62,151309,2026-04-27T13:05:20.010779466Z,"['AAPT', 'AWS WAF Challenge', 'Adult Content', 'Alternate Protocol', 'Cloudflare', 'Coming Soon Page', 'Content Delivery Network', 'Favorites for WordPress', 'Fireblade', 'GZIP Module', 'Gambling Content', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Jekyll', 'Next.js', 'No-Q', 'Onyx Internet', 'Optimove', 'QUIC', 'RM Education', 'Shifter', 'Thank You', 'Typeform', 'UTF-8', 'reCAPTCHA']"
wcclubmy.com,WeClub»Most Reliable & Trusted Online Casino In Malaysia ✅,,SGP,72,95471,2026-04-27T01:53:19.981658854Z,"['AWS WAF Challenge', 'Adult Content', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Coming Soon Page', 'Gambling Content', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Optimove', 'QUIC', 'Share Link', 'Tailwind CSS', 'Thank You', 'UTF-8', 'Vimeo', 'jQuery']"
miapu.com,"MiCasino plays, WINS, and above all, CASHES OUT! – YOUR Online Sports Betting and Casino House.",,,52,41579,2026-04-16T07:53:19.992671162Z,"['Amazon', 'Amazon CloudFront', 'CloudFront', 'GZIP Module', 'Gambling Content', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Nginx', 'Optimove', 'Tailwind CSS', 'UTF-8', 'Vector Internet Services', 'reCAPTCHA']"
oria.be,The online Belgian Casino for dice enthusiasts - Oria.be | Oria,,USA,77,182111,2026-04-15T09:40:12.354215344Z,"['AWS WAF Challenge', 'Adult Content', 'Alternate Protocol', 'Apture Linking Platform', 'Azion', 'Cloudflare', 'Cloudflare Web Analytics', 'Coming Soon Page', 'Content Delivery Network', 'DAV', 'DC74', 'Fastly', 'Favorites for WordPress', 'Fireblade', 'Freshworks Bot', 'GZIP Module', 'Gambling Content', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Instagram Follow Button', 'Jekyll', 'Line2', 'Next.js', 'ON24', 'Onyx Internet', 'Optimove', 'QUIC', 'RM Education', 'Shifter', 'Thank You', 'Typeform', 'UTF-8', 'YouTube', 'reCAPTCHA']"
sweeps.us,Sweeps.us | Sweepstakes Social Casino Gaming – Free Play & Real Rewards,,,62,96668,2026-04-15T07:47:19.987673241Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Express', 'Fireblade', 'Gambling Content', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Next.js', 'Optimove', 'Pleroma', 'QUIC', 'Telegram', 'UTF-8', 'Underscores', 'YouTube', 'Zendesk Guide']"
sidepot.us,Social casino | Best social casino games!,,,62,110225,2026-04-14T02:53:19.979724935Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Bing Cashback', 'Bing Conversion Tracking', 'ByteDance', 'Chakra UI', 'CloudFront', 'Cloudflare', 'Coming Soon Page', 'Content Delivery Network', 'DoubleClick Bid Manager', 'ElementUI', 'Express', 'Fireblade', 'GZIP Module', 'Gambling Content', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Microsoft Clarity', 'Next.js', 'Ntent', 'Optimove', 'Pleroma', 'QUIC', 'Quantcast Direct', 'Smooch', 'Twitter Ads', 'UTF-8', 'Yandex Hosting', 'Zendesk Embeddables', 'Zendesk Guide']"
moonspin.us,Social casino | Best social casino games!,,,62,110225,2026-04-13T16:47:19.983243673Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Bing Cashback', 'Bing Conversion Tracking', 'ByteDance', 'Chakra UI', 'CloudFront', 'Cloudflare', 'Coming Soon Page', 'Content Delivery Network', 'DoubleClick Bid Manager', 'ElementUI', 'Express', 'Fireblade', 'GZIP Module', 'Gambling Content', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microsoft Clarity', 'Next.js', 'Ntent', 'Optimove', 'Pleroma', 'QUIC', 'Quantcast Direct', 'Smooch', 'Twitter Ads', 'UTF-8', 'Yandex Hosting', 'Zendesk Embeddables', 'Zendesk Guide']"
wildcardcity-casino.net,Wild Card City Casino Login in Australia - Play and Win!,,USA,77,111188,2026-04-08T10:32:19.992963944Z,"['AWS WAF Challenge', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Fireblade', 'FreeBSD', 'Gambling Content', 'Google My Business', 'Google Related Website Sites', 'IcoMoon', 'Optimove', 'Python', 'QUIC', 'Tailwind CSS', 'UTF-8', 'University or College']"
interbet.co.za,Interbet | Top Online Sports & Casino Betting | Interbet,,ZAF,77,84248,2026-03-15T23:05:06.038533291Z,"['Alternate Protocol', 'Cloudflare', 'FrontApp', 'Gambling Content', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Microsoft Application Insights', 'Microsoft Azure', 'Optimove', 'PWA', 'Twitter Ads', 'UTF-8', 'Visual Studio', 'eLand']"
