domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
national1sos.com,National SOS,,USA,67,7419,2026-04-07T20:38:19.988106979Z,"['AJAX Libraries API', 'Apache', 'CDN JS', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'ElementUI', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Outreach Pro', 'Tailwind CSS', 'UTF-8', 'YouTube', 'jQuery', 'reCAPTCHA']"
ussvcf.org,"Support United States Submarine Veterans - USSVCF, Inc.","United States Submarine Veterans Charitable Foundation, Inc.",USA,82,217976,2026-04-07T16:26:19.998167633Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Alternate Protocol', 'Beaver Builder Lite', 'Charity Navigator', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Contento', 'Ditty News Ticker', 'EmbedPress', 'GitHub Hosting', 'GiveWP', 'GoDaddy', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Max Mega Menu Pro', 'Microdata for Google Shopping', 'Outreach Pro', 'PHP', 'Pagekit', 'QUIC', 'Salesforce Hosted', 'Schema Plugin', 'SiteW', 'Theme In WP', 'UTF-8', 'University or College', 'Vector Internet Services', 'Vimeo', 'Wangsu', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'Yandex Hosting', 'YouTube', 'jQuery', 'reCAPTCHA']"
virungavalleyacademy.org,"Virunga Valley Academy – An American International School in Musanze, Rwanda",,GBR,72,509,2026-04-07T15:44:33.948654309Z,"['Alternate Protocol', 'Content Delivery Network', 'EmbedPress', 'Google Cloud DNS', 'Google Font API', 'LiteSpeed', 'Outreach Pro', 'PHP', 'Photo Gallery for WordPress', 'Simple Social Icons', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'jQuery']"
csm.org.nz,Christchurch School of Music - Te Kura Puoro | Play More!,,NZL,65,4166,2026-04-07T12:41:19.979201285Z,"['Alternate Protocol', 'Corporate Governance and Regulatory Compliance', 'Divi', 'Elegant Themes', 'EmbedPress', 'Event Tickets for Wordpress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Hotjar', 'Nginx', 'Outreach Pro', 'PHP', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
tanwild.com,Tan in the Wild Tanning Salon – Serving Oakville Mississauga Tanning Clients,,USA,72,449,2026-04-07T12:17:19.990838477Z,"['Alternate Protocol', 'Apache', 'EmbedPress', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Outreach Pro', 'PHP', 'Simple Social Icons', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WP Featherlight', 'WordPress', 'WordPress Multisite', 'jQuery']"
kipi.co.ke,Homepage | KIPI,,KEN,60,6055,2026-04-07T11:50:19.989593409Z,"['Drupal', 'IcoMoon', 'KVH', 'LiteSpeed', 'NFOrce Internet', 'Outreach Pro', 'PHP', 'QUIC', 'Slider Revolution', 'Twitter Ads', 'University or College', 'YouTube']"
castlefoundation.org,Harold K.L. Castle Foundation - Building resources for Hawaii's future,Harold K.L. Castle Foundation,GBR,82,20153,2026-04-07T11:23:19.981073662Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Automattic', 'Cloudflare', 'Cloudflare CDN', 'Collapse-O-Matic', 'EmbedPress', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Jetpack', 'Jetpack Site Accelerator', 'Microdata for Google Shopping', 'Outreach Pro', 'PHP', 'Simple Social Icons', 'StudioPress', 'Tailwind CSS', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'jQuery']"
geochemsoc.org,Home :: Geochemical Society,,USA,72,360,2026-04-07T10:59:19.988389185Z,"['Bulma', 'Concrete CMS', 'Corporate Governance and Regulatory Compliance', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Outreach Pro', 'PHP', 'UTF-8', 'jQuery']"
rivermuseum.org,Homepage | National Mississippi River Museum & Aquarium,,,62,17800,2026-04-07T09:23:20.010134455Z,"['AWS WAF Challenge', 'Add to Any', 'Backdrop', 'Content Delivery Network', 'Drupal', 'Fastly', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Nginx', 'Outreach Pro', 'PHP', 'Tailwind CSS', 'UTF-8', 'University or College', 'YouTube', 'jQuery']"
fccagallery.org,Fredericksburg Center for the Creative Arts – Where Art and History Meet,,,60,842,2026-04-07T07:32:20.015707142Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Alternate Protocol', 'Automattic', 'Beaver Builder Lite', 'Cloudflare', 'Cloudflare CDN', 'Constant Contact', 'Content Delivery Network', 'EmbedPress', 'Facebook CDN', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Jetpack', 'Nginx', 'Outreach Pro', 'PHP', 'PayPal Adaptive Payments', 'PayPal Button', 'PayPal Form', 'The Events Calendar', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'jQuery']"
