domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
toonimo.com,"Toonimo – Digital Adoption, Amplified",,JPN,72,239063,2026-04-16T08:08:20.013338427Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Accordion FAQ', 'Amazon', 'Amazon CloudFront', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Cornerstone', 'DC74', 'ElementUI', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'LinkedIn Insights', 'LinkedIn Pixel', 'Oracle Cloud', 'Ping Identity', 'QUIC', 'SAP Ariba Network', 'Salesforce Hosted', 'Tabs Responsive', 'Tailwind CSS', 'Toonimo', 'UTF-8', 'Vector Internet Services', 'Vimeo', 'Vimeo CDN', 'WF Cookie Consent', 'jsDelivr']"
homebuyer.ai,Homebuyer.com - Happy Homebuying | Homebuyer.com,,USA,77,112340,2026-04-16T02:17:19.982760148Z,"['Active Campaign', 'Amazon', 'ByteDance', 'Content Delivery Network', 'DoubleClick Bid Manager', 'Facebook Reseller', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Iterable', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Nationwide Mortgage Licensing System and Registry', 'Next.js', 'Ping Identity', 'Pleroma', 'Sitelinks Search Box', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Vercel', 'YouTube', 'jsDelivr', 'shadcn ui']"
wrswealth.com,"WRS Wealth Advisors - Boardman, OH",WRS Wealth Advisors,,60,65321,2026-04-12T19:13:59.961330109Z,"['Akamai Global Host', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Barchart', 'Bizo', 'Calendly', 'CloudFront', 'DoubleClick Bid Manager', 'Eloqua', 'Facebook Reseller', 'Financial Industry Regulatory Authority', 'Fireblade', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Hubspot', 'Kaltura', 'Microdata for Google Shopping', 'Microsoft Azure', 'Perl', 'Ping Identity', 'ScheduleOnce', 'Storyblocks', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Unsplash', 'Vimeo CDN', 'Visual Studio', 'YouTube', 'jQuery']"
clermontinsuranceagency.com,Insurance Services in Florida | Patriot GIS,,USA,67,99478,2026-04-12T06:02:19.985278264Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Azure Active Directory B2C', 'Content Delivery Network', 'Express', 'Fireblade', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Ping Identity', 'QUIC', 'Sanity', 'Snowplow', 'Svelte', 'Tailwind CSS', 'Thank You', 'Vercel', 'accessiBe', 'reCAPTCHA', 'shadcn ui']"
peakhorizonwealth.ca,"Peak Horizon Wealth - Markham, ON",Peak Horizon Wealth,CAN,70,176678,2026-04-11T04:05:20.005975711Z,"['AWS WAF Challenge', 'Akamai Global Host', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Barchart', 'Bizo', 'Calendly', 'CloudFront', 'DoubleClick Bid Manager', 'Eloqua', 'Facebook Reseller', 'Financial Industry Regulatory Authority', 'Fireblade', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Hubspot', 'Kaltura', 'Line2', 'Microdata for Google Shopping', 'Microsoft Azure', 'Perl', 'Ping Identity', 'ScheduleOnce', 'Storyblocks', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Unsplash', 'Vimeo CDN', 'Visual Studio', 'YouTube', 'jQuery']"
flahertycolvin.com,"FlahertyColvin - Westerville, OH",FlahertyColvin,,70,176678,2026-04-10T05:32:14.075772581Z,"['AWS WAF Challenge', 'Akamai Global Host', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Barchart', 'Bizo', 'Calendly', 'CloudFront', 'DoubleClick Bid Manager', 'Eloqua', 'Facebook Reseller', 'Financial Industry Regulatory Authority', 'Fireblade', 'GZIP Module', 'Gambling Content', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Hubspot', 'Kaltura', 'Line2', 'Microdata for Google Shopping', 'Microsoft Azure', 'Perl', 'Ping Identity', 'ScheduleOnce', 'Storyblocks', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Unsplash', 'Vimeo CDN', 'Visual Studio', 'YouTube', 'jQuery']"
craftlabs.net,CRAFTLabs - Custom Software Solutions for Your Business,,CHL,82,62908,2026-04-09T06:44:34.493606248Z,"['AWS WAF Challenge', 'Astro', 'Bulma', 'Google', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Microdata for Google Shopping', 'Ping Identity', 'QUIC', 'jsDelivr', 'shadcn ui']"
nickjgraham.com,Nick Graham - Principal Infrastructure Engineer,,USA,77,52847,2026-04-07T15:23:19.982904272Z,"['Amazon Link Enchancer', 'Amazon Widgets', 'Apache', 'CM Commerce', 'Cisco/Arrowpoint Content Service Switch', 'Font Awesome', 'GitHub Hosting', 'MaxCDN', 'Nginx', 'Ping Identity', 'Pleroma', 'Python', 'QUIC', 'Tailwind CSS', 'UTF-8', 'jQuery']"
strongprivatewealth.com,"Strong Private Wealth - Burlington, ON",Strong Private Wealth,CAN,70,161918,2026-04-06T22:29:46.412400977Z,"['Akamai Global Host', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Barchart', 'Bizo', 'Calendly', 'CloudFront', 'DAV', 'DoubleClick Bid Manager', 'Eloqua', 'Facebook Reseller', 'Financial Industry Regulatory Authority', 'Fireblade', 'GZIP Module', 'Global Privacy Control', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Hubspot', 'Kaltura', 'Line2', 'Microdata for Google Shopping', 'Microsoft Azure', 'Perl', 'Ping Identity', 'ScheduleOnce', 'Storyblocks', 'Twitter Ads', 'UTF-8', 'Unsplash', 'Vimeo', 'Vimeo CDN', 'Visual Studio', 'WF Cookie Consent', 'YouTube', 'jQuery']"
ahmedajaz.com,Ahmedajaz | Identity & Cloud Security Blog,,USA,65,51849,2026-04-05T03:56:19.987739113Z,"['CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Fastly', 'Firebase', 'Formspree', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Tag Manager', 'Ping Identity', 'Python', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'YouTube', 'jsDelivr']"
