domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
earlystemer.com,earlySTEMer - Online Coding for Kids - Self-paced and Virtual classes,earlySTEMer,NGA,82,7305,2026-05-03T14:24:15.428235851Z,"['Add to Any', 'Alternate Protocol', 'Apache', 'Astra Theme', 'Elementor', 'EmbedPress', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Header, Footer and Blocks for Elementor', 'Instagram Follow Button', 'Kitco', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Pagekit', 'PixelYourSite', 'Python', 'QUIC', 'Site Kit', 'Smush Image Optimization', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Ubuntu', 'W3 Total Cache', 'WhatsApp Sharing', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'YouTube', 'jQuery']"
foic-lecanda.com,Foic Lecanda,,MEX,60,3720,2026-05-03T14:24:15.399066814Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'DAV', 'DuracellTomi Google Tag Manager for WordPress', 'Elementor', 'Elementor Custom Skin', 'EmbedPress', 'GoDaddy', 'Google Analytics', 'Google Tag Manager', 'Hello Elementor', 'Instagram Follow Button', 'Kitco', 'NFOrce Internet', 'PixelYourSite', 'Polylang', 'Site Kit', 'UTF-8', 'Wangsu', 'WordPress', 'WordPress Multisite', 'jQuery']"
la23net.co.uk,The Gather – Mighty Fine People,,,55,368,2026-05-03T14:20:20.009829981Z,"['Alternate Protocol', 'Apache', 'Booking Affiliate', 'Contact Form Plugin', 'Content Delivery Network', 'Cookie Accept', 'Cookie Notice', 'EmbedPress', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'IcoMoon', 'Instagram Follow Button', 'MailerLite', 'Nectar Slide Plugin', 'PHP', 'PixelYourSite', 'Popup Maker for Wordpress', 'QUIC', 'Salient', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WPBakery', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
sathacademy.com,sathacademy.com,,IND,60,562,2026-05-03T14:17:20.002810504Z,"['Alternate Protocol', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'LiteSpeed', 'NFOrce Internet', 'PHP', 'PixelYourSite', 'QUIC', 'Theme In WP', 'UTF-8', 'University or College', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooFramework', 'WordPress', 'WordPress Multisite', 'XTemos Studio', 'jQuery']"
godapta.com,"Dapta AI | No-Code AI Voice, Text & Workflow Automation for SMBs",Dapta AI,RUS,77,201917,2026-05-03T14:14:19.994154523Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon', 'Apture Linking Platform', 'Better Lead Generation Services', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'CookieYes', 'DAV', 'Dynamic Visibility for Elementor', 'Elementor', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Genesis Blocks', 'Google', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'HubSpot Conversations', 'HubSpot WordPress Plugin', 'Hubspot', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Clarity', 'NFOrce Internet', 'Pagekit', 'PixelYourSite', 'Popup Maker for Wordpress', 'Prospective', 'QUIC', 'Salesforce Hosted', 'Site Kit', 'UTF-8', 'University or College', 'WP Engine', 'WPML Multilingual', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
watertight-thinking.com,Watertight Thinking - Strategic Tools for Marketers That Mean Business,,,82,3285,2026-05-03T14:06:28.748516097Z,"['Alternate Protocol', 'Ametys', 'Content Delivery Network', 'CookieYes', 'DAV', 'Divi', 'Elegant Themes', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Gravity', 'Microdata for Google Shopping', 'Monarch Social Sharing Plugin For WordPress', 'PHP', 'PixelYourSite', 'Popup Maker for Wordpress', 'QUIC', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
localrootslandscaping.club,"Pittsburgh, PA's Choice Among Area Landscaping Companies",Local Roots Landscaping,USA,77,26493,2026-05-03T14:06:28.7353677Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon CloudFront', 'Beaver Builder Lite', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'DAV', 'DuracellTomi Google Tag Manager for WordPress', 'EmbedPress', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'KaTeX', 'Klaviyo', 'Microdata for Google Shopping', 'PHP', 'PixelYourSite', 'Schema Plugin', 'Simple Social Icons', 'StudioPress', 'Theme In WP', 'UTF-8', 'Vector Internet Services', 'WP Engine', 'WPForms', 'WordPress', 'WordPress Multisite', 'jQuery', 'jsDelivr']"
feron.eu,Feron Europe - Home,Feron Europe,,62,3620,2026-05-03T13:59:19.993567767Z,"['Alternate Protocol', 'Contact Form Plugin', 'Elementor', 'EmbedPress', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gravity Forms', 'IcoMoon', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Parallels Plesk Panel', 'PixelYourSite', 'QUIC', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'Vercel', 'WPBakery', 'WPForms', 'WPML Multilingual', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'Wordfence', 'eLand', 'jQuery', 'reCAPTCHA']"
cafecoachbali.com,Home - Cafe Coach Bali,,,62,5214,2026-05-03T13:56:08.175960971Z,"['Adult Content', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'Elementor', 'Elementor Custom Skin', 'EmbedPress', 'Google Analytics', 'Google Tag Manager', 'Hello Elementor', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PixelYourSite', 'Sitelinks Search Box', 'The Events Calendar', 'UTF-8', 'Woopra', 'WordPress', 'WordPress Multisite', 'jQuery']"
shamyaz.com,Home Final Page - Shamyaz - Perfumes,Shamyaz - Perfumes,,72,4515,2026-05-03T13:50:20.01922149Z,"['Alternate Protocol', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'Microsoft Clarity', 'NFOrce Internet', 'PHP', 'PixelYourSite', 'QUIC', 'Sitelinks Search Box', 'Slider Revolution', 'Table Addons for Elementor', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
