domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
whitehorsehr.com,"The White Horse, Fractional Chief Human Resources Officer | LinkedIn","The White Horse, Fractional Chief Human Resources Officer",IND,77,220064,2026-02-01T06:31:48.887437613Z,"['Adobe Marketing Cloud', 'Amazon', 'AppNexus Direct', 'Bing Cashback', 'Bing Conversion Tracking', 'Cedexis', 'Cloudflare', 'Coming Soon Page', 'DemDex', 'DoubleClick Bid Manager', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Flights Conversion Tracking', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'InitiativeS', 'Microdata for Google Shopping', 'Microsoft Azure', 'Microsoft Clarity', 'Oribi Analytics', 'PWA', 'Pico CSS', 'Power BI', 'Sign In With Google', 'UTF-8', 'University or College', 'Vimeo', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'reCAPTCHA']"
joshuaebenezer.com,Joshua's Portfolio,,USA,65,49546,2026-01-31T23:07:48.866035555Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Apture Linking Platform', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'GZIP Module', 'Google', 'Google My Business', 'License Buttons', 'M247', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'PHP', 'Power BI', 'Python', 'Royal Elementor Addons', 'Schema Plugin', 'Sinatra', 'Theme In WP', 'UTF-8', 'University or College', 'Vector Internet Services', 'WordPress', 'WordPress Multisite', 'jQuery']"
aldatascience.com,Mubasher Mushtaq,,SAU,60,229,2026-01-31T22:43:48.898028296Z,"['Alternate Protocol', 'Amazon', 'EmbedPress', 'Essential Blocks for Gutenberg', 'Microdata for Google Shopping', 'PHP', 'Power BI', 'Stackable Page Builder Gutenberg Blocks', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
chat4business.com,Sales Chat Services | UK | Chat4Business,Chat4Business,,67,9921,2026-01-31T21:38:45.765432745Z,"['Alternate Protocol', 'Apture Linking Platform', 'Better Lead Generation Services', 'Bulma', 'Contact Form Plugin', 'Content Delivery Network', 'EmbedPress', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Matomo', 'Matomo Tag Manager', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Power BI', 'QUIC', 'Sitelinks Search Box', 'SmartCrawl', 'Tailwind CSS', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Uncode', 'WPBakery', 'WordPress', 'WordPress Multisite', 'Yandex Hosting', 'YouTube', 'eLand', 'jQuery', 'reCAPTCHA']"
drfreezones.com,DR FREE ZONES ▷ Expand your Global Business in the Americas.,DR Free Zones,DOM,77,25959,2026-01-31T17:41:48.438221225Z,"['Apache', 'CentOS', 'Complianz', 'EmbedPress', 'Font Awesome', 'GZIP Module', 'Gambling Content', 'Google Analytics', 'Google Tag Manager', 'Gtranslate for Wordpress', 'HubSpot Conversations', 'HubSpot WordPress Plugin', 'Hubspot', 'Instagram Follow Button', 'Kitco', 'Microdata for Google Shopping', 'Microsoft Clarity', 'No-Q', 'OpenSSL', 'PHP', 'Power BI', 'Site Kit', 'ThemeFusion', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
excelpunks.com,excelpunks. Training – Consultancy – Solutions.,,,60,120,2026-01-31T12:16:48.877679273Z,"['Adult Content', 'Alternate Protocol', 'Automattic', 'Automattic Direct', 'CoBlocks', 'Content Delivery Network', 'EmbedPress', 'Express', 'Gambling Content', 'Global Privacy Control', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Jetpack', 'Jetpack Site Accelerator', 'Nginx', 'PayPal Adaptive Payments', 'Perl', 'Power BI', 'QUIC', 'Share Link', 'Tailwind CSS', 'US Privacy User Signal Mechanism', 'UTF-8', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube']"
sunguide.info,Transportation Systems Management & Operations (TSM&O) SunGuide Transportation Management Center,,USA,82,10669,2026-01-31T11:22:48.86244108Z,"['Alternate Protocol', 'Apache', 'Barracuda Web App Firewall', 'Contact Form Plugin', 'EmbedPress', 'Express', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Gutenberg', 'MailChimp for WordPress', 'Microdata for Google Shopping', 'PHP', 'Power BI', 'QUIC', 'Slider Revolution', 'Startit', 'Theme In WP', 'UTF-8', 'WP Fastest Cache', 'WPBakery', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
runzer.io,Daniel Runzer Portfolio | Daniel Runzer,,,47,213,2026-01-31T10:49:48.895777209Z,"['Alternate Protocol', 'Content Delivery Network', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'OpenResty', 'Power BI', 'Zyro']"
mtax.ca,Welcome to Master of Taxation | Master of Taxation | University of Waterloo,,CAN,72,92057,2026-01-31T00:22:48.888355297Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'AppNexus Direct', 'Bing Cashback', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DoubleClick Bid Manager', 'Drupal', 'Facebook CDN', 'Fastly', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Livestream', 'MaxCDN', 'Microsoft Clarity', 'New Relic', 'Nginx', 'Ntent', 'Pantheon', 'Power BI', 'Prospective', 'RM Education', 'Social Intents', 'Storyblocks', 'Tableau', 'Tailwind CSS', 'Technolutions', 'Twitter Ads', 'UTF-8', 'University or College', 'Vimeo CDN', 'Yahoo Image CDN', 'Yahoo Web Analytics', 'YouTube', 'jQuery', 'jsDelivr']"
theijf.org,Investigative Journalism Foundation,,,67,41053,2026-01-30T19:57:33.752257222Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Apture Linking Platform', 'Bing Cashback', 'Bing Conversion Tracking', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Coming Soon Page', 'Commento', 'Content Delivery Network', 'DAV', 'DoubleClick Bid Manager', 'ElementUI', 'Express', 'Facebook Login', 'Facebook Reseller', 'Fireblade', 'FirstPromoter', 'Flourish', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'MailChimp', 'Microsoft Clarity', 'NFOrce Internet', 'Next.js', 'Ntent', 'Pleroma', 'Power BI', 'Shopify', 'Stripe', 'Tableau', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'Vercel', 'YouTube', 'eLand', 'jsDelivr', 'shadcn ui']"
