domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
neveragain.tech,neveragain.tech,,JPN,65,589142,2026-01-30T01:10:48.870629544Z,"['AthenaHealth', 'Atlassian Bitbucket', 'Automattic', 'Bazaarvoice', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Content Delivery Network', 'DAV', 'Dialogue', 'DreamHost Hosting', 'Ektron', 'Endis', 'Fastly', 'Fastly CDN', 'Fireblade', 'GZIP Module', 'GitHub Hosting', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Heroku', 'IBM Cloud', 'Jetpack', 'Lithium Technologies', 'Medium', 'OSS CDN', 'Oracle Cloud', 'PHP', 'PagerDuty', 'Perl', 'Practice Fusion', 'QUIC', 'RM Education', 'Rackspace Cloud Servers', 'Salesforce', 'Salesforce Experience Cloud', 'Salesforce Hosted', 'Scully', 'Shore', 'Squid', 'Telegram', 'Thank You', 'Tinfoil', 'Twitter Ads', 'UTF-8', 'University or College', 'Way', 'YouTube', 'about.me', 'acens Technologies', 'eLand']"
centralbillingbureau.com,CENTRAL BILLING BUREAU,,USA,55,4176,2026-01-27T12:58:43.433532056Z,"['GZIP Module', 'Kareo', 'Nginx', 'Practice Fusion', 'UTF-8', 'jQuery']"
myfcbilling.com,FC Billing: Experience The Best Medical Billing Service,"FC Billing, LLC",USA,92,72831,2026-01-26T07:45:40.657086195Z,"['1Password', 'AWS WAF Challenge', 'Accordion Blocks', 'Adult Content', 'Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare Web Analytics', 'Clutch', 'Content Delivery Network', 'DMCA Badge', 'EmbedPress', 'Fireblade', 'GoodFirms', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gutenberg Blocks by Kadence Blocks', 'HubSpot Conversations', 'HubSpot WordPress Plugin', 'Hubspot', 'Instagram Follow Button', 'Kadence WP', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Ntent', 'PHP', 'Perfmatters', 'Post Grid', 'Practice Fusion', 'QUIC', 'Sitelinks Search Box', 'Theme In WP', 'TherapyNotes', 'Twitter Ads', 'UTF-8', 'WPForms', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
envoybilling.us,Envoy Billing,,,55,9699,2026-01-22T20:19:43.445319266Z,"['Alternate Protocol', 'AthenaHealth', 'Calendly', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'Element Pack Lite', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Envoy', 'Font Awesome', 'Hello Elementor', 'IcoMoon', 'Jeg Elementor Kit', 'LiteSpeed', 'Metform Elemento', 'NFOrce Internet', 'PHP', 'Practice Fusion', 'QUIC', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'eClinicalWorks', 'jQuery']"
medhealthbilling.com,Med Health Billing – Billing Services,,USA,65,37345,2026-01-21T19:26:47.988494601Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'DAV', 'Elementor', 'EmbedPress', 'Fireblade', 'GZIP Module', 'Google Maps', 'Google My Business', 'Hello Elementor', 'Instagram Follow Button', 'Jetpack', 'NFOrce Internet', 'Nginx', 'PHP', 'Practice Fusion', 'QUIC', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
detailsrcm.com,Details-Driven RCM Company in Georgia | DetailsRCM LLC,Details RCM,USA,77,44970,2026-01-21T03:37:43.43147648Z,"['Alternate Protocol', 'AthenaHealth', 'CM Commerce', 'DAV', 'Element Pack Lite', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Express', 'FormSubmit', 'Google Analytics', 'Google Tag Manager', 'Hello Elementor', 'IcoMoon', 'Instagram Follow Button', 'Jeg Elementor Kit', 'Metform Elemento', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'Practice Fusion', 'QUIC', 'Sitelinks Search Box', 'Table Addons for Elementor', 'UTF-8', 'WordPress', 'WordPress Multisite', 'eClinicalWorks', 'jQuery']"
physicianscareservices.com,Physicians Care Services – A TRUSTED MEDICAL BILLING FIRM,,USA,70,47802,2026-01-13T15:49:43.446245565Z,"['AWS WAF Challenge', 'Agoda', 'Alternate Protocol', 'Astra Theme', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Fastly', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'Line2', 'LiteSpeed', 'Practice Fusion', 'QUIC', 'QUIC.cloud', 'UTF-8', 'WordPress', 'WordPress Multisite', 'eClinicalWorks']"
secureexsolutions.com,Cloud-Based Clinical Exchange Software,,USA,77,48652,2026-01-12T19:46:03.412061171Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Animate It', 'Apture Linking Platform', 'Cloudflare', 'Contact Form Plugin', 'Content Delivery Network', 'EmbedPress', 'FreeCSSTemplates', 'Google Analytics', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'K2F', 'Menu Icons by ThemeIsle', 'Microdata for Google Shopping', 'PHP', 'Practice Fusion', 'ShareThis', 'Slider Revolution', 'Subversion', 'TablePress', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'University or College', 'Visual Composer Ultimate Addons', 'WP Engine', 'WPBakery', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery', 'reCAPTCHA']"
countrysidepediatriccare.com,"Countryside Pediatric Care | Dr. Monica Kharbanda |Safety Harbor |Clearwater| 2531 Landmark Drive, STE 103, Clearwater, FL, USA",Countryside Pediatric Care,USA,72,152952,2026-01-02T09:16:01.021983722Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Forms', 'Google My Business', 'Google Related Website Sites', 'Harbor', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'Practice Fusion', 'QUIC', 'SMC', 'SiteW', 'Subversion', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom']"
dashquillservices.com,DashQuill - Patient Engagement Tools for EHR Integration,,USA,72,42120,2025-12-30T02:49:38.347660401Z,"['Astro', 'AthenaHealth', 'Calendly', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Nginx', 'Practice Fusion', 'UTF-8', 'Ubuntu', 'eClinicalWorks']"
