domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
dirty30.shop,Dirty30 Car Apparel,,,57,1206,2026-03-11T20:33:25.467548761Z,"['Amazon', 'Apture Linking Platform', 'BunnyCDN General', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Fastly', 'Google My Business', 'Google Related Website Sites', 'Microdata for Google Shopping', 'POWr', 'Privy', 'Schema Plugin', 'Shopify', 'Shopify Collabs', 'Subversion', 'Tailwind CSS', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
gunggonam.com,gunggonam,gunggonam,,62,4104,2026-03-11T20:01:21.991940439Z,"['Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Google My Business', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Privy', 'Shopify', 'Shopify Collabs', 'Shopify Payments', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
kylaeastcoastrealtor.ca,Halifax & Dartmouth REALTOR® | Your East Coast Real Estate Expert,Kyla Desjardins,CAN,82,6824,2026-03-11T17:01:58.035853744Z,"['17TRACK', 'Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Privy', 'QUIC', 'Realtor Canada', 'Shopify', 'Shopify Collabs', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
puritancambridge.com,Puritan & Company | Cambridge,Puritan & Company,USA,72,85033,2026-03-11T16:43:55.349572973Z,"['Adobe Creative Cloud WebFonts', 'Aruba', 'DAV', 'Express', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'Privy', 'QUIC', 'SiteW', 'Squarespace', 'Toast POS', 'Tripleseat', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'Yelp Badge', 'eLand']"
malaiswimwearchile.com,Malai Chile Swimwear - Vestidos de Baño,Malai Chile,,62,7152,2026-03-11T15:32:31.083566364Z,"['Adobe Creative Cloud WebFonts', 'Amazon CloudFront', 'Apture Linking Platform', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Google Cloud DNS', 'Google Related Website Sites', 'IcoMoon', 'Instagram Follow Button', 'MailChimp', 'Microdata for Google Shopping', 'PageFly', 'Privy', 'Python', 'QUIC', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'TrackingMore', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
lapostrophe.art,L'apostrophe - Fine Stationary - Greeting Cards - Eco-Friendly Gifts,,USA,82,23854,2026-03-11T13:01:26.743282529Z,"['AJAX Libraries API', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Google Cloud DNS', 'Google My Business', 'KVH', 'Newsletter for Wordpress', 'Privy', 'QUIC', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'UTF-8', 'Woo Themes', 'hCaptcha', 'jQuery', 'reCAPTCHA']"
belizeanvillarentals.com,"Hopkins Bay Belize, a Muy'Ono Resort | Best Belize Resorts",,USA,87,9603,2026-03-11T12:22:03.181082312Z,"['AJAX Libraries API', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'AutoComplete', 'ETranslate', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Five9', 'Font Awesome', 'FormSubmit', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Pico CSS', 'Privy', 'QUIC', 'SiteMinder', 'SiteW', 'Sojern', 'Squarespace', 'TheBookingButton', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand', 'jQuery']"
nuts4nuts.com,Nuts 4 Nuts,Nuts 4 Nuts,USA,72,6175,2026-03-11T08:31:47.654176451Z,"['AJAX Libraries API', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Privy', 'QUIC', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'YouTube', 'hCaptcha', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
juniperfloralstudio.com,Juniper Floral Studio,,CAN,72,7126,2026-03-11T08:01:06.291380122Z,"['Amazon', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Google Maps', 'Google My Business', 'Instagram Follow Button', 'MailChimp', 'Microdata for Google Shopping', 'POWr', 'PageFly', 'Privy', 'Schema Plugin', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
hlfscottsdale.com,HLF Scottsdale New & Pre-Owned Fine Furniture,,USA,77,9265,2026-03-11T07:28:40.645926166Z,"['Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'MailChimp', 'Microdata for Google Shopping', 'NFOrce Internet', 'Newsletter for Wordpress', 'POWr', 'Privy', 'QUIC', 'Schema Plugin', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'Thank You', 'Twitter Ads', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
nelboutique.com,Nel Boutique,,,55,1728,2026-03-11T06:32:21.491842991Z,"['Amazon', 'Apture Linking Platform', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Google My Business', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Placehold IT', 'Privy', 'Schema Plugin', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'UTF-8', 'Vector Internet Services', 'hCaptcha', 'reCAPTCHA']"
assupps.com,Aesthetic Sports,Aesthetic Sports,VAT,70,10909,2026-03-11T02:59:23.567154664Z,"['Apture Linking Platform', 'Aruba', 'Cloudflare', 'Cloudflare CDN', 'Google Related Website Sites', 'JustUno', 'Microdata for Google Shopping', 'Privy', 'QUIC', 'Shipping Rates Calculator', 'Shopify', 'Shopify Collabs', 'Shopify Payments', 'Smile IO', 'Tailwind CSS', 'UTF-8', 'eLand', 'hCaptcha', 'reCAPTCHA']"
doncosmetics.com,D'ON | Master Your Makeup – D'on Cosmetics,D&#39;on Cosmetics,VAT,77,15392,2026-03-11T02:59:23.561797262Z,"['Amazon CloudFront', 'Amped', 'Apture Linking Platform', 'Aruba', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Express', 'Google Forms', 'Google My Business', 'Google Related Website Sites', 'Instagram Follow Button', 'MailChimp', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Privy', 'QUIC', 'RevenueHunt', 'Shopify', 'Shopify Collabs', 'Stamped', 'Thank You', 'Twitter Ads', 'UTF-8', 'YouTube', 'eLand', 'hCaptcha', 'reCAPTCHA']"
mkalimoments.com,Montreal Event Space | Unique Event Supplies – Mkali Moments,,USA,82,37353,2026-03-11T02:02:27.129450889Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Azure Edge', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Fastly', 'Fera', 'Fireblade', 'Font Awesome', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Klaviyo', 'MailChimp', 'Microdata for Google Shopping', 'Microsoft Azure Verified CDN', 'POWr', 'Perl', 'Perzonalization', 'Privy', 'QUIC', 'Schema Plugin', 'Shopify', 'Shopify Collabs', 'Swell Rewards', 'Tailwind CSS', 'Thank You', 'Twitter Ads', 'UTF-8', 'Yotpo', 'hCaptcha', 'reCAPTCHA']"
sporthlifar.is,Sporthlífar er netverslun með compression hlífðarfatnaði,Sporthlífar,,62,19104,2026-03-10T23:46:38.157751675Z,"['Amazon CloudFront', 'Apture Linking Platform', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'Fireblade', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Privy', 'QUIC', 'Shopify', 'Shopify Collabs', 'UTF-8', 'YouTube', 'hCaptcha', 'reCAPTCHA']"
