domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
atlanticcitycasinodeals.com,VP. Meybohm Real Estate / Owner GrantSuttonRealEstate LLC.,,USA,67,5429,2026-04-16T14:23:20.003488109Z,"['Adobe Creative Cloud WebFonts', 'Aruba', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Line2', 'Microdata for Google Shopping', 'PropertyBase', 'QUIC', 'Squarespace', 'Twitter Ads', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
redrealtyboro.com,Premier Middle Tennessee Real Estate Agency | Red Realty,Premier Middle Tennessee Real Estate Agency | Red Realty,USA,77,186616,2026-04-15T01:08:20.005455248Z,"['AWS WAF Challenge', 'Adult Content', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon S3 CDN', 'Amazon WAF Blocked', 'Apache', 'Apture Linking Platform', 'Bing Cashback', 'CCSI', 'CDN JS', 'CM Commerce', 'Canva Websites', 'Chartist JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Cloudinary', 'Cornerstone', 'DAV', 'ETranslate', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly CDN', 'Financial Services Guide', 'Font Awesome', 'GTranslate', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Customer Reviews', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Inside Real Estate', 'Instagram Follow Button', 'Investor Relations', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nationwide Mortgage Licensing System and Registry', 'Neighborhoods', 'New Relic', 'No-Q', 'PHP', 'PropertyBase', 'Prospective', 'QUIC', 'Rackspace CDN', 'SMC', 'Squarespace', 'Storyblocks', 'Subversion', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'Unix', 'Vercel', 'Yelp Badge', 'YouTube', 'eLand', 'jQuery']"
ashleyshulmanhomes.com,Ashley Shulman,,,57,3369,2026-04-13T21:08:20.022829472Z,"['Amazon S3 CDN', 'CoreUI', 'Fastly CDN', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Homes.com CMS', 'New Relic', 'PropertyBase', 'QUIC', 'Storyblocks', 'UTF-8', 'reCAPTCHA']"
michelewilliamsrealtor.com,Pelican Realty & Co. – Pensacola & Emerald Coast Homes,,CAN,77,18965,2026-04-13T17:44:27.566991679Z,"['Amazon S3 CDN', 'CoreUI', 'Fastly CDN', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Homes.com CMS', 'Instagram Follow Button', 'Microdata for Google Shopping', 'New Relic', 'PropertyBase', 'QUIC', 'Storyblocks', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'jQuery Pin It Button for Images', 'reCAPTCHA']"
teamlavenderorganizes.com,Professional Organizer in Alexandria VA | Expert Home & Office Organizers,Lavender Organizes,USA,77,29531,2026-04-12T20:08:20.009205857Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Astra Theme', 'Calendly', 'Cloudflare', 'Cloudflare Turnstile', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Investor Relations', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ntent', 'PHP', 'Perl', 'Premium Addons for Elementor', 'PropertyBase', 'QUIC', 'Share Link', 'Table Addons for Elementor', 'Theme In WP', 'TrustIndex', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'WP Rocket', 'WPForms', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'hCaptcha', 'jQuery', 'reCAPTCHA']"
guernevilleromantic.com,New Listings,The City Country Group @ Vanguard Properties,VEN,72,74433,2026-04-11T04:38:19.980897512Z,"['Amazon S3 CDN', 'Apture Linking Platform', 'Cisco/Arrowpoint Content Service Switch', 'CoreUI', 'Fastly CDN', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Homes.com CMS', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'New Relic', 'PropertyBase', 'QUIC', 'SMC', 'Storyblocks', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Yelp Badge', 'YouTube', 'jQuery Pin It Button for Images', 'reCAPTCHA']"
westchopmv.com,Martha's Vineyard Real Estate | Martha's Vineyard Vacation Rentals,,,62,9035,2026-04-10T08:41:20.021607462Z,"['Amazon CloudFront', 'Bulma', 'CloudFront', 'Facebook Like', 'Fastly CDN', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'PropertyBase', 'QUIC', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'jQuery Pin It Button for Images']"
encore-boston.com,"Encore Realty | Boston, MA Real Estate Sales & Rentals",Encore Realty,USA,77,21536,2026-04-09T11:11:20.020106912Z,"['Amazon CloudFront', 'Bulma', 'CloudFront', 'DAV', 'DoubleClick Bid Manager', 'Fastly CDN', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Flights Conversion Tracking', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Homes.com CMS', 'IcoMoon', 'Microdata for Google Shopping', 'Neighborhoods', 'Perl', 'PropertyBase', 'Prospective', 'QUIC', 'Schema Plugin', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'Yelp Badge', 'reCAPTCHA']"
08817realtor.com,Kasa Bella Realty – Edison & Central NJ Homes,,,62,20153,2026-04-07T02:50:19.989380115Z,"['Amazon S3 CDN', 'CoreUI', 'Fastly CDN', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Homes.com CMS', 'IcoMoon', 'Neighborhoods', 'New Relic', 'PropertyBase', 'Storyblocks', 'Tailwind CSS', 'UTF-8', 'jQuery Pin It Button for Images', 'reCAPTCHA']"
newenglandlofts.com,Doherty Properties,Doherty Properties,USA,67,10057,2026-04-04T11:56:19.978414702Z,"['Amazon CloudFront', 'CloudFront', 'Facebook Like', 'Fastly CDN', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Pagekit', 'PropertyBase', 'QUIC', 'Share Link', 'Twitter Ads', 'UTF-8', 'YouTube', 'accessiBe', 'jQuery Pin It Button for Images']"
