domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
wkndhour.com,WKNDHRS – Your extended team,,,57,38675,2026-04-29T11:05:20.00665041Z,"['A-ADS', 'A9 Direct', 'ADFOX', 'Adform Direct', 'AdsKeeper', 'Adult Content', 'Afiliados', 'Amazon', 'Amazon CloudFront', 'Amazon WAF Blocked', 'AvantMetrics', 'Baidu Ads', 'Baidu Cloud', 'Band Camp', 'Bongacams', 'BunnyCDN', 'BunnyCDN General', 'Camp', 'Chaturbate', 'CloudFront', 'Cloudflare', 'Column Shortcodes', 'Content Delivery Network', 'Content ad', 'ContentBox', 'Contento', 'DAV', 'Disqus Comment System for WordPress', 'Double Pimp', 'DoubleClick Bid Manager', 'ExoClick', 'Express', 'FriendFinder Networks', 'GZIP Module', 'Gambling Content', 'GenerateBlocks', 'Google Adsense', 'Google Flights Conversion Tracking', 'Instagram Follow Button', 'Line2', 'Live Partners', 'LiveInternet', 'M247', 'Material-UI', 'NFOrce Internet', 'Netlify', 'No-Q', 'Outbrain Direct', 'Perl', 'Prebid', 'Publii', 'Pure.css', 'QUIC', 'RM Education', 'Rakuten Affiliate', 'Say what', 'SiteW', 'SmartAdServer Direct', 'SolAds Media', 'Stream Mate', 'Taboola Direct', 'Telegram', 'TradeTracker', 'Traffdaq', 'TrafficJunky', 'UTF-8', 'Vignette OpenText', 'WF Cookie Consent', 'Way', 'Yahoo Image CDN', 'Yandex Hosting', 'YouTube', 'Zanox', 'admitad', 'financeAds']"
mariedunnechf.org,Homepage,,CAN,72,117309,2026-04-29T09:50:19.982287615Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Coming Soon Page', 'Content Delivery Network', 'DC74', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'K2F', 'Microdata for Google Shopping', 'NFOrce Internet', 'POWr', 'PWA', 'Publii', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'UTF-8', 'University or College', 'Vector Internet Services', 'Wix', 'Wix Media', 'YouTube', 'eLand', 'mlcom']"
ozsan.com.tr,ozsan®,ozsan®,TUR,45,49,2026-04-28T21:19:52.428172847Z,"['Alternate Protocol', 'GZIP Module', 'Microdata for Google Shopping', 'Publii', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin']"
danielzizza.com,DanielZizza.com,DanielZizza.com,CHN,67,1177,2026-04-28T20:23:19.99020054Z,"['Content Delivery Network', 'Microdata for Google Shopping', 'Netlify', 'Publii', 'Thank You', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'uPress']"
em-time.com,EM-Time,EM-Time,GBR,65,3485,2026-04-28T18:59:19.995362231Z,"['Alternate Protocol', 'Content Delivery Network', 'Express', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'Juicer', 'Juicer DMP', 'Microdata for Google Shopping', 'Publii', 'Twitter Ads', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin']"
suzannecounselling.com,www.suzannecounselling.com,www.suzannecounselling.com,,55,115,2026-04-28T12:35:19.998120196Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'CloudFront', 'Content Delivery Network', 'GZIP Module', 'Microdata for Google Shopping', 'Publii', 'WordPress SEO Structured Data Schema Plugin']"
lexislearn.co.uk,Latin and Greek Teacher,Lexis Learn,,57,49,2026-04-28T11:35:19.984158245Z,"['Alternate Protocol', 'Content Delivery Network', 'Microdata for Google Shopping', 'Netlify', 'Publii', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'YouTube']"
sanderspianostudio.com,Sanders Piano Studio,Sanders Piano Studio,,47,712,2026-04-28T08:32:19.991693188Z,"['Alternate Protocol', 'Content Delivery Network', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Microdata for Google Shopping', 'Publii', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin']"
teddancestudio.com,Home - Ted Motyka Dance Studio,,CAN,77,4949,2026-04-27T21:17:19.985781767Z,"['Content Delivery Network', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Cloud CDN', 'Microdata for Google Shopping', 'Publii', 'QUIC', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'YouTube']"
briandesign.co.uk,briandesign,briandesign,,25,649,2026-04-27T15:38:19.994804832Z,"['Alternate Protocol', 'Content Delivery Network', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'Microdata for Google Shopping', 'Publii', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin']"
