domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
shihtzurealty.com,SHIH TZU REALTY,,GBR,65,19959,2026-03-20T18:08:09.69411295Z,"['Alternate Protocol', 'Apache', 'DAV', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Financial Services Guide', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Houzez', 'HubSpot WordPress Plugin', 'Instagram Follow Button', 'PHP', 'Prospective', 'Pusher', 'QUIC', 'Redux Framework', 'Slider Revolution', 'Subversion', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'University or College', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery', 'shadcn ui']"
portlandrealestateconsulting.com,"Home - Portland Real Estate Consulting, Inc.",,GBR,87,48851,2026-03-20T10:10:25.494274705Z,"['AgentFire', 'Alternate Protocol', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Coming Soon Page', 'Content Delivery Network', 'EmbedPress', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'K2F', 'Matomo', 'Matomo Tag Manager', 'Microdata for Google Shopping', 'Ntent', 'Pico CSS', 'Pusher', 'QUIC', 'Sapper', 'Sitelinks Search Box', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
millie.homes,Houston Luxury Real Estate | Milica Vasiljevic,Millie Homes,USA,82,26084,2026-03-20T09:48:45.446047573Z,"['Akismet', 'Alternate Protocol', 'Amazon', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Contact Form Plugin', 'Content Delivery Network', 'Elfsight', 'EmbedPress', 'Fireblade', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'InitiativeS', 'Instagram Follow Button', 'Keller Williams Realty', 'Microdata for Google Shopping', 'Neighborhoods', 'PHP', 'Prospective', 'Pusher', 'QUIC', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'YouTube']"
mycommercialadvisor.com,GoCommercial | Florida Commercial Real Estate at Compass,,NZL,82,25992,2026-03-20T05:42:25.796939258Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Cloudflare', 'Coming Soon Page', 'Content Delivery Network', 'Elementor', 'Elementor Custom Skin', 'EmbedPress', 'FEEDZY RSS Feeds', 'GoDaddy', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hello Elementor', 'Instagram Follow Button', 'NFOrce Internet', 'Neighborhoods', 'PHP', 'Parcel', 'Prospective', 'Pusher', 'Subversion', 'Theme In WP', 'UTF-8', 'University or College', 'WP Rocket', 'Wangsu', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery']"
richarealestate.com,"Home - Mark Richa, Cummings & Co. Realtors",,GBR,82,55851,2026-03-20T04:17:11.364824833Z,"['AgentFire', 'Alternate Protocol', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Coming Soon Page', 'Content Delivery Network', 'EmbedPress', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'K2F', 'Matomo', 'Matomo Tag Manager', 'Microdata for Google Shopping', 'Ntent', 'Pico CSS', 'Prospective', 'Pusher', 'QUIC', 'Sapper', 'Sitelinks Search Box', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
askstaci.com,Ask Staci! California Real Estate Agent,Staci Bias Real Estate,USA,77,31010,2026-03-19T21:55:47.124326813Z,"['AgentFire', 'Alternate Protocol', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Coming Soon Page', 'Content Delivery Network', 'EmbedPress', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gravity Forms', 'Instagram Follow Button', 'Matomo', 'Matomo Tag Manager', 'Microdata for Google Shopping', 'Ntent', 'Pico CSS', 'Prospective', 'Pusher', 'QUIC', 'Sapper', 'Sitelinks Search Box', 'Twitter Ads', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
theregionalteam.com,"Home - The Regional Team, Cummings & Co. Realtors",,GBR,82,58910,2026-03-19T16:41:44.24741559Z,"['Adult Content', 'AgentFire', 'Alternate Protocol', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Coming Soon Page', 'Content Delivery Network', 'Cornerstone', 'EmbedPress', 'Fello', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'K2F', 'Matomo', 'Matomo Tag Manager', 'Microdata for Google Shopping', 'Ntent', 'Pico CSS', 'Prospective', 'Pusher', 'QUIC', 'Sapper', 'Sitelinks Search Box', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
velocity-re.com,Velocity Real Estate | Best Places to Live in GA,Velocity Real Estate,ZAF,82,19295,2026-03-19T16:30:09.444023319Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'CleanTalk Spam Protect', 'Coming Soon Page', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hello Elementor', 'Instagram Follow Button', 'JetElements', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'Neighborhoods', 'Ntent', 'PHP', 'Perfmatters', 'Pusher', 'QUIC', 'Sitelinks Search Box', 'Table Addons for Elementor', 'The Post Grid', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Vue.js', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
pressmate.in,Pressmate,,IND,72,2788,2026-03-19T16:01:56.545650178Z,"['Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Play', 'Nginx', 'Pusher', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Ubuntu', 'shadcn ui']"
destindressingroom.com,Dressing Room Boutique,,,55,2003,2026-03-19T15:16:16.009284785Z,"['Alternate Protocol', 'Angular', 'BLR', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Nginx', 'Pusher', 'Python', 'Stripe', 'Tumblr', 'Twitter Ads', 'UTF-8', 'reCAPTCHA']"
