domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
mvpro.lt,"AI Agents, Automation and Data Models in Lithuania | MVPRO",MVPRO,,67,5139,2026-09-19T12:14:11.032879529Z,"['Alternate Protocol', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Microdata for Google Shopping', 'Nginx', 'Python', 'Telegram', 'Vector Internet Services', 'shadcn ui']"
browny59.info,Browny Guo,,GBR,77,17767,2026-09-19T12:07:31.418299829Z,"['AWS WAF Challenge', 'Apture Linking Platform', 'Content Delivery Network', 'Font Awesome', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Instagram Follow Button', 'Netlify', 'Python', 'Telegram', 'UTF-8', 'University or College', 'jQuery']"
uptechmentors.in,Uptechmentors,,IND,60,5063,2026-09-19T12:01:42.194248368Z,"['Apache', 'Better Lead Generation Services', 'Endis', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'PHP', 'Python', 'Tailwind CSS', 'YouTube']"
parselab.com,ParseLab | Smart SaaS Solutions,,,42,31599,2026-09-19T12:01:42.188243918Z,"['AWS WAF Challenge', 'Alternate Protocol', 'BLR', 'Better Lead Generation Services', 'Cisco/Arrowpoint Content Service Switch', 'Corporate Governance and Regulatory Compliance', 'Drata', 'Express', 'Fireblade', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'InitiativeS', 'Instagram Follow Button', 'NFOrce Internet', 'Nginx', 'PageFly', 'PartnerStack', 'Python', 'QUIC', 'Salesforce Hosted', 'Shopify', 'Tailwind CSS', 'Tumblr', 'UTF-8', 'Ubuntu', 'University or College', 'Vector Internet Services', 'YouTube', 'shadcn ui']"
geo.rocks,Geography & Coding,,,62,8948,2026-09-19T12:01:42.167271023Z,"['Alternate Protocol', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'GoatCounter', 'Hexo', 'Hugging Face Space', 'Hugo', 'Netlify', 'PWA', 'Python', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'jQuery', 'jsDelivr']"
vrnchndk.in,Varun Chandak | Cloud Security Engineer specializing in Cloud security and Automation,,IND,82,2400,2026-09-19T12:01:42.167526027Z,"['Amazon CloudFront', 'Apache', 'Content Delivery Network', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'InitiativeS', 'Jekyll', 'Microdata for Google Shopping', 'Python', 'QUIC', 'UTF-8']"
degraveermeneer.nl,Graveur inhuren voor evenementen,De Graveer Meneer,NLD,92,173315,2026-09-19T11:53:32.915238739Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Cloudflare', 'DAV', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'FreeBSD', 'GZIP Module', 'Google', 'Google Adsense', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Gravity', 'Hello Elementor', 'Instagram Follow Button', 'Jeg Elementor Kit', 'KeyCDN', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'PHP', 'Python', 'QuadLayers', 'Salesforce Hosted', 'Shopware', 'Table Addons for Elementor', 'UTF-8', 'University or College', 'Vector Internet Services', 'WP Rocket', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'Yandex Hosting', 'YouTube', 'symfony PHP Framework']"
envibit.com,About | envibit.com,,,60,855,2026-09-19T11:50:26.546772609Z,"['Alternate Protocol', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Fastly', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'IcoMoon', 'Microdata for Google Shopping', 'Perl', 'Python', 'QUIC', 'Schema Plugin', 'Tailwind CSS', 'UTF-8', 'Unix']"
mardinlezzetleri.com,Mardin Lezzetleri – Mardin Lezzetleri,,TUR,60,280,2026-09-19T11:38:38.213392817Z,"['AlmaLinux', 'Alternate Protocol', 'Apache', 'Contact Form Plugin', 'Divi', 'Elegant Themes', 'EmbedPress', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'OpenSSL', 'PHP', 'Python', 'Site Kit', 'Subversion', 'Theme In WP', 'UTF-8', 'WP Fastest Cache', 'WPForms', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
hyundai-ioniq.com,Hyundai Ioniq | Smart IT Solutions for Business Innovation,,ZAF,77,39885,2026-09-19T11:31:47.923982895Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Angular', 'Apture Linking Platform', 'Coinbase', 'Coming Soon Page', 'Divi', 'Elegant Themes', 'EmbedPress', 'Express', 'Fireblade', 'Gambling Content', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google No Site Links Search', 'InitiativeS', 'Investor Relations', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'Neighborhoods', 'PHP', 'Perl', 'Prospective', 'Python', 'QUIC', 'Theme In WP', 'UTF-8', 'Underscores', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery']"
