domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
vericreative.com,Veri Creative,,,62,31000,2026-06-01T12:16:29.837513533Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'ElementUI', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Related Website Sites', 'Google Tag Manager', 'Nginx', 'PWA', 'Rackspace Cloud Servers', 'UTF-8', 'Vimeo', 'jQuery']"
srjudo.com,Santa Rosa Judo Club | SRJC,Santa Rosa Judo Club | SRJC,USA,82,177341,2026-06-01T11:21:23.548902073Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'Financial Services Guide', 'GZIP Module', 'Google Customer Reviews', 'Google Related Website Sites', 'HMDG', 'Instagram Follow Button', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'Perl', 'QUIC', 'Rackspace CDN', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'Subversion', 'Thank You', 'UTF-8', 'University or College', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'YouTube', 'eLand', 'mlcom']"
rootedfamilyservices.com,"Austin, TX, Experienced Postpartum Doula, Newborn Care Educator, and Sleep Consultant.",,USA,77,29862,2026-06-01T11:21:23.540478291Z,"['AWS WAF Challenge', 'Amazon CloudFront', 'Amazon WAF Blocked', 'Apture Linking Platform', 'CloudFront', 'DAV', 'Express', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'New Relic', 'Nginx', 'Rackspace CDN', 'Ruby on Rails', 'Tailwind CSS', 'TermsFeed', 'UTF-8', 'UserWay', 'reCAPTCHA']"
cyberriskacademy.org,ICTTF - International Cyber Threat Task Force,,,62,29336,2026-06-01T10:28:17.411460307Z,"['Adit Dental Software', 'Aruba', 'Cloudflare', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'Express', 'Fireblade', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Learnworlds', 'Rackspace CDN', 'Stripe', 'Twitter Ads', 'UTF-8', 'University or College', 'YouTube', 'eLand', 'jQuery']"
wickergroup.com,Wicker Strategic Wealthcare Group - Safeguard Your Wealth,,GBR,82,39931,2026-06-01T09:30:35.964014972Z,"['Amazon WAF Blocked', 'Amazon Widgets', 'Apture Linking Platform', 'Calendly', 'Content Delivery Network', 'Express', 'Financial Industry Regulatory Authority', 'Fireblade', 'GZIP Module', 'Gambling Content', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'ID Services', 'Microdata for Google Shopping', 'NFOrce Internet', 'New Relic', 'Nginx', 'Plausible Analytics', 'Rackspace Cloud Servers', 'Tailwind CSS', 'UTF-8', 'UserWay', 'Wufoo', 'reCAPTCHA', 'shadcn ui']"
magnussp.com,MAGNUS - Sports Performance | Where Science Meets Fitness,,ITA,70,27706,2026-06-01T07:16:57.626040886Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'ConvertFlow', 'Divi', 'Elegant Themes', 'EmbedPress', 'Genesis Blocks', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'PHP', 'Rackspace CDN', 'Theme In WP', 'UTF-8', 'University or College', 'WP Engine', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
sawebhosting.com,SAWebhosting.com – Proudly serving Texas since 1998,,,60,6033,2026-06-01T05:02:19.967996937Z,"['Alternate Protocol', 'Amazon Link Enchancer', 'Amazon Widgets', 'Apache', 'Better Lead Generation Services', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Nginx', 'PHP', 'Rackspace Cloud Servers', 'Theme In WP', 'UTF-8', 'Unix', 'Vultr', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
gloupbodyspa.com,Best Body Sculpting & Contouring in Atlanta - Glo'Up Body Spa,,USA,77,9727,2026-06-01T04:48:54.354738646Z,"['AJAX Libraries API', 'ASP.NET Core', 'Adobe Creative Cloud WebFonts', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'QUIC', 'Rackspace CDN', 'Tailwind CSS', 'Tidio', 'Vagaro', 'jQuery']"
taxgallery.gr,Tax Gallery Athens - ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ - Ηλίας Κάππος | Tax Gallery Athens,Tax Gallery,GRC,77,30366,2026-06-01T01:17:34.730047497Z,"['Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'Divi', 'Elegant Themes', 'EmbedPress', 'Fireblade', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Microdata for Google Shopping', 'PHP', 'Rackspace Cloud Servers', 'Theme In WP', 'UTF-8', 'W3 Total Cache', 'WordPress', 'WordPress Multisite', 'jQuery']"
bostonharbordistillery.com,Boston Harbor Distillery,,USA,77,19134,2026-06-01T00:39:34.349628814Z,"['Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Google Related Website Sites', 'Harbor', 'Instagram Follow Button', 'Microdata for Google Shopping', 'QUIC', 'Rackspace CDN', 'Sapper', 'Schema Plugin', 'Shopify', 'Shopify Collabs', 'To Top', 'UTF-8', 'Upserve', 'UserWay', 'Vector Internet Services', 'hCaptcha', 'reCAPTCHA']"
austintitusstudio.com,Austin Titus STUDIO,AUSTIN TITUS STUDIO,USA,60,1562,2026-05-31T23:27:48.548597823Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Apture Linking Platform', 'Aruba', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'DAV', 'Google Cloud DNS', 'IcoMoon', 'Instagram Follow Button', 'Klaviyo', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Perl', 'QUIC', 'Rackspace CDN', 'Shopify', 'Shopify Collabs', 'Shopify Payments', 'UTF-8', 'Vercel', 'eLand', 'hCaptcha', 'jQuery', 'reCAPTCHA']"
assistedbyvictoria.co.uk,Freelance Personal & Executive Assistant | Get Time Back with Tailored Support,,SYC,82,108621,2026-05-31T19:47:38.975393512Z,"['AWS WAF Challenge', 'Accordion Blocks', 'Accordion FAQ', 'Aruba', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'Rackspace Cloud Servers', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
birmingham-colocation.com,Birmingham Colocation Services | VeloxServ Data Centre,VeloxServ DataCentre,USA,82,15000,2026-05-31T16:21:39.249267847Z,"['Better Lead Generation Services', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'LiteSpeed', 'Microdata for Google Shopping', 'QUIC', 'Rackspace Cloud Servers', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
pureblanco.com,VH1 Cartel Crew - Pure Blanco Clothing - Griselda Blanco - Narcos,,USA,82,23304,2026-05-31T16:03:04.173572227Z,"['Apture Linking Platform', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'Fastly', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'IcoMoon', 'Instagram Follow Button', 'MailChimp', 'Microdata for Google Shopping', 'Privy', 'QUIC', 'Rackspace CDN', 'Refersion', 'Schema Plugin', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'YouTube', 'eLand', 'hCaptcha', 'jQuery', 'reCAPTCHA']"
solmodus.com,"Solar Energy Solutions near Scarborough, Ontario | Sol Modus",,CAN,77,84801,2026-05-31T13:58:30.141317034Z,"['Amazon CloudFront', 'Amazon WAF Blocked', 'Apture Linking Platform', 'CloudFront', 'Font Awesome', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'KVH', 'New Relic', 'Nginx', 'No-Q', 'QUIC', 'Rackspace CDN', 'Ruby on Rails', 'SMC', 'Tailwind CSS', 'UTF-8', 'reCAPTCHA']"
