domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
teh-nadzor.pro,"Строительный контроль, Обследование зданий, Обмерные работы, экспертиза ремонта - teh-nadzor.pro, г. Москва и Московская область",,RUS,62,8400,2026-02-01T18:53:10.283609431Z,"['ADFOX', 'Create React App', 'OpenResty', 'PWA', 'Pleroma', 'Telegram', 'UTF-8', 'Yandex Hosting', 'Yandex Metrika', 'YouTube']"
hierdemanllc.com,Home - Hierdeman Construction LLC,,LUX,65,17440,2026-02-01T18:46:48.867036089Z,"['Create React App', 'ElementUI', 'Fireblade', 'Google', 'Google Cloud DNS', 'Google Font API', 'LiteSpeed', 'PHP', 'Pleroma', 'QUIC', 'UTF-8']"
replyleadgrowthengine.com,replylead,,,45,63,2026-02-01T18:33:03.81464582Z,"['Better Lead Generation Services', 'Calendly', 'ClickOn', 'Content Delivery Network', 'Create React App', 'ElementUI', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'OpenResty', 'PWA', 'Pleroma', 'UTF-8', 'jsDelivr']"
cheeky-essentials.com,Cheeky Essentials | Cheeky Essentials General Store,Cheeky Essentials,SGP,82,44564,2026-02-01T18:18:40.773180755Z,"['AJAX Libraries API', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Create React App', 'Express', 'Google Cloud DNS', 'Google Related Website Sites', 'GraphQL', 'IcoMoon', 'Microdata for Google Shopping', 'Pleroma', 'QUIC', 'Shopify', 'Shopify Collabs', 'Svelte', 'Tailwind CSS', 'UTF-8', 'Vignette OpenText', 'eLand', 'hCaptcha', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
kb-kbod.com,KBOD,,CHN,65,2440,2026-02-01T17:42:02.202322131Z,"['CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Create React App', 'DAV', 'ElementUI', 'Google', 'Google Cloud DNS', 'Google Font API', 'Pleroma', 'Tailwind CSS', 'UTF-8', 'jsDelivr']"
vidyodaydsms.in,Vidyoday 2025 - 4th International Conference,,IND,70,30720,2026-02-01T17:40:48.865903163Z,"['AWS WAF Challenge', 'Apache', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Create React App', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Perl', 'Pleroma', 'UTF-8', 'University or College', 'jsDelivr']"
trenchart.us,Trench Art | David Axe | Substack,,,62,29968,2026-02-01T17:04:07.595176243Z,"['Alternate Protocol', 'Amazon S3 CDN', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Create React App', 'DAV', 'Drata', 'Express', 'Google', 'Google Cloud CDN', 'Gravity', 'Headless UI', 'IcoMoon', 'Microdata for Google Shopping', 'NFOrce Internet', 'Onyx Internet', 'Pleroma', 'QUIC', 'Sentry', 'Sitelinks Search Box', 'Storyblocks', 'UTF-8', 'University or College']"
fusemonterey.com,HVAC Monterey | Fuse Service,,USA,82,22875,2026-02-01T16:22:48.891887255Z,"['AWS WAF Challenge', 'Angular', 'CallRail', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'CookieYes', 'Create React App', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google', 'Google Analytics', 'Google Customer Reviews', 'Google My Business', 'Google Tag Manager', 'Housecall Pro', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Pleroma', 'QUIC', 'Site Kit', 'Theme In WP', 'TrustIndex', 'UTF-8', 'WPForms', 'WordPress', 'WordPress Multisite', 'Yelp Badge', 'YouTube', 'jQuery', 'reCAPTCHA']"
megaplaytime.com,MEGAplaytime,,,62,43500,2026-02-01T16:22:48.871312823Z,"['AWS WAF Challenge', 'About Cookies', 'Alternate Protocol', 'Amazon WAF Blocked', 'Create React App', 'Express', 'Fireblade', 'GZIP Module', 'Google My Business', 'NFOrce Internet', 'PWA', 'Perl', 'Prospective', 'Vector Internet Services', 'WordPress', 'eLand']"
mardenbasketballcentre.com,MBC - Home,,,30,99,2026-02-01T16:07:48.891140528Z,"['Create React App', 'Font Awesome', 'GZIP Module', 'Pleroma', 'Python', 'QUIC', 'UTF-8']"
