domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
forsalenb.ca,3 Percent Realty Atlantic Inc : Home,,CAN,70,61724,2026-05-07T21:11:19.995730446Z,"['Apache', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'HMDG', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Pexels', 'QUIC', 'RealPage', 'Realtor Canada', 'Twitter Ads', 'UTF-8', 'Unsplash', 'YouTube', 'myRealPage']"
parkat55th.com,"Apartments for Rent in Glendale, AZ | Park at 55th - Home",,USA,92,64057,2026-05-07T20:53:59.067776766Z,"['AJAX Libraries API', 'Adult Content', 'Akamai Global Host', 'AutoComplete', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Fancybox for WordPress', 'Fontello', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Kentico Xperience', 'Microdata for Google Shopping', 'OneTrust Domain Verification', 'Parcel', 'QUIC', 'RealPage', 'Schema Plugin', 'Tailwind CSS', 'Thank You', 'UTF-8', 'University or College', 'WordPress SEO Structured Data Schema Plugin', 'jQuery', 'jsDelivr']"
gchome.ca,GianCarlo Cerminara : RE/MAX CREST REALTY : Home,,CAN,70,44432,2026-05-07T19:29:20.000251874Z,"['Apache', 'Express', 'Federal Deposit Insurance Corporation', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Homes.com CMS', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Pexels', 'QUIC', 'RealPage', 'Twitter Ads', 'UTF-8', 'University or College', 'YouTube', 'myRealPage']"
tikirobs.com,Tikirobs.com: Rob Holmstrom Voted a 2025 Best in Client Satisfaction Real Estate Agent,,USA,82,41636,2026-05-07T18:16:40.859967125Z,"['Apache', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'RealPage', 'Tailwind CSS', 'UTF-8', 'Unsplash', 'myRealPage']"
victoriacrossingstaugustine.com,Premier Apartment St. Augustine - St. Augustine Apartment for Rent | Victoria Crossing,,,62,47250,2026-05-07T18:08:46.270110515Z,"['AJAX Libraries API', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon S3 CDN', 'CloudFront', 'Content Delivery Network', 'ElementUI', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'RealPage', 'Storyblocks', 'Tailwind CSS', 'UTF-8', 'UserWay', 'WF Cookie Consent', 'jsDelivr', 'reCAPTCHA']"
buyandsellwithjustin.com,Justin Eden : Stein Team Realty : Home,,USA,75,44900,2026-05-07T16:50:19.997717324Z,"['Apache', 'Call to Visit', 'Elfsight', 'GZIP Module', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Hotjar', 'IcoMoon', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Neighborhoods', 'RealPage', 'UTF-8', 'University or College', 'myRealPage']"
stiegandmanning.com,Stieg & Manning : Real Estate Team : Home,,SYC,70,63552,2026-05-07T16:23:19.993857108Z,"['AWS WAF Challenge', 'Apache', 'Federal Deposit Insurance Corporation', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Pexels', 'Prospective', 'QUIC', 'RealPage', 'UTF-8', 'WhatsApp Sharing', 'YouTube', 'myRealPage']"
wendihomes.com,Wendi Neuman : RE/MAX Westcoast : Home,,CAN,70,64432,2026-05-07T15:29:20.014907804Z,"['Apache', 'Express', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'HMDG', 'Homes.com CMS', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'RealPage', 'Thank You', 'UTF-8', 'University or College', 'myRealPage']"
enveloperealestate.com,The Envelope Real Estate Group | Data-Driven London ON Realtors,,GBR,82,41636,2026-05-07T14:36:52.905303825Z,"['Apache', 'Bing Cashback', 'Bing Conversion Tracking', 'DAV', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Pexels', 'QUIC', 'RealPage', 'Tailwind CSS', 'Thank You', 'UTF-8', 'Unsplash', 'myRealPage']"
fairfieldcove.net,"Home - Fairfield Cove Apartments - Houston, TX",,USA,77,49318,2026-05-07T14:17:20.006432238Z,"['Apartments247', 'GZIP Module', 'Global Privacy Control', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Nginx', 'QUIC', 'RealPage', 'Tailwind CSS', 'UTF-8', 'reCAPTCHA']"
farmlandsask.ca,Adam Sheppard : Realty Executives Prosperity : Home,,CAN,70,40964,2026-05-07T10:53:19.98287459Z,"['Apache', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Microdata for Google Shopping', 'QUIC', 'RealPage', 'Tailwind CSS', 'UTF-8', 'Unsplash', 'Vimeo', 'myRealPage']"
belindakissack.com,Belinda Kissack : Cowichan Valley listings and sales prices : Home,,SYC,77,40832,2026-05-07T09:59:19.981604088Z,"['Apache', 'Financial Services Guide', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'RealPage', 'UTF-8', 'WhatsApp Sharing', 'myRealPage']"
carleydiack.ca,Carley Diack : Advantage Property Management - Real Estate Division : Home,,CAN,70,41192,2026-05-07T09:56:19.998443608Z,"['Apache', 'Apture Linking Platform', 'Express', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'IXACT Contact', 'Instagram Follow Button', 'Microdata for Google Shopping', 'RealPage', 'SnapWidget', 'UTF-8', 'myRealPage']"
cindyarmstrong.net,Cindy Armstrong : Home,,SYC,70,43562,2026-05-07T09:53:20.020023791Z,"['Apache', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'No-Q', 'QUIC', 'RealPage', 'UTF-8', 'YouTube', 'myRealPage']"
charlenespeers.com,Charlene Speers : RE/MAX Real Estate : Home,,CAN,75,40916,2026-05-07T09:53:20.002474032Z,"['Apache', 'Federal Deposit Insurance Corporation', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Pexels', 'QUIC', 'RealPage', 'Tailwind CSS', 'UTF-8', 'Unsplash', 'myRealPage']"
denmanislandhomes.ca,Jordan McDonald Personal Real Estate Corporation : RE/MAX Ocean Pacific Realty (crtny) : Home,,SYC,70,40916,2026-05-07T09:53:19.982692961Z,"['Apache', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Investor Relations', 'Line2', 'Microdata for Google Shopping', 'Pexels', 'RealPage', 'Tailwind CSS', 'UTF-8', 'University or College', 'Unsplash', 'YouTube', 'myRealPage']"
foresthillcollingwood.com,Forest Hill Real Estate Collingwood : Local Expertise with Global Reach : Home,,USA,70,40916,2026-05-07T09:50:19.976935927Z,"['Apache', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Pexels', 'QUIC', 'RealPage', 'Tailwind CSS', 'UTF-8', 'Unsplash', 'myRealPage']"
genewolverton.com,Gene Wolverton Real Estate : Shuswap Real Estate Services : Salmon Arm & Surrounding Area : Home,,CAN,75,42966,2026-05-07T09:47:20.020296587Z,"['Apache', 'Facebook Customer Chat SDK', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'Financial Services Guide', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'No-Q', 'QUIC', 'RealPage', 'Realtor Canada', 'Twitter Ads', 'UTF-8', 'Unsplash', 'WordPress', 'myRealPage']"
gregorycoram.com,Downtown Vancouver and Sunshine Coast : Home,,CAN,82,40832,2026-05-07T09:47:20.015889197Z,"['Apache', 'Express', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'RealPage', 'UTF-8', 'myRealPage']"
hollypower.ca,Holly Power : Your Trusted Real Estate Consultant : Home,,CAN,70,41636,2026-05-07T09:47:20.006067121Z,"['Apache', 'Express', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'RealPage', 'Tailwind CSS', 'UTF-8', 'Unsplash', 'YouTube', 'myRealPage']"
homesbycornelia.ca,Cornelia Schuster : RE/MAX Kelowna : Home,,CAN,70,61916,2026-05-07T09:47:19.997529689Z,"['Apache', 'Financial Services Guide', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'KVH', 'Line2', 'Microdata for Google Shopping', 'Pexels', 'QUIC', 'RealPage', 'Realtor Canada', 'Tailwind CSS', 'UTF-8', 'Unsplash', 'myRealPage']"
homesweethomeinbc.com,Vicki Lee : RE/MAX City Realty : Home,,CAN,70,41246,2026-05-07T09:47:19.989204668Z,"['Apache', 'Express', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'No-Q', 'Pexels', 'RealPage', 'Tailwind CSS', 'UTF-8', 'Unsplash', 'myRealPage']"
findhometoronto.ca,TOPGAN IN REAL ESTATE : REAL ESTATE REFINED : Home,,CAN,70,60916,2026-05-07T09:44:19.98662038Z,"['Apache', 'DAV', 'Financial Services Guide', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'KVH', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'RealPage', 'Tailwind CSS', 'UTF-8', 'Unsplash', 'YouTube', 'myRealPage']"
johncaldarella.ca,John Caldarella : TRG The Residential Group Downtown Realty : Home,,CAN,70,43616,2026-05-07T09:41:20.016935893Z,"['Apache', 'ETranslate', 'Express', 'GTranslate', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'RealPage', 'Twitter Ads', 'UTF-8', 'Unsplash', 'WhatsApp Sharing', 'YouTube', 'myRealPage']"
katieanderson.ca,Katie Anderson : | Macdonald Realty Ltd : Home,,CAN,77,43676,2026-05-07T09:38:20.011719791Z,"['Apache', 'Elfsight', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'RealPage', 'Tailwind CSS', 'UTF-8', 'Unsplash', 'YouTube', 'myRealPage']"
lydiapenner.com,Lydia Penner : Your Winnipeg REALTOR® that will go the extra mile...because I care! : Home,,CAN,70,42804,2026-05-07T09:38:19.980518861Z,"['Apache', 'Elfsight', 'GZIP Module', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Pexels', 'QUIC', 'RealPage', 'Realtor Canada', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Unsplash', 'YouTube', 'myRealPage']"
moreirarealestategroup.com,Moreira Real Estate Group : Thrive Realty Group : Home,,GBR,70,55832,2026-05-07T09:35:19.994123496Z,"['AWS WAF Challenge', 'Apache', 'Federal Deposit Insurance Corporation', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'RealPage', 'Subversion', 'Tailwind CSS', 'Thank You', 'UTF-8', 'myRealPage']"
ottawahomesales.com,"Wayne Clermont & Lucie Clermont : Real Estate with Heart, Dedication and Expertise. : Home",,CAN,75,76916,2026-05-07T09:32:19.997128899Z,"['AWS WAF Challenge', 'Apache', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'HMDG', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'RealPage', 'Realtor Canada', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Unsplash', 'YouTube', 'myRealPage']"
simonatantas.com,SIMONA TANTAS : REMAX River City : index.html,,BRA,75,41916,2026-05-07T09:26:19.981536278Z,"['Apache', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Pexels', 'QUIC', 'RealPage', 'Realtor Canada', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Unsplash', 'myRealPage']"
southislandhometeam.com,South Island Home Team: Southern Vancouver Island B.C Real Estate - Call: 250-474-4800,,SYC,82,102566,2026-05-07T09:23:20.014643617Z,"['AAPT', 'AWS WAF Challenge', 'Apache', 'DAV', 'Elfsight', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Financial Services Guide', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Instagram Follow Button', 'K2F', 'Line2', 'Microdata for Google Shopping', 'No-Q', 'QUIC', 'RealPage', 'Twitter Ads', 'UTF-8', 'Unsplash', 'Vimeo', 'Visx', 'myRealPage']"
suesabo.ca,Sue Sabo : Royal LePage Nanaimo Realty : Home,,SYC,70,55724,2026-05-07T09:23:19.976806431Z,"['Apache', 'Fireblade', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Microdata for Google Shopping', 'QUIC', 'RealPage', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Unsplash', 'YouTube', 'myRealPage']"
tarkan.ca,Serhan Tarkan : Royal LePage Benchmark : Home,,CAN,82,47854,2026-05-07T09:20:20.008174644Z,"['Apache', 'Coming Soon Page', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Paessler', 'Pexels', 'QUIC', 'RealPage', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Unsplash', 'YouTube', 'myRealPage']"
neilraj.ca,Neil Rajasooriar : Stonehaus Realty : index.html,,CAN,75,40916,2026-05-07T08:44:19.996426079Z,"['Apache', 'Express', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'RealPage', 'UTF-8', 'Unsplash', 'myRealPage']"
copperridgekc.com,"Luxury Apartments for Rent in Liberty, MO | COPPER RIDGE APARTMENTS - Home",,,82,63688,2026-05-07T06:15:17.174603534Z,"['AJAX Libraries API', 'Akamai Global Host', 'Apture Linking Platform', 'AutoComplete', 'Content Delivery Network', 'Font Awesome', 'Fontello', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Kentico Xperience', 'Microdata for Google Shopping', 'Neighborhoods', 'OneTrust Domain Verification', 'QUIC', 'RealPage', 'Schema Plugin', 'Tailwind CSS', 'UTF-8', 'University or College', 'WordPress SEO Structured Data Schema Plugin', 'jQuery', 'jsDelivr']"
landmark-property.com,Landmark Property Services Inc. | Property Management,,USA,77,68066,2026-05-07T05:35:19.982584545Z,"['AJAX Libraries API', 'Akamai Global Host', 'AutoComplete', 'CallRail', 'Content Delivery Network', 'Foundation', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Homes.com CMS', 'Instagram Follow Button', 'Kentico Xperience', 'Microdata for Google Shopping', 'Neighborhoods', 'OneTrust Domain Verification', 'PHP', 'QUIC', 'RealPage', 'Schema Plugin', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'jQuery', 'jsDelivr']"
arborsatwesternbranch.com,Affordable New & Luxury Senior Living Apartments Chesapeake | One & Two Bedroom Apartment Rentals For Ages 62,The Arbors at Western Branch,USA,82,43344,2026-05-07T05:29:05.219359147Z,"['Alternate Protocol', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'CrazyEgg', 'Divi', 'Elegant Themes', 'EmbedPress', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Microdata for Google Shopping', 'PHP', 'RealPage', 'Thank You', 'Theme In WP', 'UTF-8', 'UserWay', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
sequoiameadows.com,"Sequoia Meadows | Las Vegas, NV | Welcome Home",,USA,92,64216,2026-05-07T04:12:52.650144383Z,"['AJAX Libraries API', 'Adult Content', 'Akamai Global Host', 'AutoComplete', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Content Delivery Network', 'Fancybox for WordPress', 'Fontello', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Kentico Xperience', 'License Buttons', 'Microdata for Google Shopping', 'OneTrust Domain Verification', 'Parcel', 'QUIC', 'RealPage', 'Schema Plugin', 'SiteW', 'Tailwind CSS', 'Thank You', 'UTF-8', 'University or College', 'WordPress SEO Structured Data Schema Plugin', 'jQuery', 'jsDelivr']"
livecoppermill.com,"Copper Mill | San Antonio, TX | Welcome Home",,USA,92,64417,2026-05-07T04:02:24.32905488Z,"['AJAX Libraries API', 'Adult Content', 'Akamai Global Host', 'Amazon CloudFront', 'AutoComplete', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Fancybox for WordPress', 'Fontello', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Kentico Xperience', 'License Buttons', 'Microdata for Google Shopping', 'OneTrust Domain Verification', 'Parcel', 'QUIC', 'RealPage', 'Schema Plugin', 'SiteW', 'Tailwind CSS', 'Thank You', 'UTF-8', 'University or College', 'Vimeo', 'WordPress SEO Structured Data Schema Plugin', 'jQuery', 'jsDelivr']"
weinbergvillagesapts.com,Comfortable Apartment Homes | Weinberg Villages | Maryland,Weinberg Villages,USA,82,50093,2026-05-07T02:33:45.926433046Z,"['Alternate Protocol', 'Baidu Cloud', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Divi', 'Duoban', 'Elegant Themes', 'EmbedPress', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Gtranslate for Wordpress', 'Loomly', 'Microdata for Google Shopping', 'PHP', 'RealPage', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'Yandex Hosting', 'jQuery', 'reCAPTCHA']"
darrenbostock.com,Darren Bostock Realtor® : Global Direct Realty Inc. : Regina Realtor®,,CAN,77,91832,2026-05-06T22:57:55.992689917Z,"['AWS WAF Challenge', 'Apache', 'Federal Deposit Insurance Corporation', 'Fireblade', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'KVH', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'RealPage', 'Realtor Canada', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'YouTube', 'myRealPage']"
peereboommacfarlane.com,"Stacy Peereboom Isla MacFarlane : RE/MAX Aboutowne Realty Corp., Brokerage : Home",,CAN,70,48832,2026-05-06T22:38:58.681420851Z,"['Apache', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Negate', 'Neighborhoods', 'QUIC', 'RealPage', 'Tailwind CSS', 'UTF-8', 'jsDelivr', 'myRealPage']"
