domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
mobileyumyum1.com,"Best Catering in Richmond, VA | MYY Catering & Food Trucks",Mobile Yum Yum,USA,77,13448,2026-04-27T12:28:42.57574489Z,"['Bing Cashback', 'CDN JS', 'Canva Websites', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'GZIP Module', 'GoDaddy', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'Reamaze', 'Resy', 'Twitter Ads', 'UTF-8', 'Yelp Badge', 'YouTube', 'reCAPTCHA']"
lespecialitamiami.com,Le specialita | Coconut Grove’s premier dining destination,Le Specialita,,65,32412,2026-04-27T11:46:46.237881949Z,"['Alternate Protocol', 'Apture Linking Platform', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'ElementUI', 'EmbedPress', 'Express', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Gusto', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'NitroPack', 'O2MC Dimml', 'PHP', 'Parallels Plesk Panel', 'Resy', 'Tailwind CSS', 'Toast POS', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jsDelivr', 'reCAPTCHA']"
thetuskbar.com,Brass & The Tusk Bar,,,60,30296,2026-04-27T11:25:33.578932324Z,"['Accordion Blocks', 'Aruba', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'OpenTable', 'QUIC', 'Resy', 'SiteW', 'Squarespace', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
helenssausage.com,"Helen's Sausage House | Breakfast spot in Smyrna, DE",Helen's Sausage House,USA,82,12240,2026-04-27T10:16:11.938117739Z,"['Alternate Protocol', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Fastly', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'Resy', 'UTF-8', 'YouTube', 'reCAPTCHA']"
theeddypub.com,"The Eddy Pub - Saxapahaw Gastropub, Comfort Food, Local, Sustainable",The Eddy Pub,USA,77,12253,2026-04-27T09:56:19.989891334Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'Resy', 'Squarespace', 'Toast POS', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
sesamorestaurant.com,"SESAMO - Best Italian Restaurant In Hell's Kitchen, New York City",,USA,82,26332,2026-04-27T09:20:20.008244546Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Bulma', 'Call to Visit', 'Cloudflare', 'Contact Form Plugin', 'Content Delivery Network', 'EmbedPress', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'LayerSlider Responsive', 'Microdata for Google Shopping', 'PHP', 'Resy', 'Sitelinks Search Box', 'Slider Revolution', 'Tailwind CSS', 'Theme In WP', 'Toast POS', 'UTF-8', 'Uncode', 'WP Engine', 'WPBakery', 'WordPress', 'WordPress Multisite', 'jQuery']"
beachandbrewvenice.com,Beach and Brew Venice | Restaurant and Bar,Beach and Brew Venice,USA,67,141741,2026-04-27T09:11:19.999015015Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'Resy', 'SMC', 'Sentry', 'SiteW', 'Subversion', 'Toast POS', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'mlcom']"
pochabyk.com,"POCHA Korean By Kye-Won | Korean Food in Pittsburgh | Saxonburg, PA, USA",Pocha by Kye-Won,USA,77,139028,2026-04-27T08:44:20.004912721Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'Resy', 'SMC', 'Sentry', 'SiteW', 'Subversion', 'Thank You', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom']"
tomoninyc.com,Tomoni,,USA,67,89613,2026-04-27T08:26:20.018200073Z,"['Aruba', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'Resy', 'SiteW', 'Squarespace', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
giuliettasitalian.com,Giulietta's Italian Steakhouse | Italian Restaurant in Lawrenceburg Indiana,,ITA,82,26833,2026-04-27T07:59:19.98587298Z,"['AWS WAF Challenge', 'Add to Any', 'Alternate Protocol', 'Automattic', 'Brevo', 'Bridge', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Contact Form Plugin', 'Elementor', 'EmbedPress', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Jetpack', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'PHP', 'Qi Addons For Elementor', 'Resy', 'Schema Plugin', 'Sitelinks Search Box', 'Slider Revolution', 'Telegram', 'Theme In WP', 'UTF-8', 'WPBakery', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'eLand', 'jQuery']"
logansatroyallakes.com,Logan's Bar and Bistro,,,50,28472,2026-04-27T07:38:35.348712728Z,"['Aruba', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'Resy', 'SiteW', 'Squarespace', 'Toast POS', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
shopbotanic.com,ShopBotanic – OF AND FOR THE EARTH,,,60,3795,2026-04-27T07:35:19.985634485Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'EmbedPress', 'Event Tickets for Wordpress', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'Line2', 'Nectar Slide Plugin', 'PHP', 'Popup Maker for Wordpress', 'QUIC', 'Resy', 'Salient', 'Slider Revolution', 'The Events Calendar', 'Theme In WP', 'UTF-8', 'WP Engine', 'WPBakery', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
wildfether.com,Wildfether Distilling,Wildfether Distilling,,62,10124,2026-04-27T07:29:19.044004625Z,"['Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Google My Business', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'QUIC', 'Resy', 'Shipping Rates Calculator', 'Shopify', 'Shopify Collabs', 'Square', 'Tailwind CSS', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
magnoliamay.com,Magnolia & May,Magnolia & May,USA,72,40048,2026-04-27T07:08:17.378623704Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'DAV', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Line2', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Pico CSS', 'QUIC', 'Resy', 'Squarespace', 'The Fresh', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
primeandprovisions.com,"Prime & Provisions | Best Steakhouse in Chicago, IL",Prime & Provisions,USA,77,21690,2026-04-27T06:44:19.993627101Z,"['Alternate Protocol', 'AudioEye', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Fastly', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'OpenTable', 'Resy', 'Thank You', 'UTF-8', 'Vector Internet Services', 'Yelp Badge', 'reCAPTCHA']"
perrosalado.com,Perro Salado,,GBR,55,4300,2026-04-27T05:08:19.996256516Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'Resy', 'Squarespace', 'UTF-8', 'Upserve', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
whitewineandbutter.com,White Wine & Butter - Best Restaurant In Greer SC,,USA,77,16140,2026-04-27T04:50:20.002377089Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Instagram Follow Button', 'Nuxt.js', 'Resy', 'Tailwind CSS', 'Thank You', 'UTF-8', 'University or College', 'Vector Internet Services', 'reCAPTCHA', 'shadcn ui']"
pazzanj.com,"Pazza - Franklin Lakes, NJ",,USA,70,15495,2026-04-27T04:36:59.07833Z,"['ChowNow', 'Cloudinary', 'ElementUI', 'Fastly', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Hostme App', 'IcoMoon', 'Instagram Follow Button', 'Microsoft Authentication Library for JavaScript', 'Resy', 'Tailwind CSS', 'UTF-8', 'WP Job Manager', 'Yelp Badge', 'jQuery']"
hallschophousecolumbia.com,"Halls Chophouse- The Columbia Steakhouse - Downtown Columbia, SC",,USA,77,20727,2026-04-27T04:36:59.069036536Z,"['Cloudinary', 'ElementUI', 'Fastly', 'GZIP Module', 'Google Analytics', 'Google Forms', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microsoft Authentication Library for JavaScript', 'NFOrce Internet', 'Resy', 'Tailwind CSS', 'Tripleseat', 'UTF-8', 'University or College', 'WP Job Manager', 'jQuery']"
