domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
kingscrosshyundai.ca,Scarborough Hyundai Dealership | Kingscross Hyundai Dealer Ontario,,USA,77,61557,2026-02-20T09:36:42.063229574Z,"['AI Log', 'AJAX Libraries API', 'Alternate Protocol', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Contact Form Plugin', 'Contento', 'EDealer', 'EmbedPress', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Meta Slider for WordPress', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Roadster', 'Schema Plugin', 'Sitelinks Search Box', 'Theme In WP', 'UTF-8', 'WP Responsive Menu', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
donvalleynorthhyundai.com,"Hyundai Dealership in Markham, Ontario - Don Valley North Hyundai",,USA,77,142014,2026-02-18T17:53:43.288666078Z,"['AI Log', 'Alternate Protocol', 'Amazon CloudFront', 'Angular', 'ArvanCloud', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Contact Form Plugin', 'Content Delivery Network', 'Contento', 'Drip', 'EDealer', 'EmbedPress', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google Customer Reviews', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'Piwik PRO', 'QUIC', 'Roadster', 'SMC', 'Schema Plugin', 'Sitelinks Search Box', 'Smart Slider 3', 'Tailwind CSS', 'TalentNest', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery', 'jsDelivr']"
jamesdphoto.com,James D. Schwartz | Xamarin Mobile App Developer | Digital Marketing Strategist | Data Analyst | Technical Project Manager | Product Owner,,AUS,72,127990,2026-02-05T20:03:08.604095194Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Envoy', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'POWr', 'PWA', 'QUIC', 'Roadster', 'SMC', 'Sentry', 'SiteW', 'Twitter Ads', 'UTF-8', 'University or College', 'Vector Internet Services', 'Wix', 'Wix Media', 'YouTube', 'mlcom']"
willschev.com,"Grimsby Chevrolet Buick GMC: New & Used GM Dealership | Grimsby, ON.",,CAN,77,341952,2026-02-05T14:31:48.871125462Z,"['Adobe Analytics', 'Adobe Marketing Cloud', 'Alternate Protocol', 'Amazon CloudFront', 'AutoComplete', 'CDN JS', 'Clarivoy', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Contact Form Plugin', 'Contento', 'EDealer', 'ElementUI', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'FormSubmit', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Meta Slider for WordPress', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Roadster', 'SMC', 'Schema Plugin', 'Sitelinks Search Box', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
acgcars.us,"Custom Golf Carts by ACG, Inc.",,,57,12000,2026-02-04T19:10:48.872008999Z,"['DoubleClick Bid Manager', 'GZIP Module', 'Instagram Follow Button', 'Roadster', 'YouTube']"
solarsystemstuff.com,Solar System Stuff,,,47,12060,2026-01-13T09:21:07.112798189Z,"['Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'GZIP Module', 'Google Adsense', 'Google Analytics', 'Google Funding Choices', 'Google Matched Content', 'Google Reseller', 'Google Tag Manager', 'Microdata for Google Shopping', 'Roadster', 'Twitter Ads', 'UTF-8', 'Unix', 'YouTube', 'arsys.es']"
carsimple.ca,Buy and sell used cars in Vancouver,CarSimple,CAN,77,51556,2026-01-12T17:54:45.609322313Z,"['501c3 Status Nonprofit', 'AJAX Libraries API', 'Amazon', 'Amazon CloudFront', 'AutoTrader CA', 'Better Lead Generation Services', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'Elfsight', 'Fireblade', 'FormSubmit', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'QUIC', 'Roadster', 'Vector Internet Services', 'Vimeo', 'Vimeo CDN', 'WF Cookie Consent', 'YouTube', 'jsDelivr']"
arrowheadmb.com,Mercedes-Benz Dealership Peoria AZ,,USA,77,46080,2026-01-12T12:40:32.781734581Z,"['Adult Content', 'Amazon', 'Amazon WAF Blocked', 'Apture Linking Platform', 'AudioEye', 'ComplyAuto', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'FormSubmit', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Font API', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'New Relic', 'Nginx', 'QUIC', 'Revolution Parts', 'Roadster', 'Sitelinks Search Box', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'YouTube', 'jQuery']"
electricredroadster.com,Electric Red Roadster – Arrive in Style,,USA,60,13160,2025-12-29T07:19:38.317976905Z,"['Alternate Protocol', 'Automattic', 'BatCache', 'Contact Form Plugin', 'Elementor', 'EmbedPress', 'FareHarbor', 'Fastly', 'Fonts Plugin', 'GiveWP', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Harbor', 'Instagram Follow Button', 'Jetpack', 'Jetpack Site Accelerator', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'PHP', 'Roadster', 'Schema Plugin', 'Slider Revolution', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WP Video Lightbox', 'WPBakery', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery']"
leasefromheather.com,Fleet/Lease | Eagle Ridge GM Coquitlam Dealer BC.,,CAN,77,142781,2025-12-25T04:10:38.320951494Z,"['Alternate Protocol', 'Amazon CloudFront', 'ArvanCloud', 'AutoComplete', 'AutoTrader CA', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Contact Form Plugin', 'Content Delivery Network', 'Contento', 'DAV', 'EDealer', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Financial Services Guide', 'FormSubmit', 'Formidable Pro Form', 'GZIP Module', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IPFS', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'KVH', 'Microdata for Google Shopping', 'Nationwide Mortgage Licensing System and Registry', 'No-Q', 'PHP', 'Pico CSS', 'Podium', 'QUIC', 'Roadster', 'SMC', 'Schema Plugin', 'Subversion', 'Tailwind CSS', 'The Trade Desk Direct', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'WP Featherlight', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'jsDelivr']"
