domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
erpsuccesssystems.com,ERP Success System for Streamlined Financial Workflows,Q&A Marketing Ltd t/a Skilful Pursuit,GBR,82,59378,2026-02-20T03:22:48.563995302Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'Elementor', 'EmbedPress', 'Font Awesome', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Related Website Sites', 'InitiativeS', 'Line2', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'QUIC', 'QUIC.cloud', 'Sage Intacct', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite']"
digital.rlb.ca,RLB Digital - Home | digital.rlb.ca,RLB Digital,,72,51063,2026-02-19T15:37:13.432484458Z,"['Alternate Protocol', 'BambooHR', 'Calendly', 'Contact Form Plugin', 'Elementor', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'KeyCDN', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'PHP', 'QUIC', 'Sage Intacct', 'TI WooCommerce Wishlist', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
informationintelligenceassociation.com,Home | II-Association,,,65,240708,2026-02-19T13:19:00.756040264Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'BloomReach', 'Cisco/Arrowpoint Content Service Switch', 'Content Delivery Network', 'Envoy', 'Ethy', 'Express', 'Fastly', 'Fastly CDN', 'Fireblade', 'GZIP Module', 'Microdata for Google Shopping', 'NFOrce Internet', 'Oracle Cloud', 'PWA', 'QUIC', 'SMC', 'Sage Intacct', 'Sentry', 'SiteW', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
techsol.co.uk,Simplifying Technology with One Trusted Partner | Techsol,Techsol,GBR,87,94781,2026-02-19T12:59:06.268532349Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apache', 'Apture Linking Platform', 'BunnyCDN', 'BunnyCDN General', 'Cookie Control', 'Elementor', 'EmbedPress', 'Fireblade', 'FormSubmit', 'GZIP Module', 'Google', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Hello Elementor', 'Kitco', 'Microdata for Google Shopping', 'Monster', 'Mouseflow', 'NFOrce Internet', 'OptinMonster', 'PHP', 'Perl', 'Premium Addons for Elementor', 'QUIC', 'Sage Intacct', 'Seflow Italy', 'Site Kit', 'Sticky Header Effects for Elementor', 'Table Addons for Elementor', 'UTF-8', 'WP Rocket', 'WordPress', 'WordPress Multisite', 'reCAPTCHA']"
use-anroktaxteam.com,The global sales tax solution built for modern commerce | Anrok,,,72,294564,2026-02-18T10:31:37.831197149Z,"['Amazon', 'Amazon CloudFront', 'Animate It', 'Aruba', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'DAV', 'DC74', 'FormSubmit', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'HubSpot Conversations', 'Hubspot', 'IcoMoon', 'Intellimize', 'LinkedIn Insights', 'LinkedIn Pixel', 'Perl', 'QUIC', 'Sage Intacct', 'Salesforce Hosted', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'Vimeo', 'Vimeo CDN', 'WF Cookie Consent', 'eLand', 'jsDelivr']"
accountsiqgroup.com,Accounting and Financial Management Software | AccountsIQ,AccountsIQ,GBR,92,242614,2026-02-18T01:07:06.747648941Z,"['AAPT', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Apture Linking Platform', 'ArvanCloud', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'DAV', 'Fireblade', 'GZIP Module', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Related Website Sites', 'Google Tag Manager', 'HubSpot Conversations', 'Hubspot', 'IcoMoon', 'Instagram Follow Button', 'LandBot', 'Microdata for Google Shopping', 'QUIC', 'Sage Intacct', 'Salesforce Hosted', 'Tailwind CSS', 'UTF-8', 'WF Cookie Consent', 'Webflow', 'Wistia', 'YouTube', 'jsDelivr']"
rev-rec.com,test,,VEN,65,97828,2026-02-17T22:30:25.026589217Z,"['AJAX Libraries API', 'Algolia', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Bing Cashback', 'Cisco/Arrowpoint Content Service Switch', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Flow', 'FormSubmit', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Harbor', 'HubSpot Conversations', 'Hubspot', 'InitiativeS', 'Inspectlet', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Ntent', 'Oracle Cloud', 'QUIC', 'Sage Intacct', 'Segment', 'Segment Consent Manager', 'Sign In With Google', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'WF Cookie Consent', 'YouTube', 'eLand', 'jsDelivr']"
arsconsulting.org,Expert Accounting and ERP Solutions for Your Business | ARS Consulting,,,77,45284,2026-02-17T20:58:12.251186691Z,"['Alternate Protocol', 'Content Delivery Network', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Microdata for Google Shopping', 'No-Q', 'OpenResty', 'Oracle Cloud', 'QUIC', 'Sage Intacct', 'Thank You', 'Unsplash', 'Zyro']"
leracard.com,Finvari,,USA,67,70688,2026-02-17T10:55:51.133898933Z,"['Apture Linking Platform', 'Builder', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'HubSpot Conversations', 'Hubspot', 'IcoMoon', 'Next.js', 'QUIC', 'Sage Intacct', 'Styled Components', 'UTF-8', 'Vercel']"
use-coastpay.com,"Coast | Fuel, Fleet, and Field Expenses All On One Card",Coast,USA,77,92512,2026-02-16T23:39:18.412822779Z,"['Apture Linking Platform', 'Bing Cashback', 'Bing Conversion Tracking', 'Calendly', 'Content Delivery Network', 'Fireblade', 'Google Analytics', 'Google Tag Manager', 'HubSpot Conversations', 'Hubspot', 'Microdata for Google Shopping', 'NFOrce Internet', 'Navattic', 'Next.js', 'Pleroma', 'QUIC', 'Sage Intacct', 'Segment', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Vercel', 'WordPress', 'WordPress Multisite', 'jsDelivr', 'shadcn ui']"
