domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
isisolutions.in,"ISI Software Solutions, Best final year Project center in Tirunelveli, best be final year project center, best ieee finalproject centers in city of tirunelveli, Best python projects in tirunelveli, best image processing project centers in tirunelveli, best networking project centers in tirunelveli, best data mining project centers in tirunelveli, best embeded project center in tirunelveli",,IND,87,508,2026-04-18T13:55:21.286698005Z,"['Apache', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Parcel', 'Python', 'QUIC', 'Semantic UI', 'Tailwind CSS', 'UTF-8', 'University or College', 'YouTube', 'jQuery']"
shmscontractingltd.co.uk,Trusted Partner for CIS Compliance & Payroll | SHMS Contracting,,,67,19819,2026-04-18T08:26:46.197590613Z,"['Amazon WAF Blocked', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Cookies and You', 'Elfsight', 'Fireblade', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'PWA', 'Perl', 'QUIC', 'Semantic UI', 'UTF-8', 'YouTube', 'reCAPTCHA']"
usviyachtshow.org,Welcome to the 2025 USVI Charter Yacht Show - USVI Charter Yacht Show,Just another WordPress site,,72,35366,2026-04-18T06:53:20.039090118Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Fancybox for WordPress', 'FreeCSSTemplates', 'GoDaddy', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Microdata for Google Shopping', 'MonsterInsights', 'NFOrce Internet', 'PHP', 'QUIC', 'QuadMenu', 'Semantic UI', 'Sucuri Cloudproxy', 'TablePress', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Wangsu', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
jewellery.institute,JDMIS: Jewellery Design Training in Singapore,Jewellery Design & Management International School,SGP,77,23257,2026-04-18T06:47:19.986027324Z,"['AWS WAF Challenge', 'Angular', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Hosting', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Joomla!', 'Mautic', 'Microdata for Google Shopping', 'PWA', 'RokNavMenu', 'Semantic UI', 'Sitelinks Search Box', 'UTF-8', 'University or College', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'jQuery']"
fixphonecity.nl,Smartphone & Tablet Reparatie in Amsterdam,TelefoonMakers,NLD,77,22444,2026-04-18T05:53:19.978181204Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Aruba', 'Builder', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'EmbedPress', 'Font Awesome', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'IcoMoon', 'Microdata for Google Shopping', 'Microsoft Authentication Library for JavaScript', 'Nginx', 'Ntent', 'PHP', 'Parcel', 'QUIC', 'Semantic UI', 'Tailwind CSS', 'Theme In WP', 'TrustIndex', 'UTF-8', 'Ubuntu', 'WordPress', 'WordPress Multisite', 'eLand', 'jsDelivr', 'reCAPTCHA']"
rapidmobilityltd.com,Disability & Mobility Solutions | Rapid Mobility Ltd,,,67,18739,2026-04-18T01:20:19.981033959Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Cookies and You', 'DAV', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'PWA', 'Perl', 'Semantic UI', 'Stripe', 'UTF-8', 'reCAPTCHA']"
open-build-service.org,Open Build Service,,,45,,2026-04-17T18:15:12.996533923Z,"['Alternate Protocol', 'Content Delivery Network', 'GitHub Hosting', 'License Buttons', 'Netlify', 'Semantic UI', 'Subversion', 'UTF-8', 'Vimeo']"
wirelesscitystore.com,wirelesscitystore.com – We Make Wireless Simple,,USA,65,18030,2026-04-17T17:47:19.993685191Z,"['Alternate Protocol', 'Aruba', 'Astra Theme', 'Automattic', 'Elementor', 'EmbedPress', 'Fireblade', 'FreeCSSTemplates', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Jetpack', 'LiteSpeed', 'NFOrce Internet', 'PHP', 'Perl', 'QUIC', 'Semantic UI', 'Site Reviews for Wordpress', 'Theme In WP', 'TranslatePress', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Payments', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'WordPress Stats', 'eLand', 'jQuery']"
kevinpkw.nyc.mn,"Kusanagi - We don't make mistakes, we have happy accident.",,,40,252,2026-04-17T16:08:20.026048664Z,"['ArvanCloud', 'Baidu Ads', 'Baidu Cloud', 'Bing Cashback', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Cloudflare Workers', 'GitHub Hosting', 'Google My Business', 'Semantic UI', 'UTF-8', 'jQuery', 'jsDelivr']"
epageplus.com,Post Free Ads and Free Business Listing in EpagePlus,Epage Plus,IND,82,15327,2026-04-17T13:53:19.993505208Z,"['Amazon', 'Apache', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'ElementUI', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'Firebase', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Microdata for Google Shopping', 'Python', 'Semantic UI', 'Sign In With Google', 'Tailwind CSS', 'UTF-8', 'University or College', 'Vector Internet Services', 'WoWonder', 'Yandex Hosting', 'jQuery', 'jsDelivr', 'shadcn ui']"
