domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
batousai.com,BATOUSAI | The Way of the Warrior,BATOUSAI,VAT,77,153656,2026-05-11T16:29:20.00541124Z,"['AAPT', 'Alternate Protocol', 'Amazon CloudFront', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Aruba', 'Channel Intelligence', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'DoubleClick Bid Manager', 'Express', 'Financial Services Guide', 'Full Media', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Iubenda', 'K2F', 'KVH', 'NFOrce Internet', 'Ntent', 'QUIC', 'RM Education', 'SMC', 'Shopify', 'Shopify Collabs', 'UTF-8', 'eLand', 'hCaptcha', 'reCAPTCHA']"
usatattoosupply.com,The State-of-the-art Tattoo Supplies & Equipment Supplier | USA TATTOO – USA TATTOO SUPPLY,,USA,72,12872,2026-05-11T16:29:20.002183627Z,"['AJAX Libraries API', 'Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'Express', 'Google', 'Google Cloud DNS', 'Google Maps', 'Google Related Website Sites', 'IcoMoon', 'Klaviyo', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Parcel', 'ParcelPanel Order Tracking', 'QUIC', 'Schema Plugin', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'Thank You', 'Tidio', 'Triggered Messaging', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
retinapix.com,India's Trusted Online Camera Store To Buy Cameras & Accessories – RetinaPix.com,RetinaPix.com,IND,82,6964,2026-05-11T16:29:20.001114887Z,"['Alternate Protocol', 'Apture Linking Platform', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Google', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'QUIC', 'Shopify', 'Shopify Collabs', 'UTF-8', 'YouTube', 'hCaptcha', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
vehicleclips.co.uk,Car Trim Clips & Fasteners - Trade Prices - Vehicleclips.co.uk — VehicleClips,,JPN,82,7122,2026-05-11T16:29:19.994390144Z,"['Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Google', 'Google Cloud CDN', 'Google Related Website Sites', 'IcoMoon', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Perl', 'QUIC', 'Shopify', 'Shopify Collabs', 'TinyIMG', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
jdcateringequip.co.uk,Commercial Kitchen Equipment & Supplies | Nationwide – JD Catering Equipment Solutions Ltd,JD Catering Equipment Solutions Ltd,USA,82,27324,2026-05-11T16:29:19.991689705Z,"['Amazon CloudFront', 'Amazon S3 CDN', 'Baidu Cloud', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Fastly', 'Fireblade', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Gravity', 'Juicer DMP', 'MailChimp', 'Microdata for Google Shopping', 'QUIC', 'Shopify', 'Shopify Collabs', 'Storyblocks', 'Tailwind CSS', 'Thank You', 'UTF-8', 'Umbler', 'University or College', 'Yandex Hosting', 'hCaptcha', 'reCAPTCHA']"
wesiom.com,Wesiom - save now!,Wesiom,,62,56296,2026-05-11T16:29:19.988387437Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Aruba', 'Channel Intelligence', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'DoubleClick Bid Manager', 'Express', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Iubenda', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ntent', 'Perl', 'QUIC', 'SMC', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'UTF-8', 'Vercel', 'eLand', 'hCaptcha', 'reCAPTCHA']"
gugttrsports.com,Gugttrsports.com,Gugttrsports.com,GBR,65,3456,2026-05-11T16:29:19.986194183Z,"['Alternate Protocol', 'Amazon Widgets', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Express', 'GetSiteControl', 'Instagram Follow Button', 'Microdata for Google Shopping', 'QUIC', 'Sapper', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'UTF-8', 'YouTube', 'hCaptcha', 'reCAPTCHA']"
safedefence.com.au,Australia's High Performance Polymer Impact Protection Systems – Safedefence,Safedefence,AUS,77,20556,2026-05-11T16:29:19.986418731Z,"['Amazon WAF Blocked', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Fireblade', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'QUIC', 'Shopify', 'Shopify Collabs', 'UTF-8', 'YouTube', 'hCaptcha', 'reCAPTCHA']"
nicolecollinsjewelry.com,"Contemporary jewelry, designed and handcrafted by Nichole Collins. – Nichole Collins Jewelry",Nichole Collins Jewelry,,67,3336,2026-05-11T16:29:19.984032555Z,"['Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'Express', 'Google My Business', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Shopify', 'Shopify Collabs', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
virtualracinghub.com,"Virtual Racing Hub | India’s #1 Sim Racing Store – Simulators, Wheels – Virtualracinghub.com",Virtualracinghub.com,,67,53794,2026-05-11T16:29:19.98379594Z,"['Angular', 'Apture Linking Platform', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'Digital Ocean Spaces', 'Discord', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'HHVM', 'IcoMoon', 'Instagram Follow Button', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'No-Q', 'QUIC', 'Shifter', 'Shiprocket', 'Shopify', 'Shopify Collabs', 'Shopify Payments', 'Thank You', 'UTF-8', 'UpPromote', 'hCaptcha', 'reCAPTCHA']"
