domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
nextlevelfranchisegroup.com,Next Level Franchise Group | Expert Franchise Consulting & Opportunities,,,67,960,2026-05-22T21:53:19.968899903Z,"['AddThis', 'AddThis for Wordpress', 'Alternate Protocol', 'Calendly', 'Content Delivery Network', 'DAV', 'GZIP Module', 'Google Analytics', 'Google Conversion Tracking', 'Google Tag Manager', 'Microdata for Google Shopping', 'Site Search 360', 'Twitter Ads', 'UTF-8', 'Vimeo', 'YouTube', 'Zoho Sites']"
greenwoodmoore.com,"Greenwood & Moore Civil Engineers, Designers, Land Surveyors, Planners","Greenwood and Moore, Inc.",USA,77,17442,2026-05-22T16:14:19.995601745Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon CloudFront', 'CloudFront', 'Duda', 'Elfsight', 'FormSubmit', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'No-Q', 'QUIC', 'Site Search 360', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'YouTube']"
njamericanlegion.org,Official website of American Legion Department of NJ,The American Legion Department of New Jersey,CAN,77,101230,2026-05-22T15:26:19.997728639Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon CloudFront', 'Builder', 'CloudFront', 'DAV', 'Duda', 'Express', 'Financial Services Guide', 'FormSubmit', 'GZIP Module', 'Google My Business', 'Instagram Follow Button', 'KVH', 'Microdata for Google Shopping', 'Neon One', 'Nginx', 'No-Q', 'Perl', 'RM Education', 'SMC', 'Site Search 360', 'Tailwind CSS', 'Thank You', 'Twitter Ads', 'UTF-8', 'University or College', 'WooRank', 'YouTube', 'reCAPTCHA']"
tbranson.realtor,Tanylah branson tampa fl realestate agent,,ESP,77,1402,2026-05-22T03:20:19.996306093Z,"['Alternate Protocol', 'Amazon CloudFront', 'CloudFront', 'Duda', 'FormSubmit', 'GZIP Module', 'Get.realtor', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Neighborhoods', 'Nginx', 'No-Q', 'Perl', 'QUIC', 'Site Search 360', 'Styled Components', 'Subversion', 'Tailwind CSS', 'Thank You', 'Twitter Ads', 'UTF-8', 'YouTube']"
orlandowindowtintstudioflorida.com,"Window Tinting in Orlando, FL | Ceramic & Auto Tint Experts",,USA,77,16986,2026-05-22T02:59:19.983481314Z,"['Alternate Protocol', 'Amazon CloudFront', 'CloudFront', 'DAV', 'Duda', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'No-Q', 'QUIC', 'Site Search 360', 'Tailwind CSS', 'UTF-8', 'WordPress', 'Yelp Badge', 'YouTube']"
cityscapelandscape.com,Landscape Design and Installation in Chicago | Cityscape Landscape,,USA,77,22082,2026-05-22T02:26:19.999937488Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon CloudFront', 'CloudFront', 'Commoninja', 'Duda', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Neighborhoods', 'Nginx', 'No-Q', 'QUIC', 'Site Search 360', 'Tailwind CSS', 'UTF-8', 'University or College', 'Vector Internet Services', 'Yelp Badge', 'eLand']"
flgainspections.com,Home Inspector in North FL & South GA | FL-GA,,USA,77,3486,2026-05-22T00:13:20.732527467Z,"['Alternate Protocol', 'Amazon CloudFront', 'CloudFront', 'DAV', 'Duda', 'GZIP Module', 'Google Analytics', 'Google Customer Reviews', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'No-Q', 'QUIC', 'Site Search 360', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Yelp Badge']"
mcael.org,"Welcome to MCAEL | Adult English Learning in Montgomery County, MD",,USA,77,4231,2026-05-21T23:56:20.003143411Z,"['Alternate Protocol', 'Amazon CloudFront', 'CDN JS', 'Call to Visit', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Duda', 'Elfsight', 'Font Awesome', 'FormSubmit', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'No-Q', 'Perl', 'Site Search 360', 'Styled Components', 'Tailwind CSS', 'Thank You', 'Twitter Ads', 'UTF-8', 'UserWay', 'YouTube']"
justthefacts.co.nz,"Life goes on, read Just The Facts about Sexually Transmitted Infections",,NZL,72,96345,2026-05-21T18:32:19.973593579Z,"['Alternate Protocol', 'Amazon CloudFront', 'CloudFront', 'Coming Soon Page', 'Duda', 'Express', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google Tag Manager', 'Instagram Follow Button', 'K2F', 'KVH', 'Nginx', 'No-Q', 'QUIC', 'SMC', 'Site Search 360', 'Subversion', 'Tailwind CSS', 'UTF-8', 'YouTube', 'jsDelivr']"
eldoradohotel.ca,"Eldorado, a Coast Hotel | Dawson City Hotels",,CAN,77,11102,2026-05-21T17:35:20.006418552Z,"['Apture Linking Platform', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Placehold IT', 'QUIC', 'Secure Privacy', 'Site Search 360', 'SnapWidget', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'accessiBe', 'reCAPTCHA']"
